"Representative","State","Amount"
"Hartzler Vicky (R-MO)","Missouri","$2000"
"Hill French (R-AR)","Arkansas","$2000"
"Holding George (R-NC)","North Carolina","$2000"
"Luetkemeyer Blaine (R-MO)","Missouri","$2000"
"McClintock Tom (R-CA)","California","$2000"
"Mclinko Doug (R-PA)","Pennsylvania","$2000"
"Sanford Mark (R-SC)","South Carolina","$2000"
"Visclosky Pete (D-IN)","Indiana","$2000"
"Westerman Bruce (R-AR)","Arkansas","$2000"
"Young Don (R-AK)","Alaska","$2000"
"Crow Jason (D-CO)","Colorado","$1852"
"Galvin Alyse (D-AK)","Alaska","$1537"
"Janz Andrew (D-CA)","California","$1518"
"Arrington Jodey (R-TX)","Texas","$1500"
"Emmer Tom (R-MN)","Minnesota","$1500"
"Gonzalez Anthony (R-OH)","Ohio","$1500"
"Kihuen Ruben (D-NV)","Nevada","$1500"
"Newhouse Dan (R-WA)","Washington","$1500"
"Niermann Tom (D-KS)","Kansas","$1500"
"Peterson Collin (D-MN)","Minnesota","$1500"
"Schweikert David (R-AZ)","Arizona","$1500"
"Stauber Pete (R-MN)","Minnesota","$1500"
"Delgado Antonio (D-NY)","New York","$1400"
"Kulkarni Sri (D-TX)","Texas","$1371"
"Lewis John (D-GA)","Georgia","$1330"
"Sanchez Jana Lynne (D-TX)","Texas","$1300"
"Pelosi Nancy (D-CA)","California","$1260"
"Ossoff Jon (D-GA)","Georgia","$1237"
"Brat Dave (R-VA)","Virginia","$1200"
"DiNicola Ron (D-PA)","Pennsylvania","$1118"
"Spanberger Abigail (D-VA)","Virginia","$1107"
"Casten Sean (D-IL)","Illinois","$1027"
"Bustos Cheri (D-IL)","Illinois","$1020"
"Kelly Brendan (D-IL)","Illinois","$1015"
"Kennedy Joe III (D-MA)","Massachusetts","$1015"
"Cisneros Gil (D-CA)","California","$1002"
"Aramayo Vanessa (D-CA)","California","$1000"
"Barton Joe (R-TX)","Texas","$1000"
"Bishop Sanford (D-GA)","Georgia","$1000"
"Bucshon Larry (R-IN)","Indiana","$1000"
"Byrne Bradley (R-AL)","Alabama","$1000"
"Clarke Yvette (D-NY)","New York","$1000"
"Comer James (R-KY)","Kentucky","$1000"
"Conaway Mike (R-TX)","Texas","$1000"
"Crawford Rick (R-AR)","Arkansas","$1000"
"Dent Charlie (R-PA)","Pennsylvania","$1000"
"Dingell Debbie (D-MI)","Michigan","$1000"
"Gallego Ruben (D-AZ)","Arizona","$1000"
"Garrett Tom (R-VA)","Virginia","$1000"
"Goodlatte Bob (R-VA)","Virginia","$1000"
"Havens Jonathan (R-TX)","Texas","$1000"
"Himes Jim (D-CT)","Connecticut","$1000"
"Hunter Duncan D (R-CA)","California","$1000"
"Kelly Trent (R-MS)","Mississippi","$1000"
"Kopser Joseph (D-TX)","Texas","$1000"
"Lamborn Doug (R-CO)","Colorado","$1000"
"Loudermilk Barry (R-GA)","Georgia","$1000"
"Marshall Roger (R-KS)","Kansas","$1000"
"Mitchell Paul (R-MI)","Michigan","$1000"
"Moolenaar John (R-MI)","Michigan","$1000"
"Navarro Omar (R-CA)","California","$1000"
"Nguyen Danny (R-TX)","Texas","$1000"
"Noem Kristi (R-SD)","South Dakota","$1000"
"Pingree Chellie (D-ME)","Maine","$1000"
"Price David (D-NC)","North Carolina","$1000"
"Rouzer David (R-NC)","North Carolina","$1000"
"Rutherford John (R-FL)","Florida","$1000"
"Sewell Terri (D-AL)","Alabama","$1000"
"Sires Albio (D-NJ)","New Jersey","$1000"
"Thompson Mike (D-CA)","California","$1000"
"Wenstrup Brad (R-OH)","Ohio","$1000"
"Wilson Joe (R-SC)","South Carolina","$1000"
"Womack Steve (R-AR)","Arkansas","$1000"
"Feehan Daniel (D-MN)","Minnesota","$957"
"Watson Liz (D-IN)","Indiana","$881"
"Campa-Najjar Ammar (D-CA)","California","$762"
"Soto Darren (D-FL)","Florida","$750"
"Lara Damian (D-NM)","New Mexico","$650"
"Aguilar Pete (D-CA)","California","$646"
"Min Dave (D-CA)","California","$600"
"O'Halleran Tom (D-AZ)","Arizona","$600"
"Schiff Adam (D-CA)","California","$525"
"Pureval Aftab (D-OH)","Ohio","$509"
"Allred Colin (D-TX)","Texas","$508"
"Ojeda Richard (D-WV)","West Virginia","$508"
"Dean Madeleine (D-PA)","Pennsylvania","$501"
"Ashford Brad (D-NE)","Nebraska","$500"
"Bloom Stephen (R-PA)","Pennsylvania","$500"
"Cullop Ben (D-VA)","Virginia","$500"
"Gifford Rufus (D-MA)","Massachusetts","$500"
"Grimes Demetries (D-FL)","Florida","$500"
"Hassett Doug (R-CA)","California","$500"
"Johnson Sam (D-TX)","Texas","$500"
"Mullins Thomas E (R-NM)","New Mexico","$500"
"Pope Tommy (R-SC)","South Carolina","$500"
"Quist Robert E. (D-MT)","Montana","$500"
"Rohrabacher Dana (R-CA)","California","$500"
"Spearman Pat (D-NV)","Nevada","$500"
"Moser Laura (D-TX)","Texas","$424"
"McMurray Nate (D-NY)","New York","$400"
"Williams Kathleen (D-MT)","Montana","$358"
"O'Connor Danny (D-OH)","Ohio","$308"
"Hill Katie (D-CA)","California","$256"
"Hayes Jahana (D-CT)","Connecticut","$252"
"Steele Dayna (D-TX)","Texas","$252"
"Baugh Scott (R-CA)","California","$250"
"Bieda Steve (D-MI)","Michigan","$250"
"Chen Jay (D-CA)","California","$250"
"Davidson Margo (D-PA)","Pennsylvania","$250"
"Gohmert Louis B Jr (R-TX)","Texas","$250"
"Kohl Dan (D-WI)","Wisconsin","$250"
"Krishnamoorthi Raja (D-IL)","Illinois","$250"
"Kuster Ann (D-NH)","New Hampshire","$250"
"Murphy Stephanie (D-FL)","Florida","$250"
"Mustafa Sameena (D-IL)","Illinois","$250"
"Rackleff Bob (D-FL)","Florida","$250"
"Sergent Talley (D-WV)","West Virginia","$250"
"Sherrill Mikie (D-NJ)","New Jersey","$250"
"Sostack Brad (R-FL)","Florida","$250"
"Wilson Mary (D-TX)","Texas","$250"
"Wolff Denny (D-PA)","Pennsylvania","$250"
"Scott George (D-PA)","Pennsylvania","$210"
"Grayson Alan (D-FL)","Florida","$190"
"Bryce Randy (D-WI)","Wisconsin","$185"
"Tipirneni Hiral (D-AZ)","Arizona","$164"
"Lieu Ted (D-CA)","California","$150"
"Coleman Linda (D-NC)","North Carolina","$116"
"Scholten JD (D-IA)","Iowa","$116"
"Harder Josh (D-CA)","California","$110"
"Applegate Douglas L (D-CA)","California","$101"
"Flores Yolie (D-CA)","California","$100"
"Kim Andy (D-NJ)","New Jersey","$99"
"Baer Lauren (D-FL)","Florida","$91"
"Rouda Harley (D-CA)","California","$82"
"Balter Dana (D-NY)","New York","$77"
"Van Drew Jeff (D-NJ)","New Jersey","$75"
"Spalding Carla (R-FL)","Florida","$60"
"Long Carolyn (D-WA)","Washington","$52"
"Underwood Lauren A (D-IL)","Illinois","$51"
"Stover Lindsey Davis (D-VA)","Virginia","$50"
"Porter Katie (D-CA)","California","$47"
"Ocasio-Cortez Alexandria (D-NY)","New York","$39"
"Brill David (D-AZ)","Arizona","$35"
"McBath Lucy (D-GA)","Georgia","$35"
"Davis Paul (D-KS)","Kansas","$32"
"Ellison Keith (D-MN)","Minnesota","$30"
"Burch Lorie (D-TX)","Texas","$27"
"Tucker Clarke (D-AR)","Arkansas","$27"
"Welder Brent (D-KS)","Kansas","$27"
"Escobar Veronica (D-TX)","Texas","$26"
"Canova Tim (I-FL)","Florida","$25"
"Vanostran Cort (D-MO)","Missouri","$25"
"Eastman Kara (D-NE)","Nebraska","$23"
"Fagan Linsey (D-TX)","Texas","$23"
"Kirkpatrick Ann (D-AZ)","Arizona","$22"
"Malinowski Tom (D-NJ)","New Jersey","$22"
"Hoagenson Renee (D-MO)","Missouri","$20"
"Shirley Liuba Grechen (D-NY)","New York","$20"
"Shapiro David (D-FL)","Florida","$18"
"King Jess (D-PA)","Pennsylvania","$16"
"Houlahan Chrissy (D-PA)","Pennsylvania","$15"
"Jones Gina Ortiz (D-TX)","Texas","$15"
"Londrigan Betsy Dirksen (D-IL)","Illinois","$15"
"Schneider Brad (D-IL)","Illinois","$15"
"Thorburn Andy (D-CA)","California","$13"
"Radinovich Joe (D-MN)","Minnesota","$12"
"Stevens Haley (D-MI)","Michigan","$12"
"Bush Cori (D-MO)","Missouri","$11"
"Bera Ami (D-CA)","California","$10"
"Gabbard Tulsi (D-HI)","Hawaii","$10"
"Small Xochitl Torres (D-NM)","New Mexico","$9"
"Gershon Perry (D-NY)","New York","$8"
"Brindisi Anthony (D-NY)","New York","$7"
"Cox TJ (D-CA)","California","$7"
"Adia Vanessa (D-TX)","Texas","$6"
"Bell Adrienne (D-TX)","Texas","$6"
"Finkenauer Abby (D-IA)","Iowa","$6"
"Jones Jimmy Darnell (D-TX)","Texas","$6"
"Plummer Letitia (D-TX)","Texas","$6"
"Trevino Rick (D-TX)","Texas","$6"
"Bush Diane Mitsch (D-CO)","Colorado","$5"
"Gasper Theresa (D-OH)","Ohio","$5"
"Ghorbani Shireen (D-UT)","Utah","$5"
"Horton Kyle (D-NC)","North Carolina","$5"
"McCormick Karen (D-CO)","Colorado","$5"
"Mitrano Tracy (D-NY)","New York","$5"
"Morse Jessica (D-CA)","California","$5"
"Palmer Susan (D-OH)","Ohio","$5"
"Rader Betsy (D-OH)","Ohio","$3"
"Craig Angie (D-MN)","Minnesota","$2"
"Levin Andy (D-MI)","Michigan","$2"
"Longjohn Matt (D-MI)","Michigan","$2"
"Neguse Joseph (D-CO)","Colorado","$2"
"Omar Ilhan (D-MN)","Minnesota","$2"
"Tlaib Rashida (D-MI)","Michigan","$2"
"Wild Susan (D-PA)","Pennsylvania","$2"
"Barzee Flores Mary (D-FL)","Florida","$1"
"Benac David (D-MI)","Michigan","$1"
"Clark Anthony (D-IL)","Illinois","$1"
"Davidson Rob (D-MI)","Michigan","$1"
"Gasque Dorothy (D-WA)","Washington","$1"
"Gill David (D-IL)","Illinois","$1"
"Hepburn Michael (D-FL)","Florida","$1"
"Jacob Peter (D-NJ)","New Jersey","$1"
"Nygard Dotty (D-CA)","California","$1"
"Reed Wendy (D-CA)","California","$1"
"Richardson Chardo (D-FL)","Florida","$1"
"Rowe Courtney (D-IA)","Iowa","$1"
"Saad Fayrouz (D-MI)","Michigan","$1"
"Smith Sarah (D-WA)","Washington","$1"
"Vilela Amy (D-NV)","Nevada","$1"
"Babinec Martin (I-NY)","New York","-$1000"
"Black Diane (R-TN)","Tennessee","-$1000"
"Hinojosa Ruben (D-TX)","Texas","-$1000"
"Levin Sander (D-MI)","Michigan","-$1000"
"Pitts Joe (R-PA)","Pennsylvania","-$1000"
"Zinke Ryan (R-MT)","Montana","-$1000"
"LoBiondo Frank (R-NJ)","New Jersey","-$1500"
"Smith Lamar (R-TX)","Texas","-$2700"
