"Representative","State","Amount"
"Gandhi Pritesh (D-TX)","Texas","$1010"
"Waltz Michael (R-FL)","Florida","$1004"
"Allen Richard W (R-GA)","Georgia","$1000"
"Baird Jim (R-IN)","Indiana","$1000"
"Banks Jim (R-IN)","Indiana","$1000"
"Brindisi Anthony (D-NY)","New York","$1000"
"Brown Anthony (D-MD)","Maryland","$1000"
"Buck Ken (R-CO)","Colorado","$1000"
"Buehler Knute (R-OR)","Oregon","$1000"
"Burgess Michael (R-TX)","Texas","$1000"
"Clyde Andrew (R-GA)","Georgia","$1000"
"DePasquale Eugene (D-PA)","Pennsylvania","$1000"
"Fleischmann Chuck (R-TN)","Tennessee","$1000"
"Garcia Holmes Michelle (R-NM)","New Mexico","$1000"
"Gonzalez Vicente (D-TX)","Texas","$1000"
"Hollingsworth Trey (R-IN)","Indiana","$1000"
"House Steven (R-CO)","Colorado","$1000"
"Joyce John (R-PA)","Pennsylvania","$1000"
"Kreibich Arati (D-NJ)","New Jersey","$1000"
"Krishnamoorthi Raja (D-IL)","Illinois","$1000"
"Lucas Frank D (R-OK)","Oklahoma","$1000"
"Melton Jessi (R-FL)","Florida","$1000"
"Pallone Frank Jr (D-NJ)","New Jersey","$1000"
"Ratcliffe John (R-TX)","Texas","$1000"
"Richmond Cedric (D-LA)","Louisiana","$1000"
"Sewell Terri (D-AL)","Alabama","$1000"
"Smucker Lloyd (R-PA)","Pennsylvania","$1000"
"Stevens Haley (D-MI)","Michigan","$1000"
"Visclosky Pete (D-IN)","Indiana","$1000"
"Walker Mark (R-NC)","North Carolina","$1000"
"Weber Randy (R-TX)","Texas","$1000"
"Valenzuela Candace (D-TX)","Texas","$935"
"Burchett Tim (R-TN)","Tennessee","$900"
"Ocasio-Cortez Alexandria (D-NY)","New York","$884"
"Tenney Claudia (R-NY)","New York","$763"
"Galvin Alyse (I-AK)","Alaska","$755"
"Gurtler Matt (R-GA)","Georgia","$750"
"Miller Mary (R-IL)","Illinois","$750"
"Shearer Alaina (D-OH)","Ohio","$750"
"Wilkinson John (R-GA)","Georgia","$750"
"Schiff Adam (D-CA)","California","$723"
"Early Eric (R-CA)","California","$665"
"Gonzales Tony (R-TX)","Texas","$642"
"Reed Tom (R-NY)","New York","$600"
"Bush Diane Mitsch (D-CO)","Colorado","$525"
"Chu Judy (D-CA)","California","$500"
"Finkenauer Abby (D-IA)","Iowa","$500"
"Gore Laverne (R-OH)","Ohio","$500"
"Hart Rita (D-IA)","Iowa","$500"
"Hattersley Adam (D-FL)","Florida","$500"
"Peters Sam (R-NV)","Nevada","$500"
"Reeves Kristine (D-WA)","Washington","$500"
"Roe Phil (R-TN)","Tennessee","$500"
"Timko Scott (R-PA)","Pennsylvania","$500"
"Witt Katie (R-UT)","Utah","$500"
"Zeldin Lee (R-NY)","New York","$496"
"Obernolte Jay (R-CA)","California","$475"
"Browning Dean (R-PA)","Pennsylvania","$400"
"Waymaster Troy (R-KS)","Kansas","$400"
"Wild Susan (D-PA)","Pennsylvania","$400"
"Issa Darrell (R-CA)","California","$384"
"Kennedy Amy (D-NJ)","New Jersey","$375"
"Davids Sharice (D-KS)","Kansas","$365"
"Fernandez Teresa Leger (D-NM)","New Mexico","$359"
"Webb Cameron (D-VA)","Virginia","$355"
"Marchant Jim (R-NV)","Nevada","$318"
"Dudenhoefer David (R-MI)","Michigan","$310"
"Tims Desiree (D-OH)","Ohio","$305"
"Cox TJ (D-CA)","California","$304"
"Casten Sean (D-IL)","Illinois","$300"
"Goroff Nancy (D-NY)","New York","$300"
"Murphy Stephanie (D-FL)","Florida","$300"
"Bush Cori (D-MO)","Missouri","$294"
"Wallace Cynthia (D-NC)","North Carolina","$275"
"Hartzler Vicky (R-MO)","Missouri","$261"
"Beeler Jeffrey (R-WA)","Washington","$250"
"Greene Marjorie Taylor (R-GA)","Georgia","$250"
"Hawatmeh Ola (R-NY)","New York","$250"
"McCorkle Ike (D-CO)","Colorado","$250"
"Rogers Wendy (R-AZ)","Arizona","$250"
"Swank Keith (R-WA)","Washington","$250"
"Tanner Kevin (R-GA)","Georgia","$250"
"Cobb Tedra (D-NY)","New York","$245"
"Wittman Rob (R-VA)","Virginia","$242"
"Davis Wendy (D-TX)","Texas","$230"
"Luna Anna Paulina (R-FL)","Florida","$225"
"Newman Marie (D-IL)","Illinois","$224"
"Murray Scherie (R-NY)","New York","$215"
"Axne Cindy (D-IA)","Iowa","$200"
"Cook Paul (R-CA)","California","$200"
"Geppert Katy (D-MO)","Missouri","$200"
"Hicks Josh (D-KY)","Kentucky","$200"
"Iacino James (D-CO)","Colorado","$200"
"Scholten JD (D-IA)","Iowa","$188"
"Elliott Joyce (D-AR)","Arkansas","$180"
"Barrett Dana (D-GA)","Georgia","$176"
"Omar Ilhan (D-MN)","Minnesota","$162"
"Porter Katie (D-CA)","California","$160"
"Gilbert Hank (D-TX)","Texas","$146"
