LastName, FirstName, Party, State, StateAbbreviation, District
Houchin, Erin,Republican,Indiana,IN,9th
Houlahan, Chrissy,Democrat,Pennsylvania,PA,6th
Hoyer, Steny H.,Democrat,Maryland,MD,5th
Hoyle, Val T.,Democrat,Oregon,OR,4th
Hudson, Richard,Republican,North Carolina,NC,9th
Huffman, Jared,Democrat,California,CA,2nd
Huizenga, Bill,Republican,Michigan,MI,4th
Hunt, Wesley,Republican,Texas,TX,38th
Issa, Darrell,Republican,California,CA,48th
Ivey, Glenn,Democrat,Maryland,MD,4th
Jackson Lee, Sheila,Democrat,Texas,TX,18th
Jackson, Jeff,Democrat,North Carolina,NC,14th
Jackson, Jonathan L.,Democrat,Illinois,IL,1st
Jackson, Ronny,Republican,Texas,TX,13th
Jacobs, Sara,Democrat,California,CA,51st
James, John,Republican,Michigan,MI,10th
Jayapal, Pramila,Democrat,Washington,WA,7th
Jeffries, Hakeem S.,Democrat,New York,NY,8th
Johnson, Dusty,Republican,South Dakota,SD,At Large
Johnson, Henry C. "Hank" Jr.,Democrat,Georgia,GA,4th
Johnson, Mike,Republican,Louisiana,LA,4th
Jordan, Jim,Republican,Ohio,OH,4th
Joyce, David P.,Republican,Ohio,OH,14th
Joyce, John,Republican,Pennsylvania,PA,13th
Kamlager-Dove, Sydney,Democrat,California,CA,37th
Kaptur, Marcy,Democrat,Ohio,OH,9th
Kean, Thomas H. Jr.,Republican,New Jersey,NJ,7th
Keating, William R.,Democrat,Massachusetts,MA,9th
Kelly, Mike,Republican,Pennsylvania,PA,16th
Kelly, Robin L.,Democrat,Illinois,IL,2nd
Kelly, Trent,Republican,Mississippi,MS,1st
Khanna, Ro,Democrat,California,CA,17th
Kiggans, Jennifer A.,Republican,Virginia,VA,2nd
Kildee, Daniel T.,Democrat,Michigan,MI,8th
Kiley, Kevin,Republican,California,CA,3rd
Kilmer, Derek,Democrat,Washington,WA,6th
Kim, Andy,Democrat,New Jersey,NJ,3rd
Kim, Young,Republican,California,CA,40th
Krishnamoorthi, Raja,Democrat,Illinois,IL,8th
Kuster, Ann M.,Democrat,New Hampshire,NH,2nd
Kustoff, David,Republican,Tennessee,TN,8th
LaHood, Darin,Republican,Illinois,IL,16th
LaLota, Nick,Republican,New York,NY,1st
LaMalfa, Doug,Republican,California,CA,1st
Lamborn, Doug,Republican,Colorado,CO,5th
Landsman, Greg,Democrat,Ohio,OH,1st
Langworthy, Nicholas A.,Republican,New York,NY,23rd
Larsen, Rick,Democrat,Washington,WA,2nd
Larson, John B.,Democrat,Connecticut,CT,1st
Latta, Robert E.,Republican,Ohio,OH,5th
LaTurner, Jake,Republican,Kansas,KS,2nd
Lawler, Michael,Republican,New York,NY,17th
Lee, Barbara,Democrat,California,CA,12th
Lee, Laurel M.,Republican,Florida,FL,15th
Lee, Summer L.,Democrat,Pennsylvania,PA,12th
Lee, Susie,Democrat,Nevada,NV,3rd
Leger Fernandez, Teresa,Democrat,New Mexico,NM,3rd
Lesko, Debbie,Republican,Arizona,AZ,8th
Letlow, Julia,Republican,Louisiana,LA,5th
Levin, Mike,Democrat,California,CA,49th
Lieu, Ted,Democrat,California,CA,36th
Lofgren, Zoe,Democrat,California,CA,18th
Loudermilk, Barry,Republican,Georgia,GA,11th
Lucas, Frank D.,Republican,Oklahoma,OK,3rd
Luetkemeyer, Blaine,Republican,Missouri,MO,3rd
Luna, Anna Paulina,Republican,Florida,FL,13th
Luttrell, Morgan,Republican,Texas,TX,8th
Lynch, Stephen F.,Democrat,Massachusetts,MA,8th
Mace, Nancy,Republican,South Carolina,SC,1st
Magaziner, Seth,Democrat,Rhode Island,RI,2nd
Malliotakis, Nicole,Republican,New York,NY,11th
Maloy, Celeste,Republican,Utah,UT,2nd
Mann, Tracey,Republican,Kansas,KS,1st
Manning, Kathy E.,Democrat,North Carolina,NC,6th
Massie, Thomas,Republican,Kentucky,KY,4th
Mast, Brian J.,Republican,Florida,FL,21st
Matsui, Doris O.,Democrat,California,CA,7th
McBath, Lucy,Democrat,Georgia,GA,7th
McCaul, Michael T.,Republican,Texas,TX,10th
McClain, Lisa C.,Republican,Michigan,MI,9th
McClellan, Jennifer L.,Democrat,Virginia,VA,4th
McClintock, Tom,Republican,California,CA,5th
McCollum, Betty,Democrat,Minnesota,MN,4th
McCormick, Richard,Republican,Georgia,GA,6th
McGarvey, Morgan,Democrat,Kentucky,KY,3rd
McGovern, James P.,Democrat,Massachusetts,MA,2nd
McHenry, Patrick T.,Republican,North Carolina,NC,10th
Meeks, Gregory W.,Democrat,New York,NY,5th
Menendez, Robert,Democrat,New Jersey,NJ,8th
Meng, Grace,Democrat,New York,NY,6th
Meuser, Daniel,Republican,Pennsylvania,PA,9th
Mfume, Kweisi,Democrat,Maryland,MD,7th
Miller, Carol D.,Republican,West Virginia,WV,1st
Miller, Mary E.,Republican,Illinois,IL,15th
Miller, Max L.,Republican,Ohio,OH,7th
Miller-Meeks, Mariannette,Republican,Iowa,IA,1st
Mills, Cory,Republican,Florida,FL,7th
Molinaro, Marcus J.,Republican,New York,NY,19th
Moolenaar, John R.,Republican,Michigan,MI,2nd
Mooney, Alexander X.,Republican,West Virginia,WV,2nd
Moore, Barry,Republican,Alabama,AL,2nd
Moore, Blake D.,Republican,Utah,UT,1st
Moore, Gwen,Democrat,Wisconsin,WI,4th
Moran, Nathaniel,Republican,Texas,TX,1st
Morelle, Joseph D.,Democrat,New York,NY,25th
Moskowitz, Jared,Democrat,Florida,FL,23rd
Moulton, Seth,Democrat,Massachusetts,MA,6th
Moylan, James C.,Republican,Guam,GU,Delegate
Mrvan, Frank J.,Democrat,Indiana,IN,1st
Mullin, Kevin,Democrat,California,CA,15th
Murphy, Gregory F.,Republican,North Carolina,NC,3rd
Nadler, Jerrold,Democrat,New York,NY,12th
Napolitano, Grace F.,Democrat,California,CA,31st
Neal, Richard E.,Democrat,Massachusetts,MA,1st
Neguse, Joe,Democrat,Colorado,CO,2nd
Nehls, Troy E.,Republican,Texas,TX,22nd
Newhouse, Dan,Republican,Washington,WA,4th
Nickel, Wiley,Democrat,North Carolina,NC,13th
Norcross, Donald,Democrat,New Jersey,NJ,1st
Norman, Ralph,Republican,South Carolina,SC,5th
Norton, Eleanor Holmes,Democrat,District of Columbia,DC,Delegate
Nunn, Zachary,Republican,Iowa,IA,3rd
Obernolte, Jay,Republican,California,CA,23rd
Ocasio-Cortez, Alexandria,Democrat,New York,NY,14th
Ogles, Andrew,Republican,Tennessee,TN,5th
Omar, Ilhan,Democrat,Minnesota,MN,5th
Owens, Burgess,Republican,Utah,UT,4th
Pallone, Frank Jr.,Democrat,New Jersey,NJ,6th
Palmer, Gary J.,Republican,Alabama,AL,6th
Panetta, Jimmy,Democrat,California,CA,19th
Pappas, Chris,Democrat,New Hampshire,NH,1st
Pascrell, Bill Jr.,Democrat,New Jersey,NJ,9th
Payne, Donald M. Jr.,Democrat,New Jersey,NJ,10th
Pelosi, Nancy,Democrat,California,CA,11th
Peltola, Mary Sattler,Democrat,Alaska,AK,At Large
Pence, Greg,Republican,Indiana,IN,6th
Perez, Marie Gluesenkamp,Democrat,Washington,WA,3rd
Perry, Scott,Republican,Pennsylvania,PA,10th
Peters, Scott H.,Democrat,California,CA,50th
Pettersen, Brittany,Democrat,Colorado,CO,7th
Pfluger, August,Republican,Texas,TX,11th
Phillips, Dean,Democrat,Minnesota,MN,3rd
Pingree, Chellie,Democrat,Maine,ME,1st
Plaskett, Stacey E.,Democrat,Virgin Islands,VI,Delegate
Pocan, Mark,Democrat,Wisconsin,WI,2nd
Porter, Katie,Democrat,California,CA,47th
Posey, Bill,Republican,Florida,FL,8th
Pressley, Ayanna,Democrat,Massachusetts,MA,7th
Quigley, Mike,Democrat,Illinois,IL,5th
Radewagen, Aumua Amata Coleman,Republican,American Samoa,AS,Delegate
Ramirez, Delia C.,Democrat,Illinois,IL,3rd
Raskin, Jamie,Democrat,Maryland,MD,8th
Reschenthaler, Guy,Republican,Pennsylvania,PA,14th
Rodgers, Cathy McMorris,Republican,Washington,WA,5th
Rogers, Harold,Republican,Kentucky,KY,5th
Rogers, Mike,Republican,Alabama,AL,3rd
Rose, John W.,Republican,Tennessee,TN,6th
Rosendale, Matthew M. Sr.,Republican,Montana,MT,2nd
Ross, Deborah K.,Democrat,North Carolina,NC,2nd
Rouzer, David,Republican,North Carolina,NC,7th
Roy, Chip,Republican,Texas,TX,21st
Ruiz, Raul,Democrat,California,CA,25th
Ruppersberger, C. A. Dutch,Democrat,Maryland,MD,2nd
Rutherford, John H.,Republican,Florida,FL,5th
Ryan, Patrick,Democrat,New York,NY,18th
Sablan, Gregorio Kilili Camacho,Democrat,Northern Mariana Islands,MP,Delegate
Salazar, Maria Elvira,Republican,Florida,FL,27th
Salinas, Andrea,Democrat,Oregon,OR,6th
Sarbanes, John P.,Democrat,Maryland,MD,3rd
Scalise, Steve,Republican,Louisiana,LA,1st
Scanlon, Mary Gay,Democrat,Pennsylvania,PA,5th
Schakowsky, Janice D.,Democrat,Illinois,IL,9th
Schiff, Adam B.,Democrat,California,CA,30th
Schneider, Bradley Scott,Democrat,Illinois,IL,10th
Scholten, Hillary J.,Democrat,Michigan,MI,3rd
Schrier, Kim,Democrat,Washington,WA,8th
Schweikert, David,Republican,Arizona,AZ,1st
Scott, Austin,Republican,Georgia,GA,8th
Scott, David,Democrat,Georgia,GA,13th
Scott, Robert C. "Bobby",Democrat,Virginia,VA,3rd
Self, Keith,Republican,Texas,TX,3rd
Sessions, Pete,Republican,Texas,TX,17th
Sewell, Terri A.,Democrat,Alabama,AL,7th
Sherman, Brad,Democrat,California,CA,32nd
Sherrill, Mikie,Democrat,New Jersey,NJ,11th
Simpson, Michael K.,Republican,Idaho,ID,2nd
Slotkin, Elissa,Democrat,Michigan,MI,7th
Smith, Adam,Democrat,Washington,WA,9th
Smith, Adrian,Republican,Nebraska,NE,3rd
Smith, Christopher H.,Republican,New Jersey,NJ,4th
Smith, Jason,Republican,Missouri,MO,8th
Smucker, Lloyd,Republican,Pennsylvania,PA,11th
Sorensen, Eric,Democrat,Illinois,IL,17th
Soto, Darren,Democrat,Florida,FL,9th
Spanberger, Abigail Davis,Democrat,Virginia,VA,7th
Spartz, Victoria,Republican,Indiana,IN,5th
Stansbury, Melanie A.,Democrat,New Mexico,NM,1st
Stanton, Greg,Democrat,Arizona,AZ,4th
Stauber, Pete,Republican,Minnesota,MN,8th
Steel, Michelle,Republican,California,CA,45th
Stefanik, Elise M.,Republican,New York,NY,21st
Steil, Bryan,Republican,Wisconsin,WI,1st
Steube, W. Gregory,Republican,Florida,FL,17th
Stevens, Haley M.,Democrat,Michigan,MI,11th
Strickland, Marilyn,Democrat,Washington,WA,10th
Strong, Dale W.,Republican,Alabama,AL,5th
Suozzi, Thomas R.,Democrat,New York,NY,3rd
Swalwell, Eric,Democrat,California,CA,14th
Sykes, Emilia Strong,Democrat,Ohio,OH,13th
Sánchez, Linda T.,Democrat,California,CA,38th
Takano, Mark,Democrat,California,CA,39th
Tenney, Claudia,Republican,New York,NY,24th
Thanedar, Shri,Democrat,Michigan,MI,13th
Thompson, Bennie G.,Democrat,Mississippi,MS,2nd
Thompson, Glenn,Republican,Pennsylvania,PA,15th
Thompson, Mike,Democrat,California,CA,4th
Tiffany, Thomas P.,Republican,Wisconsin,WI,7th
Timmons, William R. IV,Republican,South Carolina,SC,4th
Titus, Dina,Democrat,Nevada,NV,1st
Tlaib, Rashida,Democrat,Michigan,MI,12th
Tokuda, Jill N.,Democrat,Hawaii,HI,2nd
Tonko, Paul,Democrat,New York,NY,20th
Torres, Norma J.,Democrat,California,CA,35th
Torres, Ritchie,Democrat,New York,NY,15th
Trahan, Lori,Democrat,Massachusetts,MA,3rd
Trone, David J.,Democrat,Maryland,MD,6th
Turner, Michael R.,Republican,Ohio,OH,10th
Underwood, Lauren,Democrat,Illinois,IL,14th
Valadao, David G.,Republican,California,CA,22nd
Van Drew, Jefferson,Republican,New Jersey,NJ,2nd
Van Duyne, Beth,Republican,Texas,TX,24th
Van Orden, Derrick,Republican,Wisconsin,WI,3rd
Vargas, Juan,Democrat,California,CA,52nd
Vasquez, Gabe,Democrat,New Mexico,NM,2nd
Veasey, Marc A.,Democrat,Texas,TX,33rd
Velázquez, Nydia M.,Democrat,New York,NY,7th
Wagner, Ann,Republican,Missouri,MO,2nd
Walberg, Tim,Republican,Michigan,MI,5th
Waltz, Michael,Republican,Florida,FL,6th
Wasserman Schultz, Debbie,Democrat,Florida,FL,25th
Waters, Maxine,Democrat,California,CA,43rd
Watson Coleman, Bonnie,Democrat,New Jersey,NJ,12th
Weber, Randy K. Sr.,Republican,Texas,TX,14th
Webster, Daniel,Republican,Florida,FL,11th
Wenstrup, Brad R.,Republican,Ohio,OH,2nd
Westerman, Bruce,Republican,Arkansas,AR,4th
Wexton, Jennifer,Democrat,Virginia,VA,10th
Wild, Susan,Democrat,Pennsylvania,PA,7th
Williams, Brandon,Republican,New York,NY,22nd
Williams, Nikema,Democrat,Georgia,GA,5th
Williams, Roger,Republican,Texas,TX,25th
Wilson, Frederica S.,Democrat,Florida,FL,24th
Wilson, Joe,Republican,South Carolina,SC,2nd
Wittman, Robert J.,Republican,Virginia,VA,1st
Womack, Steve,Republican,Arkansas,AR,3rd
Yakym, Rudy III,Republican,Indiana,IN,2nd
Zinke, Ryan K.,Republican,Montana,MT,1st
