"last_name","first_name","party","state","district"
"King","Peter","R","NY","2"
"Welch","Peter","D","VT","0"
"Gingrey","Phil","R","GA","11"
"Hall","Ralph","R","TX","4"
"Hultgren","Randy","R","IL","14"
"Weber","Randy","R","TX","14"
"Neugebauer","Randy","R","TX","19"
"Ruiz","Raul","D","CA","36"
"Grijalva","Raúl","D","AZ","3"
"Labrador","Raúl","R","ID","1"
"Ribble","Reid","R","WI","8"
"Ellmers","Renee","R","NC","2"
"Nugent","Richard","R","FL","11"
"Neal","Richard","D","MA","1"
"Hudson","Richard","R","NC","8"
"Hanna","Richard","R","NY","22"
"Nolan","Richard","D","MN","8"
"Larsen","Rick","D","WA","2"
"Bishop","Rob","R","UT","1"
"Woodall","Rob","R","GA","7"
"Brady","Robert","D","PA","1"
"Aderholt","Robert","R","AL","4"
"Scott","Robert","D","VA","3"
"Andrews","Robert","D","NJ","1"
"Latta","Robert","R","OH","5"
"Hurt","Robert","R","VA","5"
"Wittman","Robert","R","VA","1"
"Pittenger","Robert","R","NC","9"
"Kelly","Robin","D","IL","2"
"Alexander","Rodney","R","LA","5"
"Davis","Rodney","R","IL","13"
"Frelinghuysen","Rodney","R","NJ","11"
"Williams","Roger","R","TX","25"
"Barber","Ron","D","AZ","2"
"DeSantis","Ron","R","FL","6"
"Kind","Ron","D","WI","3"
"DeLauro","Rosa","D","CT","3"
"Hinojosa","Rubén","D","TX","15"
"Holt","Rush","D","NJ","12"
"Farr","Sam","D","CA","20"
"Graves","Sam","R","MO","6"
"Johnson","Sam","R","TX","3"
"Levin","Sander","D","MI","9"
"Bishop","Sanford","D","GA","2"
"DesJarlais","Scott","R","TN","4"
"Garrett","Scott","R","NJ","5"
"Peters","Scott","D","CA","52"
"Perry","Scott","R","PA","4"
"Tipton","Scott","R","CO","3"
"Duffy","Sean","R","WI","7"
"Maloney","Sean","D","NY","18"
"Jackson Lee","Sheila","D","TX","18"
"Capito","Shelley","R","WV","2"
"Bachus","Spencer","R","AL","6"
"Hoyer","Steny","D","MD","5"
"Lynch","Stephen","D","MA","8"
"Fincher","Stephen","R","TN","8"
"Pearce","Stevan","R","NM","2"
"Chabot","Steve","R","OH","1"
"Cohen","Steve","D","TN","9"
"Daines","Steve","R","MT","0"
"Israel","Steve","D","NY","3"
"King","Steve","R","IA","4"
"Scalise","Steve","R","LA","1"
"Southerland","Steve","R","FL","2"
"Stivers","Steve","R","OH","15"
"Stockman","Steve","R","TX","36"
"Womack","Steve","R","AR","3"
"Horsford","Steven","D","NV","4"
"Palazzo","Steven","R","MS","4"
"Davis","Susan","D","CA","53"
"Brooks","Susan","R","IN","5"
"DelBene","Suzan","D","WA","1"
"Bonamici","Suzanne","D","OR","1"
"Duckworth","Tammy","D","IL","8"
"Poe","Ted","R","TX","2"
"Yoho","Ted","R","FL","3"
"Sewell","Terri","D","AL","7"
"Deutch","Theodore","D","FL","21"
"Petri","Thomas","R","WI","6"
"Rooney","Thomas","R","FL","17"
"Massie","Thomas","R","KY","4"
"Griffin","Tim","R","AR","2"
"Huelskamp","Tim","R","KS","1"
"Murphy","Tim","R","PA","18"
"Ryan","Tim","D","OH","13"
"Walberg","Tim","R","MI","7"
"Bishop","Timothy","D","NY","1"
"Walz","Timothy","D","MN","1"
"Rokita","Todd","R","IN","4"
"Young","Todd","R","IN","9"
"Cole","Tom","R","OK","4"
"Cotton","Tom","R","AR","4"
"Graves","Tom","R","GA","14"
"Latham","Tom","R","IA","3"
"Marino","Tom","R","PA","10"
"McClintock","Tom","R","CA","4"
"Price","Tom","R","GA","6"
"Reed","Tom","R","NY","23"
"Rice","Tom","R","SC","7"
"Cárdenas","Tony","D","CA","29"
"Franks","Trent","R","AZ","8"
"Gowdy","Trey","R","SC","4"
"Radel","Trey","R","FL","19"
"Gabbard","Tulsi","D","HI","2"
"McAllister","Vance","R","LA","5"
"Buchanan","Vern","R","FL","16"
"Hartzler","Vicky","R","MO","4"
"Foxx","Virginia","R","NC","5"
"Jones","Walter","R","NC","3"
"Enyart","William","D","IL","12"
"Owens","William","D","NY","21"
"Keating","William","D","MA","9"
"Clay","Wm.","D","MO","1"
"Becerra","Xavier","D","CA","34"
"Clarke","Yvette","D","NY","9"
"Lofgren","Zoe","D","CA","19"
