"","LastName","FirstName","Party","State","District"
"188","Huizenga","Bill","R","MI","4th"
"189","Hunt","Wesley","R","TX","38th"
"190","Issa","Darrell","R","CA","48th"
"191","Ivey","Glenn","D","MD","4th"
"192","Jackson Lee","Sheila","D","TX","18th"
"193","Jackson","Jeff","D","NC","14th"
"194","Jackson","Jonathan L.","D","IL","1st"
"195","Jackson","Ronny","R","TX","13th"
"196","Jacobs","Sara","D","CA","51st"
"197","James","John","R","MI","10th"
"198","Jayapal","Pramila","D","WA","7th"
"199","Jeffries","Hakeem S.","D","NY","8th"
"200","Johnson","Dusty","R","SD","At Large"
"201","Johnson","Henry C. ""Hank"" Jr.","D","GA","4th"
"202","Johnson","Mike","R","LA","4th"
"203","Jordan","Jim","R","OH","4th"
"204","Joyce","David P.","R","OH","14th"
"205","Joyce","John","R","PA","13th"
"206","Kamlager-Dove","Sydney","D","CA","37th"
"207","Kaptur","Marcy","D","OH","9th"
"208","Kean","Thomas H. Jr.","R","NJ","7th"
"209","Keating","William R.","D","MA","9th"
"210","Kelly","Mike","R","PA","16th"
"211","Kelly","Robin L.","D","IL","2nd"
"212","Kelly","Trent","R","MS","1st"
"213","Khanna","Ro","D","CA","17th"
"214","Kiggans","Jennifer A.","R","VA","2nd"
"215","Kildee","Daniel T.","D","MI","8th"
"216","Kiley","Kevin","R","CA","3rd"
"217","Kilmer","Derek","D","WA","6th"
"218","Kim","Andy","D","NJ","3rd"
"219","Kim","Young","R","CA","40th"
"220","Krishnamoorthi","Raja","D","IL","8th"
"221","Kuster","Ann M.","D","NH","2nd"
"222","Kustoff","David","R","TN","8th"
"223","LaHood","Darin","R","IL","16th"
"224","LaLota","Nick","R","NY","1st"
"225","LaMalfa","Doug","R","CA","1st"
"226","Lamborn","Doug","R","CO","5th"
"227","Landsman","Greg","D","OH","1st"
"228","Langworthy","Nicholas A.","R","NY","23rd"
"229","Larsen","Rick","D","WA","2nd"
"230","Larson","John B.","D","CT","1st"
"231","Latta","Robert E.","R","OH","5th"
"232","LaTurner","Jake","R","KS","2nd"
"233","Lawler","Michael","R","NY","17th"
"234","Lee","Barbara","D","CA","12th"
"235","Lee","Laurel M.","R","FL","15th"
"236","Lee","Summer L.","D","PA","12th"
"237","Lee","Susie","D","NV","3rd"
"238","Leger Fernandez","Teresa","D","NM","3rd"
"239","Lesko","Debbie","R","AZ","8th"
"240","Letlow","Julia","R","LA","5th"
"241","Levin","Mike","D","CA","49th"
"242","Lieu","Ted","D","CA","36th"
"243","Lofgren","Zoe","D","CA","18th"
"244","Loudermilk","Barry","R","GA","11th"
"245","Lucas","Frank D.","R","OK","3rd"
"246","Luetkemeyer","Blaine","R","MO","3rd"
"247","Luna","Anna Paulina","R","FL","13th"
"248","Luttrell","Morgan","R","TX","8th"
"249","Lynch","Stephen F.","D","MA","8th"
"250","Mace","Nancy","R","SC","1st"
"251","Magaziner","Seth","D","RI","2nd"
"252","Malliotakis","Nicole","R","NY","11th"
"253","Maloy","Celeste","R","UT","2nd"
"254","Mann","Tracey","R","KS","1st"
"255","Manning","Kathy E.","D","NC","6th"
"256","Massie","Thomas","R","KY","4th"
"257","Mast","Brian J.","R","FL","21st"
"258","Matsui","Doris O.","D","CA","7th"
"259","McBath","Lucy","D","GA","7th"
"260","McCaul","Michael T.","R","TX","10th"
"261","McClain","Lisa C.","R","MI","9th"
"262","McClellan","Jennifer L.","D","VA","4th"
"263","McClintock","Tom","R","CA","5th"
"264","McCollum","Betty","D","MN","4th"
"265","McCormick","Richard","R","GA","6th"
"266","McGarvey","Morgan","D","KY","3rd"
"267","McGovern","James P.","D","MA","2nd"
"268","McHenry","Patrick T.","R","NC","10th"
"269","Meeks","Gregory W.","D","NY","5th"
"270","Menendez","Robert","D","NJ","8th"
"271","Meng","Grace","D","NY","6th"
"272","Meuser","Daniel","R","PA","9th"
"273","Mfume","Kweisi","D","MD","7th"
"274","Miller","Carol D.","R","WV","1st"
"275","Miller","Mary E.","R","IL","15th"
"276","Miller","Max L.","R","OH","7th"
"277","Miller-Meeks","Mariannette","R","IA","1st"
"278","Mills","Cory","R","FL","7th"
"279","Molinaro","Marcus J.","R","NY","19th"
"280","Moolenaar","John R.","R","MI","2nd"
"281","Mooney","Alexander X.","R","WV","2nd"
"282","Moore","Barry","R","AL","2nd"
"283","Moore","Blake D.","R","UT","1st"
"284","Moore","Gwen","D","WI","4th"
"285","Moran","Nathaniel","R","TX","1st"
"286","Morelle","Joseph D.","D","NY","25th"
"287","Moskowitz","Jared","D","FL","23rd"
"288","Moulton","Seth","D","MA","6th"
"289","Moylan","James C.","R","GU","Delegate"
"290","Mrvan","Frank J.","D","IN","1st"
"291","Mullin","Kevin","D","CA","15th"
"292","Murphy","Gregory F.","R","NC","3rd"
"293","Nadler","Jerrold","D","NY","12th"
"294","Napolitano","Grace F.","D","CA","31st"
"295","Neal","Richard E.","D","MA","1st"
"296","Neguse","Joe","D","CO","2nd"
"297","Nehls","Troy E.","R","TX","22nd"
"298","Newhouse","Dan","R","WA","4th"
"299","Nickel","Wiley","D","NC","13th"
"300","Norcross","Donald","D","NJ","1st"
"301","Norman","Ralph","R","SC","5th"
"302","Norton","Eleanor Holmes","D","DC","Delegate"
"303","Nunn","Zachary","R","IA","3rd"
"304","Obernolte","Jay","R","CA","23rd"
"305","Ocasio-Cortez","Alexandria","D","NY","14th"
"306","Ogles","Andrew","R","TN","5th"
"307","Omar","Ilhan","D","MN","5th"
"308","Owens","Burgess","R","UT","4th"
"309","Pallone","Frank Jr.","D","NJ","6th"
"310","Palmer","Gary J.","R","AL","6th"
"311","Panetta","Jimmy","D","CA","19th"
"312","Pappas","Chris","D","NH","1st"
"313","Pascrell","Bill Jr.","D","NJ","9th"
"314","Payne","Donald M. Jr.","D","NJ","10th"
"315","Pelosi","Nancy","D","CA","11th"
"316","Peltola","Mary Sattler","D","AK","At Large"
"317","Pence","Greg","R","IN","6th"
"318","Perez","Marie Gluesenkamp","D","WA","3rd"
"319","Perry","Scott","R","PA","10th"
"320","Peters","Scott H.","D","CA","50th"
"321","Pettersen","Brittany","D","CO","7th"
"322","Pfluger","August","R","TX","11th"
"323","Phillips","Dean","D","MN","3rd"
"324","Pingree","Chellie","D","ME","1st"
"325","Plaskett","Stacey E.","D","VI","Delegate"
"326","Pocan","Mark","D","WI","2nd"
"327","Porter","Katie","D","CA","47th"
"328","Posey","Bill","R","FL","8th"
"329","Pressley","Ayanna","D","MA","7th"
"330","Quigley","Mike","D","IL","5th"
"331","Radewagen","Aumua Amata Coleman","R","AS","Delegate"
"332","Ramirez","Delia C.","D","IL","3rd"
"333","Raskin","Jamie","D","MD","8th"
"334","Reschenthaler","Guy","R","PA","14th"
"335","Rodgers","Cathy McMorris","R","WA","5th"
"336","Rogers","Harold","R","KY","5th"
"337","Rogers","Mike","R","AL","3rd"
"338","Rose","John W.","R","TN","6th"
"339","Rosendale","Matthew M. Sr.","R","MT","2nd"
"340","Ross","Deborah K.","D","NC","2nd"
"341","Rouzer","David","R","NC","7th"
"342","Roy","Chip","R","TX","21st"
"343","Ruiz","Raul","D","CA","25th"
"344","Ruppersberger","C. A. Dutch","D","MD","2nd"
"345","Rutherford","John H.","R","FL","5th"
"346","Ryan","Patrick","D","NY","18th"
"347","Sablan","Gregorio Kilili Camacho","D","MP","Delegate"
"348","Salazar","Maria Elvira","R","FL","27th"
"349","Salinas","Andrea","D","OR","6th"
"350","Sarbanes","John P.","D","MD","3rd"
"351","Scalise","Steve","R","LA","1st"
"352","Scanlon","Mary Gay","D","PA","5th"
"353","Schakowsky","Janice D.","D","IL","9th"
"354","Schiff","Adam B.","D","CA","30th"
"355","Schneider","Bradley Scott","D","IL","10th"
"356","Scholten","Hillary J.","D","MI","3rd"
"357","Schrier","Kim","D","WA","8th"
"358","Schweikert","David","R","AZ","1st"
"359","Scott","Austin","R","GA","8th"
"360","Scott","David","D","GA","13th"
"361","Scott","Robert C. ""Bobby""","D","VA","3rd"
"362","Self","Keith","R","TX","3rd"
"363","Sessions","Pete","R","TX","17th"
"364","Sewell","Terri A.","D","AL","7th"
"365","Sherman","Brad","D","CA","32nd"
"366","Sherrill","Mikie","D","NJ","11th"
"367","Simpson","Michael K.","R","ID","2nd"
"368","Slotkin","Elissa","D","MI","7th"
"369","Smith","Adam","D","WA","9th"
"370","Smith","Adrian","R","NE","3rd"
"371","Smith","Christopher H.","R","NJ","4th"
"372","Smith","Jason","R","MO","8th"
"373","Smucker","Lloyd","R","PA","11th"
"374","Sorensen","Eric","D","IL","17th"
"375","Soto","Darren","D","FL","9th"
"376","Spanberger","Abigail Davis","D","VA","7th"
"377","Spartz","Victoria","R","IN","5th"
"378","Stansbury","Melanie A.","D","NM","1st"
"379","Stanton","Greg","D","AZ","4th"
"380","Stauber","Pete","R","MN","8th"
"381","Steel","Michelle","R","CA","45th"
"382","Stefanik","Elise M.","R","NY","21st"
"383","Steil","Bryan","R","WI","1st"
"384","Steube","W. Gregory","R","FL","17th"
"385","Stevens","Haley M.","D","MI","11th"
"386","Strickland","Marilyn","D","WA","10th"
"387","Strong","Dale W.","R","AL","5th"
"388","Suozzi","Thomas R.","D","NY","3rd"
"389","Swalwell","Eric","D","CA","14th"
"390","Sykes","Emilia Strong","D","OH","13th"
"391","Sánchez","Linda T.","D","CA","38th"
"392","Takano","Mark","D","CA","39th"
"393","Tenney","Claudia","R","NY","24th"
"394","Thanedar","Shri","D","MI","13th"
"395","Thompson","Bennie G.","D","MS","2nd"
"396","Thompson","Glenn","R","PA","15th"
"397","Thompson","Mike","D","CA","4th"
"398","Tiffany","Thomas P.","R","WI","7th"
"399","Timmons","William R. IV","R","SC","4th"
"400","Titus","Dina","D","NV","1st"
"401","Tlaib","Rashida","D","MI","12th"
"402","Tokuda","Jill N.","D","HI","2nd"
"403","Tonko","Paul","D","NY","20th"
"404","Torres","Norma J.","D","CA","35th"
"405","Torres","Ritchie","D","NY","15th"
"406","Trahan","Lori","D","MA","3rd"
"407","Trone","David J.","D","MD","6th"
"408","Turner","Michael R.","R","OH","10th"
"409","Underwood","Lauren","D","IL","14th"
"410","Valadao","David G.","R","CA","22nd"
"411","Van Drew","Jefferson","R","NJ","2nd"
"412","Van Duyne","Beth","R","TX","24th"
"413","Van Orden","Derrick","R","WI","3rd"
"414","Vargas","Juan","D","CA","52nd"
"415","Vasquez","Gabe","D","NM","2nd"
"416","Veasey","Marc A.","D","TX","33rd"
"417","Velázquez","Nydia M.","D","NY","7th"
"418","Wagner","Ann","R","MO","2nd"
"419","Walberg","Tim","R","MI","5th"
"420","Waltz","Michael","R","FL","6th"
"421","Wasserman Schultz","Debbie","D","FL","25th"
"422","Waters","Maxine","D","CA","43rd"
"423","Watson Coleman","Bonnie","D","NJ","12th"
"424","Weber","Randy K. Sr.","R","TX","14th"
"425","Webster","Daniel","R","FL","11th"
"426","Wenstrup","Brad R.","R","OH","2nd"
"427","Westerman","Bruce","R","AR","4th"
"428","Wexton","Jennifer","D","VA","10th"
"429","Wild","Susan","D","PA","7th"
"430","Williams","Brandon","R","NY","22nd"
"431","Williams","Nikema","D","GA","5th"
"432","Williams","Roger","R","TX","25th"
"433","Wilson","Frederica S.","D","FL","24th"
"434","Wilson","Joe","R","SC","2nd"
"435","Wittman","Robert J.","R","VA","1st"
"436","Womack","Steve","R","AR","3rd"
"437","Yakym","Rudy III","R","IN","2nd"
"438","Zinke","Ryan K.","R","MT","1st"
