"party","Vote_change_dummy","Vote6","Contribution_6_minus","Contribution_6_plus","BioID","seniority_116","Geographical","Vote6_minus","Vote6_plus"
"R",0,0,20.1,0,"D000600",9,"SO",1,0
"D",1,1,7.5,0,"B000490",14,"SO",0,1
"D",0,1,1.5,0,"J000288",7,"SO",0,1
"R",0,0,2.5,0,"S001189",5,"SO",1,0
"D",0,1,0,0,"S001157",9,"SO",0,1
"R",0,0,40.1,0,"S001148",11,"WE",1,0
"D",0,1,35,0,"R000515",14,"MW",0,1
"D",0,1,15.5,0,"K000385",4,"MW",0,1
"D",0,1,0,0,"Q000023",6,"MW",0,1
"D",0,1,9,0,"D000096",12,"MW",0,1
"D",0,1,0,1.275,"S001145",11,"MW",0,1
"D",0,1,8.5,0,"S001190",3,"MW",0,1
"D",0,1,9.2,0,"F000454",6,"MW",0,1
"R",0,0,62.064,0,"D000619",4,"MW",1,0
"R",0,0,61.8,0,"K000378",5,"MW",1,0
"D",0,1,54.25,4,"B001286",4,"MW",0,1
"R",0,0,31.488,0,"W000813",4,"MW",1,0
"D",0,1,0,0.7,"C001072",7,"MW",0,1
"R",0,0,6.25,0,"B001275",5,"MW",1,0
"R",0,0,27,0,"G000558",6,"SO",1,0
"D",0,1,0,0,"Y000062",7,"SO",0,1
"R",0,0,6,0,"M001184",5,"SO",1,0
"R",0,0,1,0,"R000395",17,"SO",1,0
"R",0,0,42.073,0,"B001282",4,"SO",1,0
"R",0,0,155.465,0.75,"S001176",7,"SO",1,0
"D",0,1,52.8,0,"R000588",5,"SO",0,1
"D",0,1,1,0,"P000597",6,"NE",0,1
"R",0,0,0.25,0,"H001052",5,"SO",1,0
"D",0,1,8,2.8,"R000576",9,"SO",0,1
"D",0,1,0,0,"S001168",7,"SO",0,1
"D",0,1,121.5,0,"H000874",17,"SO",0,1
"D",0,1,66.2,1,"N000015",16,"NE",0,1
"D",0,1,0.25,5.6,"M000312",12,"NE",0,1
"D",0,1,0,0,"L000562",10,"NE",0,1
"D",0,1,2,0,"K000375",5,"NE",0,1
"R",0,0,26.988,0,"H001058",5,"MW",1,0
"D",0,1,17.8,0,"K000380",4,"MW",0,1
"R",1,1,51.788,0,"U000031",17,"MW",0,1
"R",0,0,73.238,0,"W000798",6,"MW",1,0
"D",0,1,NA,NA,"M001143",10,"MW",0,1
"D",0,1,11.5,0,"T000193",14,"SO",0,1
"R",0,0,20.9,0,"P000601",5,"SO",1,0
"R",0,0,23.011,0,"W000812",4,"MW",1,0
"R",0,0,6,0,"L000569",6,"MW",1,0
"R",0,0,10.3,0,"H001053",5,"MW",1,0
"D",0,1,4.5,0,"C001061",8,"MW",0,1
"R",0,0,43,1,"G000546",10,"MW",1,0
"R",0,0,45,0,"L000576",5,"MW",1,0
"R",0,0,25,0,"S001195",4,"MW",1,0
"R",0,0,3.5,0,"F000449",8,"MW",1,0
"R",0,0,21.5,0,"S001172",7,"MW",1,0
"D",0,1,3.5,0,"T000468",5,"WE",0,1
"R",0,0,14.75,0,"A000369",5,"WE",1,0
"D",0,1,23.1,0,"H001066",2,"WE",0,1
"D",0,1,6.75,0,"K000382",4,"NE",0,1
"R",1,1,10.988,0,"S000522",17,"NE",0,1
"D",0,1,80.55,2.5,"P000034",17,"NE",0,1
"D",0,1,2.5,0,"S001165",8,"NE",0,1
"D",0,1,16.75,1,"P000096",12,"NE",0,1
"D",0,1,13,0,"P000604",5,"NE",0,1
"D",0,1,5,0,"M001137",12,"NE",0,1
"D",0,1,0,0,"M001188",4,"NE",0,1
"D",0,1,3.25,0,"V000081",14,"NE",0,1
"D",0,1,3.5,0,"J000294",4,"NE",0,1
"D",0,1,4.5,0,"C001067",7,"NE",0,1
"D",0,1,1,0,"N000002",15,"NE",0,1
"D",0,1,6.4,0.25,"M000087",14,"NE",0,1
"D",0,1,86.55,3.8,"T000469",6,"NE",0,1
"R",1,0,45.288,0,"R000585",6,"NE",1,0
"D",0,1,5,0,"H001038",8,"NE",0,1
"D",0,1,4.5,0,"B001251",9,"SO",0,1
"D",0,1,1,0,"P000523",16,"SO",0,1
"R",0,0,21,0,"F000450",8,"SO",1,0
"R",0,0,58.188,0,"H001067",4,"SO",1,0
"R",0,0,17.5,0,"M001156",8,"SO",1,0
"R",0,0,13.878,0,"C000266",12,"MW",1,0
"R",0,0,20.5,0,"W000815",4,"MW",1,0
"D",0,1,17.25,0,"B001281",4,"MW",0,1
"R",0,0,18.55,0,"J000289",7,"MW",1,0
"R",0,0,36.25,0,"L000566",7,"MW",1,0
"R",0,0,101.35,0,"J000292",5,"MW",1,0
"R",0,0,12.5,0,"G000563",5,"MW",1,0
"D",0,1,22.5,3,"K000009",17,"MW",0,1
"R",0,0,12.011,0,"T000463",9,"MW",1,0
"D",0,1,4,0,"F000455",7,"MW",0,1
"R",0,0,45.311,0,"J000295",4,"MW",1,0
"R",0,0,63.3,0,"S001187",5,"MW",1,0
"R",0,0,NA,NA,"M001190",NA,"SO",1,0
"R",0,0,15.5,0,"L000491",14,"SO",1,0
"R",0,0,86.5,3,"C001053",9,"SO",1,0
"D",0,1,1,0,"B001278",5,"WE",0,1
"D",0,1,0.75,0,"B000574",13,"WE",0,1
"D",0,1,6.5,0,"D000191",17,"WE",0,1
"D",0,1,43,0,"S001180",6,"WE",0,1
"R",0,0,53.738,0,"K000376",5,"NE",1,0
"R",0,0,13.2,3.5,"P000605",4,"NE",1,0
"R",0,0,20.55,0,"T000467",6,"NE",1,0
"D",0,1,43,0,"D000482",13,"NE",0,1
"D",0,1,3,0,"C001090",4,"NE",0,1
"D",0,1,1.055,0,"C001084",5,"NE",0,1
"D",0,1,0.3,0,"L000559",10,"NE",0,1
"R",0,0,7.5,0,"W000795",10,"SO",1,0
"R",0,0,22,0,"D000615",5,"SO",1,0
"D",0,1,59.3,0,"C000537",14,"SO",0,1
"R",0,0,13.5,0,"R000597",4,"SO",1,0
"R",0,0,15.8,0,"F000459",5,"SO",1,0
"R",0,0,6.1,0,"D000616",5,"SO",1,0
"D",0,1,3.5,0,"C000754",13,"SO",0,1
"D",0,1,0,0,"C001068",7,"SO",0,1
"R",0,0,6.05,0,"G000552",8,"SO",1,0
"R",0,0,98.5,0,"B000755",12,"SO",1,0
"D",0,1,1.5,0,"G000553",8,"SO",0,1
"R",0,0,50.088,1,"M001157",8,"SO",1,0
"R",0,0,39.1,0,"G000377",12,"SO",1,0
"R",0,0,11.5,0,"W000814",4,"SO",1,0
"D",0,1,3.05,0,"J000032",13,"SO",0,1
"D",0,1,NA,NA,"C001091",4,"SO",0,1
"R",0,0,62.588,0,"W000816",4,"SO",1,0
"R",0,0,9.1,0,"B001248",9,"SO",1,0
"D",1,1,68.65,0,"C001063",8,"SO",0,1
"D",0,1,3.5,0,"J000126",14,"SO",0,1
"R",0,0,24.522,0,"C001051",9,"SO",1,0
"D",1,1,44.9,0,"V000131",4,"SO",0,1
"D",1,1,17,0,"V000132",4,"SO",0,1
"D",0,1,0,0,"D000399",13,"SO",0,1
"R",0,0,6.5,0,"S001192",4,"WE",1,0
"D",0,1,NA,NA,"W000800",NA,"NE",0,1
"R",0,0,30.988,0,"W000804",7,"SO",1,0
"D",0,1,5,0,"S000185",14,"SO",0,1
"R",0,0,44,0,"G000568",5,"SO",1,0
"D",0,1,5.75,0,"C001078",6,"SO",0,1
"D",0,1,4,0,"D000617",5,"WE",0,1
"D",0,1,11.5,0,"L000560",10,"WE",0,1
"R",0,0,66.838,0,"M001159",8,"WE",1,0
"D",0,1,7.175,0,"K000381",4,"WE",0,1
"D",0,1,8.8,6,"S000510",12,"WE",0,1
"R",0,0,35.7,0,"M001180",5,"SO",1,0
"D",0,1,2,0,"P000607",4,"MW",0,1
"D",0,1,10.75,0,"K000188",12,"MW",0,1
"D",0,1,4,0,"M001160",8,"MW",0,1
"R",0,0,9,0,"P000609",3,"SO",1,0
"D",0,1,37.5,0,"G000574",3,"WE",0,1
"R",0,0,30.838,0,"H001072",3,"SO",1,0
"R",0,0,16,0,"W000821",3,"SO",1,0
"D",0,1,6.15,0,"D000623",3,"WE",0,1
"D",0,1,23.231,0,"A000371",3,"WE",0,1
"D",0,1,5.75,0,"L000582",3,"WE",0,1
"D",0,1,6.5,0,"T000474",3,"WE",0,1
"R",0,0,2,0,"B001297",3,"WE",1,0
"R",0,0,29.3,0,"C001103",3,"SO",1,0
"R",0,0,1.5,0,"H001071",3,"SO",1,0
"R",0,0,6.3,0,"L000583",3,"SO",1,0
"R",0,0,1.5,0,"A000372",3,"SO",1,0
"R",0,0,33.888,0,"B001295",3,"MW",1,0
"R",0,0,43.35,0,"L000585",3,"MW",1,0
"R",0,0,62.4,0,"G000577",3,"SO",1,0
"D",0,1,4.8,0,"C001101",4,"NE",0,1
"D",0,1,1.75,0.25,"M001196",3,"NE",0,1
"R",0,0,9.5,0,"M001194",3,"MW",1,0
"D",0,1,26.4,0,"D000624",3,"MW",0,1
"D",0,1,11,0,"L000581",3,"MW",0,1
"R",0,0,9.25,0,"K000388",3,"SO",1,0
"D",0,1,25.3,0,"N000188",4,"NE",0,1
"D",0,1,4.5,0,"W000822",3,"NE",0,1
"R",0,0,47.988,0,"Z000017",3,"NE",1,0
"D",0,1,2.25,0,"R000602",3,"NE",0,1
"R",1,1,24.238,2.5,"S001196",3,"NE",0,1
"R",0,1,29.071,0,"K000386",3,"NE",0,1
"R",0,0,19.988,0,"R000603",3,"SO",1,0
"D",0,1,6.5,0,"A000370",4,"SO",0,1
"R",0,0,0,0,"D000626",3,"MW",1,0
"D",0,1,2,0,"B001296",3,"NE",0,1
"R",0,0,19.5,0,"B001291",3,"SO",1,0
"D",0,1,11.4,5.6,"B001292",3,"SO",0,1
"R",0,0,7.25,1,"N000189",3,"WE",1,0
"R",0,0,23.988,0,"M001195",3,"SO",1,0
"R",0,0,13.011,0,"G000576",3,"MW",1,0
"D",0,1,11.75,0,"O000171",2,"WE",0,1
"R",0,0,27.25,0,"B001302",2,"WE",1,0
"D",0,1,2.257,0,"K000389",2,"WE",0,1
"D",0,1,4.5,0,"P000613",2,"WE",0,1
"D",0,1,4.25,0,"C001112",2,"WE",0,1
"D",0,1,8.5,0,"G000585",2,"WE",0,1
"D",0,1,3,0,"B001300",2,"WE",0,1
"D",0,1,19,0,"C001110",2,"WE",0,1
"D",0,1,12.5,0,"B001303",2,"SO",0,1
"R",1,0,1.5,0,"G000578",2,"SO",1,0
"R",0,0,2.5,0,"D000628",2,"SO",1,0
"R",0,0,3.5,0,"R000609",2,"SO",1,0
"D",0,1,1.5,0,"L000586",2,"SO",0,1
"D",0,1,7.55,1,"M001202",2,"SO",0,1
"D",0,1,2.5,0,"S001200",2,"SO",0,1
"D",0,1,3.5,0,"D000627",2,"SO",0,1
"D",0,1,11.2,0,"C001111",2,"SO",0,1
"R",0,1,24.407,0,"M001199",2,"SO",0,1
"R",0,0,18.2,0,"F000465",2,"SO",1,0
"D",0,1,32.25,0,"K000391",2,"MW",0,1
"R",0,0,11,0,"B001299",2,"MW",1,0
"R",0,0,11,0,"H001074",2,"MW",1,0
"R",0,0,63.35,0,"E000298",2,"MW",1,0
"R",0,0,15.5,5,"C001108",3,"SO",1,0
"R",0,0,10.1,0,"H001077",2,"SO",1,0
"R",0,0,27.95,0,"J000299",2,"SO",1,0
"D",0,1,16.75,0.25,"B001304",2,"SO",0,1
"D",0,1,0,0,"R000606",2,"SO",0,1
"R",0,0,22.511,0,"B001301",2,"MW",1,0
"R",0,0,11.996,1,"B001298",2,"MW",1,0
"D",0,1,21.1,0,"G000583",2,"NE",0,1
"D",0,1,4.5,0,"S001201",2,"NE",0,1
"D",0,1,0,0,"E000297",2,"NE",0,1
"R",0,0,NA,NA,"B001305",NA,"SO",1,0
"D",0,1,3.5,0,"E000296",3,"NE",0,1
"R",0,1,33.35,0,"F000466",2,"NE",0,1
"R",0,0,24,0,"S001199",2,"NE",1,0
"R",0,0,6,0,"N000190",2,"SO",1,0
"R",0,0,6,0,"K000392",2,"SO",1,0
"D",1,1,18.5,0,"G000581",2,"SO",0,1
"R",0,0,54.178,2.5,"A000375",2,"SO",1,0
"D",0,1,19.5,0.25,"M001200",2,"SO",0,1
"D",0,1,0,1,"J000298",2,"WE",0,1
"R",0,0,28.75,0,"G000579",2,"MW",1,0
"R",0,0,61.1,0,"C001109",2,"WE",1,0
"D",0,1,14.5,0,"L000588",2,"NE",0,1
"R",0,0,16,2,"C001114",2,"WE",1,0
"D",0,1,8.5,0,"S001211",1,"WE",0,1
"D",0,1,6.55,0,"H001090",1,"WE",0,1
"D",0,1,1.385,0,"P000618",1,"WE",0,1
"D",0,1,8.535,3.635,"L000593",1,"WE",0,1
"D",0,1,1.01,0,"N000191",1,"WE",0,1
"D",0,1,5.6,0,"C001121",1,"WE",0,1
"D",0,1,0,0,"H001081",1,"NE",0,1
"R",1,1,7,0,"W000823",1,"SO",0,1
"R",0,0,3.5,0,"S001214",1,"SO",1,0
"D",0,1,3.8,0,"M001208",1,"SO",0,1
"D",0,1,3.5,0,"C001055",4,"WE",0,1
"D",0,1,1,0,"G000586",1,"MW",0,1
"D",0,1,10.6,5.75,"C001117",1,"MW",0,1
"D",0,1,0,0,"U000040",1,"MW",0,1
"R",0,0,2,0,"B001307",1,"MW",1,0
"R",0,0,22.85,0,"P000615",1,"MW",1,0
"D",0,1,8.6,1,"A000378",1,"MW",0,1
"D",0,1,3.25,1,"D000629",1,"MW",0,1
"D",0,1,1.25,0,"G000592",1,"NE",0,1
"D",0,1,1.25,0,"T000482",1,"NE",0,1
"D",0,1,0.8,0,"P000617",1,"NE",0,1
"D",0,1,9.9,0,"S001208",1,"MW",0,1
"D",0,1,3.5,0,"L000592",1,"MW",0,1
"D",0,1,14.9,0.25,"S001215",1,"MW",0,1
"D",0,1,5.8,0,"T000481",1,"MW",0,1
"R",0,0,20.488,0,"H001088",1,"MW",1,0
"D",0,1,6.5,0,"C001119",1,"MW",0,1
"D",0,1,0,0.25,"P000616",1,"MW",0,1
"D",0,1,3.512,0,"O000173",1,"MW",0,1
"R",0,0,24.788,0,"S001212",1,"MW",1,0
"R",0,0,19.3,0,"G000591",1,"SO",1,0
"D",0,1,7.375,0.25,"L000590",1,"WE",0,1
"D",0,1,0,0,"P000614",1,"NE",0,1
"R",0,1,9,0,"V000133",1,"NE",0,1
"D",0,1,1,0.25,"K000394",1,"NE",0,1
"D",0,1,11.65,1,"M001203",1,"NE",0,1
"D",0,1,5,0,"S001207",1,"NE",0,1
"D",0,1,0.642,0,"O000172",1,"NE",0,1
"D",0,1,2,0,"D000630",1,"NE",0,1
"D",0,1,4.5,0,"M001206",2,"NE",0,1
"R",0,0,41.3,0,"A000377",1,"MW",1,0
"R",0,0,39.188,0,"B001306",2,"MW",1,0
"R",0,0,29.41,0,"G000588",1,"MW",1,0
"D",0,1,2,0,"D000631",1,"NE",0,1
"D",0,1,0,0,"S001205",2,"NE",0,1
"D",0,1,2.9,0,"H001085",1,"NE",0,1
"D",0,1,0,0,"W000826",2,"NE",0,1
"R",0,0,4,0,"M001204",1,"NE",1,0
"R",0,0,23.95,0,"K000395",1,"NE",1,0
"R",0,0,12,0,"J000302",1,"NE",1,0
"R",0,0,58.8,0,"R000610",1,"NE",1,0
"R",0,0,5,0,"T000480",1,"SO",1,0
"R",0,0,14.5,0,"J000301",1,"MW",1,0
"R",0,0,17,0,"B001309",1,"SO",1,0
"R",0,0,1.5,1,"R000612",1,"SO",1,0
"R",0,0,10.593,0,"G000590",1,"SO",1,0
"R",0,0,105.988,2.8,"C001120",1,"SO",1,0
"R",0,0,119.474,8.1,"T000479",1,"SO",1,0
"R",0,0,33.1,0,"G000589",1,"SO",1,0
"D",0,1,52.65,0.25,"F000468",1,"SO",0,1
"D",0,1,1,0,"E000299",1,"SO",0,1
"R",0,0,67.588,0,"R000614",1,"SO",1,0
"D",0,1,16.5,0,"G000587",1,"SO",0,1
"D",0,1,19.735,0,"A000376",1,"SO",0,1
"D",0,1,2.8,5.6,"L000591",1,"SO",0,1
"R",0,0,9.6,0,"C001118",1,"SO",1,0
"D",0,1,8.86,0,"S001209",1,"SO",0,1
"D",0,1,2.8,0,"W000825",1,"SO",0,1
"D",0,1,3.1,1,"S001216",1,"WE",0,1
"R",0,0,35,0,"M001205",1,"SO",1,0
"R",0,0,23.143,0,"S001213",1,"MW",1,0
"R",0,0,5.5,0,"R000591",5,"SO",1,0
"R",0,0,9.5,2.8,"C001094",4,"WE",1,0
"R",0,0,1.5,0,"H001048",6,"WE",1,0
"D",0,1,0,0,"D000598",10,"WE",0,1
"R",0,0,19.288,0,"T000470",5,"WE",1,0
"R",0,0,1.5,0,"Y000065",4,"SO",1,0
"D",0,1,4.67,0,"L000287",17,"SO",0,1
"R",0,0,3,0,"W000810",5,"SO",1,0
"R",0,0,11,0,"C001093",4,"SO",1,0
"R",0,0,23.25,0,"G000560",6,"SO",1,0
"D",0,1,10.134,0.5,"G000571",4,"WE",0,1
"D",0,1,23.5,0,"L000563",8,"MW",0,1
"R",0,0,103.5,0,"S000364",12,"MW",1,0
"D",0,1,7.5,0,"V000108",17,"MW",0,1
"R",0,0,13,0,"B001284",4,"MW",1,0
"D",0,1,12,1,"L000565",7,"MW",0,1
"R",0,0,0,0,"K000362",9,"MW",1,0
"D",0,1,4.5,0,"C000984",13,"SO",0,1
"D",0,1,6.45,0,"K000379",4,"NE",0,1
"R",0,0,1.25,0,"A000367",5,"MW",1,0
"D",0,1,12,0,"P000258",15,"MW",0,1
"D",0,1,NA,NA,NA,NA,"MW",0,1
"D",0,1,NA,NA,NA,NA,"WE",0,1
"R",0,0,10.511,0,"K000210",14,"NE",1,0
"D",0,1,1,0,"S000248",16,"NE",0,1
"D",0,1,7,0,"E000179",16,"NE",0,1
"D",0,1,6.7,0,"L000480",16,"NE",0,1
"D",0,1,NA,NA,NA,NA,"NE",0,1
"R",0,0,0,0,"C001092",4,"NE",1,0
"R",0,0,3.85,0,"M001187",4,"SO",1,0
"R",0,0,NA,NA,NA,NA,"SO",1,0
"R",0,0,105,0,"W000791",11,"WE",1,0
"R",0,0,0.5,0,"R000582",6,"SO",1,0
"R",0,0,NA,NA,NA,NA,"SO",1,0
"R",0,0,43.075,0,"T000238",13,"SO",1,0
"R",0,0,57,0.25,"F000461",5,"SO",1,0
"R",0,0,85.188,0,"O000168",6,"SO",1,0
"R",0,0,18.761,0,"M001158",8,"SO",1,0
"R",0,0,NA,NA,"B001250",9,"WE",1,0
"D",0,1,1,0,"H001064",4,"WE",0,1
"R",0,0,NA,NA,NA,NA,"MW",1,0
"R",0,0,13.3,0,"D000614",5,"MW",1,0
"R",0,0,39.7,8,"B001289",4,"SO",1,0
"R",0,0,0,0,"A000374",3,"SO",1,0
"R",0,0,NA,NA,NA,NA,"SO",1,0
"R",0,0,5,0,"R000601",3,"SO",1,0
"R",0,0,119.847,0.25,"H001073",3,"SO",1,0
"R",0,1,0,0,"R000607",2,"SO",0,1
"R",0,0,NA,NA,NA,NA,"MW",1,0
"R",0,0,14,0,"M001201",2,"MW",1,0
"R",0,0,36.711,0,"G000584",2,"WE",1,0
