"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","Vote_change_dummy","oil_sum","coal_sum","gas_sum","mining_sum","env_sum","alt_en_sum"
"Kuster","Ann M.","ann m kuster","D","NH","K000382","+","+","+","+","+","+","NH-02",6,0,0,7266,0,250,0,188422,36119
"LoBiondo","Frank A.","frank a lobiondo","R","NJ","L000554","-","-","-","-",NA,NA,"NJ-02",4,0,0,31750,0,6000,0,21740,1200
"Smith","Christopher H.","christopher h smith","R","NJ","S000522","-","-","+","+","+","-","NJ-04",6,2,1,0,0,0,0,0,0
"Garrett","E. Scott","e scott garrett,scott garrett","R","NJ","G000548","-","-",NA,NA,NA,NA,"NJ-05",2,0,0,0,0,0,0,0,0
"Pallone","Frank J.","frank j pallone,frank pallone","D","NJ","P000034","+","+","+","+","+","+","NJ-06",6,0,0,0,0,0,0,0,0
"Lance","Leonard","leonard lance","R","NJ","L000567","-","-","-","+",NA,NA,"NJ-07",4,1,1,116150,0,26000,0,4000,250
"Sires","Albio","albio sires","D","NJ","S001165","+","+","+","+","+","+","NJ-08",6,0,0,13900,0,9000,0,500,2500
"Pascrell","Bill","bill pascrell","D","NJ","P000096","+","+","+","+","+","+","NJ-09",6,0,0,0,0,0,0,0,0
"Payne","Donald M.","donald m payne","D","NJ","P000604","+","+","+","+","+","+","NJ-10",6,0,0,0,0,0,0,0,0
"Frelinghuysen","Rodney P.","rodney p frelinghuysen","R","NJ","F000372","-","-","-","-",NA,NA,"NJ-11",4,0,0,65200,5000,13000,10500,0,1000
"Lujan Grisham","Michelle","michelle lujan grisham","D","NM","L000580","+","+","+","+",NA,NA,"NM-01",4,0,0,38350,0,0,5000,27990,4500
"Pearce","Steve","steve pearce,stevan pearce","R","NM","P000588","-",NA,"-","-",NA,NA,"NM-02",3,0,0,0,0,0,0,0,0
"Luján","Ben Ray","ben ray luj n,ben ray lujan","D","NM","L000570","+","+","+","+","+",NA,"NM-03",5,0,0,0,0,0,0,0,0
"King","Peter T.","peter t king","R","NY","K000210","-","-","-","-","-",NA,"NY-02",5,0,0,0,0,0,0,0,0
"Israel","Steve J.","steve j israel,steve israel","D","NY","I000057","+","+",NA,NA,NA,NA,"NY-03",2,0,0,0,0,0,0,0,0
"Meeks","Gregory W.","gregory w meeks","D","NY","M001137","+","+","+","+","+","+","NY-05",6,0,0,25350,0,2000,0,1000,0
"Meng","Grace","grace meng","D","NY","M001188","+","+","+","+","+","+","NY-06",6,0,0,2505,0,0,0,4881,3200
"Velázquez","Nydia","nydia vel zquez,nydia m vel zquez","D","NY","V000081","+","+","+","+","+","+","NY-07",6,0,0,0,0,0,0,0,0
"Jeffries","Hakeem S.","hakeem s jeffries","D","NY","J000294","+","+","+","+","+","+","NY-08",6,0,0,23270,0,5,0,19364,4025
"Clarke","Yvette D.","yvette d clarke","D","NY","C001067","+","+","+","+","+","+","NY-09",6,0,0,8250,0,3000,0,6530,0
"Nadler","Jerrold L.","jerrold l nadler,jerrold nadler","D","NY","N000002","+","+","+","+","+","+","NY-10",6,0,0,0,0,0,0,0,0
"Maloney","Carolyn B.","carolyn b maloney","D","NY","M000087","+","+","+","+","+","+","NY-12",6,0,0,52309,0,1005,3000,14102,6500
"Rangel","Charles","charles rangel,charles b rangel","D","NY","R000053","+","+",NA,NA,NA,NA,"NY-13",2,0,0,0,0,0,0,0,0
"Crowley","Joseph","joseph crowley","D","NY","C001038","+","+","+","+",NA,NA,"NY-14",4,0,0,37750,0,21250,500,16450,11360
"Serrano","Jose","jose serrano,jose e serrano","D","NY","S000248","+","+","+","+","+",NA,"NY-15",5,0,0,0,0,0,0,0,0
"Engel","Eliot L.","eliot l engel","D","NY","E000179","+","+","+","+","+",NA,"NY-16",5,0,0,23600,400,0,9700,7250,6820
"Lowey","Nita M.","nita m lowey","D","NY","L000480","+","+","+","+","+",NA,"NY-17",5,0,0,4500,0,0,500,27819,2800
"Maloney","Sean Patrick","sean patrick maloney","D","NY","M001185","+","+","+","+","+","+","NY-18",6,0,0,15826,0,4500,0,58224,5205
"Gibson","Chris","chris gibson","R","NY",NA,"+","+",NA,NA,NA,NA,"NY-19",2,0,0,0,0,0,0,0,0
"Tonko","Paul D.","paul d tonko,paul tonko","D","NY","T000469","+","+","+","+","+","+","NY-20",6,0,0,0,0,0,0,0,0
"Hanna","Richard","richard hanna,richard l hanna","R","NY","H001051","-","+",NA,NA,NA,NA,"NY-22",2,1,1,0,0,0,0,0,0
"Reed","Tom","tom reed","R","NY","R000585","-","-","-","-","-","+","NY-23",6,1,1,690508,1000,157299,5655,5514,97575
"Slaughter","Louise","louise slaughter","D","NY",NA,"+","+","+",NA,NA,NA,"NY-25",3,0,0,0,0,0,0,0,0
"Higgins","Brian M.","brian m higgins,brian higgins","D","NY","H001038","+","+","+","+","+","+","NY-26",6,0,0,0,0,0,0,0,0
"Collins","Chris","chris collins","R","NY","C001092","-","-","-","-","-",NA,"NY-27",5,0,0,201900,0,69550,0,0,8000
"Butterfield","G.K.","g k butterfield","D","NC","B001251","+","+","+","+","+","+","NC-01",6,0,0,74500,0,9000,0,7763,8000
"Ellmers","Renee","renee ellmers,renee l ellmers","R","NC","E000291","-","-",NA,NA,NA,NA,"NC-02",2,0,0,0,0,0,0,0,0
"Jones","Jr.","jr jones","R","NC",NA,"-","-","-","-",NA,NA,"NC-03",4,0,0,0,0,0,0,0,0
"Price","David","david price,david e price","D","NC","P000523","+","+","+","+","+","+","NC-04",6,0,0,0,0,0,0,0,0
"Foxx","Virginia","virginia foxx","R","NC","F000450","-","-","-","-","-","-","NC-05",6,0,0,97504,35250,17509,89838,0,16
"Hudson","Richard","richard hudson","R","NC","H001067","-","-","-","-","-","-","NC-08",6,0,0,440929,5300,55302,21311,1450,2751
"Pittenger","Robert","robert pittenger","R","NC","P000606","-","-","-","-",NA,NA,"NC-09",4,0,0,75100,500,34100,3000,0,0
"McHenry","Patrick T.","patrick t mchenry","R","NC","M001156","-","-","-","-","-","-","NC-10",6,0,0,259358,0,30000,2,5600,27700
"Meadows","Mark","mark meadows","R","NC","M001187","-","-","-","-","-",NA,"NC-11",5,0,0,90955,500,2000,3000,0,0
"Holding","George","george holding","R","NC","H001065","-","-","-","-","-",NA,"NC-13,NC-02,NC-02",5,0,0,178205,1000,18099,1000,0,49100
"Cramer","Kevin","kevin cramer","R","ND","C001096","-","-","-","-",NA,NA,"ND-AL",4,0,0,707250,57900,56000,71900,0,28750
"Chabot","Steve","steve chabot","R","OH","C000266","-","-","-","-","-","-","OH-01",6,0,0,93403,10092,8637,55304,750,310
"Wenstrup","Brad R.","brad r wenstrup","R","OH","W000815","-","-","-","-","-","-","OH-02",6,0,0,87375,32825,1000,36339,5600,4
"Beatty","Joyce","joyce beatty","D","OH","B001281","+","+","+","+","+","+","OH-03",6,0,0,21900,0,2000,0,1975,525
"Jordan","Jim","jim jordan","R","OH","J000289","-","-","-","-","-","-","OH-04",6,0,0,145076,4025,12220,18365,325,1299
"Latta","Bob","bob latta","R","OH",NA,"-","-","-","-","-","-","OH-05",6,0,0,0,0,0,0,0,0
"Johnson","Bill","bill johnson","R","OH","J000292","-","-","-","-","-","-","OH-06",6,0,0,681563,246871,147300,439789,2000,19529
"Gibbs","Bob","bob gibbs","R","OH","G000563","-","-","-","-","-","-","OH-07",6,0,0,258858,68800,60100,127100,2500,4504
"Kaptur","Marcy","marcy kaptur","D","OH","K000009","+","+","+","+","+","+","OH-09",6,0,0,25750,0,10500,24500,11200,28025
"Turner","Michael R.","michael r turner","R","OH","T000463","-","-","-","-","-","-","OH-10",6,0,0,101906,0,12372,1000,0,4
"Fudge","Marcia L.","marcia l fudge","D","OH","F000455","+","+","+","+","+",NA,"OH-11",5,0,0,14350,0,2250,0,4000,2500
"Tiberi","Pat","pat tiberi","R","OH",NA,"-","-",NA,NA,NA,NA,"OH-12",2,0,0,0,0,0,0,0,0
"Ryan","Tim","tim ryan","D","OH","R000577","+","+","+","+",NA,"+","OH-13",5,0,0,90417,18500,42632,25511,22257,2799
"Joyce","David P.","david p joyce","R","OH","J000295","-","-","-","-","-","-","OH-14",6,0,0,197254,94464,36322,172739,13500,11604
"Stivers","Steve","steve stivers","R","OH","S001187","-","-","-","-","-",NA,"OH-15",5,0,0,297955,91825,37000,153500,0,4000
"Renacci","Jim","jim renacci","R","OH",NA,"-","-","-","-",NA,NA,"OH-16",4,0,0,0,0,0,0,0,0
"Bridenstine","Jim","jim bridenstine","R","OK","B001283","-","-",NA,NA,NA,NA,"OK-01",2,0,0,0,0,0,0,0,0
"Mullin","Markwayne","markwayne mullin","R","OK","M001190","-","-","-","-","-","-","OK-02",6,0,0,837365,41600,115025,51600,0,4500
"Lucas","Frank D.","frank d lucas","R","OK","L000491","-","-","-","-","-","-","OK-03",6,0,0,385225,1500,55025,4500,0,18000
"Cole","Tom","tom cole","R","OK","C001053","-","-","-","-","-","-","OK-04",6,0,0,626000,23800,105600,30050,5600,24993
"Bonamici","Suzanne","suzanne bonamici","D","OR","B001278","+","+","+","+","+","+","OR-01",6,0,0,16329,0,10164,0,36952,5750
"Walden","Greg P.","greg p walden,greg walden","R","OR","W000791","-","-","-","-","-",NA,"OR-02",5,0,0,0,0,0,0,0,0
"Blumenauer","Earl","earl blumenauer","D","OR","B000574","+","+","+","+","+","+","OR-03",6,0,0,13632,0,12597,0,37039,84058
"DeFazio","Peter A.","peter a defazio","D","OR","D000191","+","+","+","+","+","+","OR-04",6,0,0,39361,1,1705,6,61455,5516
"Schrader","Kurt","kurt schrader","D","OR","S001180","+","+","+","+","+","+","OR-05",6,0,0,235500,4000,59750,6500,3000,12449
"Brady","Robert A.","robert a brady","D","PA","B001227","+","+","+","+",NA,NA,"PA-01",4,0,0,56200,0,5000,0,0,0
"Kelly","Mike","mike kelly","R","PA","K000376","-","-","-","-","-","-","PA-03,PA-03,PA-16",6,0,0,382438,154050,131961,187900,0,2000
"Perry","Scott","scott perry","R","PA","P000605","-","-","-","-","-","-","PA-04,PA-04,PA-10",6,0,0,161201,0,30711,4634,0,6500
"Perry","Scott","scott perry","R","PA","P000605","-","-","-","-","-","-","PA-04,PA-04,PA-10",6,0,0,8400,0,3000,0,0,0
"Thompson","Glenn W.","glenn w thompson,glenn thompson","R","PA","T000467","-","-","-","-","-","-","PA-05,PA-05,PA-15",6,0,0,0,0,0,0,0,0
"Meehan","Patrick","patrick meehan","R","PA","M001181","-","-","+",NA,NA,NA,"PA-07",3,1,1,233350,3000,75400,7000,0,12870
"Fitzpatrick","Michael","michael fitzpatrick,michael g fitzpatrick","R","PA","F000451","-","-",NA,NA,NA,NA,"PA-08",2,0,0,0,0,0,0,0,0
"Shuster","Bill","bill shuster","R","PA","S001154",NA,"-","-",NA,NA,NA,"PA-09",2,0,0,591072,105865,209000,188840,0,2000
"Marino","Tom","tom marino","R","PA","M001179","-","-","-","-",NA,NA,"PA-10",4,0,0,77500,11150,14750,13650,0,10000
"Barletta","Lou","lou barletta","R","PA","B001269","-","-","-","-",NA,NA,"PA-11",4,0,0,107020,7450,14000,11200,0,0
"Rothfus","Keith J.","keith j rothfus","R","PA","R000598","-","-","-","-",NA,NA,"PA-12",4,0,0,258411,199190,57450,352579,0,0
"Doyle","Mike","mike doyle","D","PA",NA,"+","+","+","+","+","+","PA-14,PA-14,PA-18",6,0,0,0,0,0,0,0,0
"Dent","Charlie","charlie dent","R","PA",NA,"-","-","-",NA,NA,NA,"PA-15",3,0,0,0,0,0,0,0,0
"Pitts","Joe","joe pitts","R","PA",NA,"-","-",NA,NA,NA,NA,"PA-16",2,0,0,0,0,0,0,0,0
"Cartwright","Matt A.","matt a cartwright,matt cartwright","D","PA","C001090","+","+","+","+","+","+","PA-17,PA-17,PA-08",6,0,0,0,0,0,0,0,0
"Murphy","Tim","tim murphy","R","PA","M001151","-","-","-",NA,NA,NA,"PA-18",3,0,0,302250,118408,114300,197183,0,0
"Cicilline","David","david cicilline,david n cicilline","D","RI","C001084","+","+","+","+","+","+","RI-01",6,0,0,0,0,0,0,0,0
"Langevin","Jim","jim langevin","D","RI",NA,"+","+","+","+","+","+","RI-02",6,0,0,0,0,0,0,0,0
"Sanford","Mark","mark sanford","R","SC","S000051","-","-","+","+",NA,NA,"SC-01",4,1,1,37750,0,3000,0,0,8700
"Wilson","Joe","joe wilson","R","SC","W000795","-","-","-","-","-","-","SC-02",6,0,0,97028,0,3250,1014,0,5225
"Duncan","Jeff","jeff duncan","R","SC","D000615","-","-","-","-","-","-","SC-03",6,0,0,285763,2000,51000,5000,19463,2400
"Gowdy","Trey","trey gowdy","R","SC","G000566","-","-","-","-",NA,NA,"SC-04",4,0,0,72675,2700,9500,3950,0,0
"Mulvaney","Mick","mick mulvaney","R","SC","M001182","-","-",NA,NA,NA,NA,"SC-05",2,0,0,58500,0,3250,0,0,1000
"Clyburn","James E.","james e clyburn","D","SC","C000537","+","+",NA,"+","+","+","SC-06",5,0,0,114510,0,38500,1003,12000,15225
"Rice","Tom","tom rice","R","SC","R000597","-","-","-","-","-","-","SC-07",6,0,0,75950,1000,2500,4750,6100,2000
"Noem","Kristi","kristi noem,kristi l noem","R","SD","N000184",NA,"-","-","-",NA,NA,"SD-AL",3,0,0,0,0,0,0,0,0
"Roe","Phil","phil roe","R","TN",NA,"-","-","-","-","-",NA,"TN-01",5,0,0,0,0,0,0,0,0
"Duncan","Jr.","jr duncan","R","TN",NA,"-","-","-","-",NA,NA,"TN-02",4,0,0,0,0,0,0,0,0
"Fleischmann","Chuck","chuck fleischmann","R","TN",NA,"-","-","-","-","-","-","TN-03",6,0,0,0,0,0,0,0,0
"DesJarlais","Scott","scott desjarlais","R","TN","D000616","-","-","-","-","-","-","TN-04",6,0,0,38650,1800,0,1800,0,0
"Cooper","Jim","jim cooper","D","TN","C000754","+","+","+","+","+","+","TN-05",6,0,0,26200,0,3000,0,3700,4950
"Black","Diane","diane black","R","TN","B001273","-","-","-",NA,NA,NA,"TN-06",3,0,0,168530,3000,14000,5000,1000,4000
"Blackburn","Marsha","marsha blackburn","R","TN","B001243","-","-","-",NA,NA,NA,"TN-07",3,0,0,284000,3500,43500,9500,0,0
"Fincher","Stephen","stephen fincher","R","TN",NA,"-","-",NA,NA,NA,NA,"TN-08",2,0,0,0,0,0,0,0,0
"Cohen","Steve","steve cohen","D","TN","C001068","+","+","+","+","+","+","TN-09",6,0,0,6000,0,2500,0,14005,1500
"Gohmert","Louie","louie gohmert","R","TX","G000552","-","-","-","-","-","-","TX-01",6,0,0,0,0,0,0,0,0
"Poe","Ted","ted poe","R","TX","P000592","-",NA,NA,"-",NA,NA,"TX-02",2,0,0,260500,0,40650,0,0,8700
"Johnson","Sam","sam johnson","R","TX","J000174","-","-","-","-",NA,NA,"TX-03",4,0,0,126450,0,19950,0,0,1000
"Hensarling","Jeb","jeb hensarling","R","TX","H001036","-","-","-","-",NA,NA,"TX-05",4,0,0,347150,0,36350,16900,0,0
"Barton","Joe","joe barton","R","TX","B000213","-","-","-","-",NA,NA,"TX-06",4,0,0,614132,17000,58350,34500,0,1000
"Culberson","John A.","john a culberson","R","TX",NA,"-","-","-","-",NA,NA,"TX-07",4,0,0,0,0,0,0,0,0
"Brady","Kevin P.","kevin p brady,kevin brady","R","TX","B000755","-",NA,"-","-","-","-","TX-08",5,0,0,0,0,0,0,0,0
"Green","Al","al green","D","TX","G000553","+","+","+","+","+","+","TX-09",6,0,0,49989,0,300,2515,65,1500
"McCaul","Michael T.","michael t mccaul","R","TX","M001157","-","-","-","-","-","-","TX-10",6,0,0,571441,1000,68332,18134,0,2611
"Conaway","K. Michael","k michael conaway","R","TX","C001062","-","-","-","-","-",NA,"TX-11",5,0,0,0,0,0,0,0,0
"Granger","Kay","kay granger","R","TX","G000377","-","-","-","-","-","-","TX-12",6,0,0,386854,1000,14009,3011,8600,2016
"Thornberry","Mac","mac thornberry","R","TX","T000238","-","-","-","-","-",NA,"TX-13",5,0,0,351250,0,0,0,0,13750
"Weber","Randy K.","randy k weber","R","TX","W000814","-","-","-","-","-","-","TX-14",6,0,0,399953,0,51300,12800,3600,250
"Hinojosa","Ruben","ruben hinojosa","D","TX","H000636","+","+",NA,NA,NA,NA,"TX-15",2,0,0,38250,0,6000,0,0,0
"O'Rourke","Beto","beto o rourke","D","TX","O000170","+","+","+","+",NA,NA,"TX-16",4,0,0,25750,0,250,0,1000,0
"Flores","Bill","bill flores","R","TX","F000461","-","-","-","-","-",NA,"TX-17",5,0,0,914045,1500,90500,17333,5500,10650
"Jackson Lee","Sheila","sheila jackson lee","D","TX","J000032","+","+","+","+","+","+","TX-18",6,0,0,0,0,0,0,0,0
"Neugebauer","Randy","randy neugebauer","R","TX","N000182","-","-",NA,NA,NA,NA,"TX-19",2,0,0,194850,0,5000,5100,0,2500
"Castro","Joaquin","joaquin castro","D","TX","C001091","+","+","+","+","+","+","TX-20",6,0,0,148578,0,6040,0,12073,8340
"Smith","Lamar S.","lamar s smith,lamar smith","R","TX","S000583","-","-","-","-",NA,NA,"TX-21",4,0,0,0,0,0,0,0,0
"Olson","Pete","pete olson","R","TX","O000168","-","-","-","-","-",NA,"TX-22",5,0,0,905351,3000,174649,13100,1000,8700
"Marchant","Kenny E.","kenny e marchant,kenny marchant","R","TX","M001158","-","-","-","-","-",NA,"TX-24",5,0,0,0,0,0,0,0,0
"Williams","Roger","roger williams","R","TX","W000816","-","-","-","-","-","-","TX-25",6,0,0,958779,0,28449,10100,0,10
"Burgess","Michael C.","michael c burgess","R","TX","B001248","-","-","-","-","-","-","TX-26",6,0,0,293881,0,21300,1000,2800,6200
"Farenthold","Blake","blake farenthold","R","TX","F000460","-","-","-",NA,NA,NA,"TX-27",3,0,0,332327,0,44500,4333,6600,0
"Cuellar","Henry","henry cuellar","D","TX","C001063","-","-","-","-","+","+","TX-28",6,1,1,799964,3750,95500,35550,0,500
"Green","Gene","gene green","D","TX","G000410","-","+","+","+",NA,NA,"TX-29",4,1,1,330750,1000,92800,1000,0,0
"Johnson","Eddie Bernice","eddie bernice johnson","D","TX","J000126","+","+","+","+","+","+","TX-30",6,0,0,47526,0,6500,0,10800,1000
"Carter","John R.","john r carter","R","TX","C001051","-","-","-","-","-","-","TX-31",6,0,0,255928,317,23470,4744,13,5426
"Sessions","Pete","pete sessions","R","TX","S000250","-","-","-","-",NA,"-","TX-32,TX-32,TX-17",5,0,0,740425,3500,94300,15000,0,0
"Veasey","Marc A.","marc a veasey","D","TX","V000131","+","-","+","+","+","+","TX-33",6,2,1,396605,0,36500,0,9200,2350
"Vela","Filemon","filemon vela","D","TX","V000132","-","+","+","+","+","+","TX-34",6,1,1,174856,0,29500,0,1000,3500
"Doggett","Lloyd A.","lloyd a doggett,lloyd doggett","D","TX","D000399","+","+","+","+","+","+","TX-35",6,0,0,0,0,0,0,0,0
"Bishop","Rob","rob bishop","R","UT","B001250","-","-","-","-","-",NA,"UT-01",5,0,0,437304,40250,49500,96250,26200,5599
"Stewart","Chris","chris stewart","R","UT","S001192","-","-","-","-","-","-","UT-02",6,0,0,317979,17956,25650,44459,0,7800
"Chaffetz","Jason","jason chaffetz","R","UT","C001076","-","-",NA,NA,NA,NA,"UT-03",2,0,0,128050,12000,6250,18000,0,0
"Welch","Peter F.","peter f welch,peter welch","D","VT","W000800","+","+","+","+","+","+","VT-AL",6,0,0,0,0,0,0,0,0
"Wittman","Rob","rob wittman","R","VA",NA,"-","-","-","-","-","-","VA-01",6,0,0,0,0,0,0,0,0
"Rigell","Scott","scott rigell,e scott rigell","R","VA","R000589","-","-",NA,NA,NA,NA,"VA-02",2,0,0,0,0,0,0,0,0
"Scott","Robert C.","robert c scott","D","VA",NA,"+","+","+","+","+","+","VA-03",6,0,0,0,0,0,0,0,0
"Forbes","J. Randy","j randy forbes","R","VA","F000445","-","-",NA,NA,NA,NA,"VA-04",2,0,0,17750,0,4000,5200,0,0
"Goodlatte","Bob","bob goodlatte","R","VA","G000289","-","-","-","-",NA,NA,"VA-06",4,0,0,108950,0,11700,3000,0,0
"Griffith","Morgan","morgan griffith,h morgan griffith","R","VA","G000568","-","-","-","-","-","-","VA-09",6,0,0,0,0,0,0,0,0
"Connolly","Gerald E.","gerald e connolly","D","VA","C001078","+","+","+","+","+","+","VA-11",6,0,0,0,0,0,0,0,0
"DelBene","Suzan K.","suzan k delbene","D","WA","D000617","+","+","+","+","+","+","WA-01",6,0,0,38316,0,500,0,145845,3075
"Larsen","Rick","rick larsen","D","WA","L000560","+","+","+","+","+","+","WA-02",6,0,0,161552,12000,60500,13000,10165,290
"Herrera-Beutler","Jaime","jaime herrera beutler","R","WA","H001056",NA,"-","-","-",NA,"-","WA-03",4,0,0,153883,3700,19388,13418,10854,1198
"McMorris Rodgers","Cathy","cathy mcmorris rodgers","R","WA","M001159","-","-","-","-","-","-","WA-05",6,0,0,542838,6567,56108,122132,1000,11836
"Kilmer","Derek","derek kilmer","D","WA","K000381","+","+","+","+","+","+","WA-06",6,0,0,31955,0,0,135,141844,8401
"McDermott","Jim","jim mcdermott","D","WA","M000404","+","+",NA,NA,NA,NA,"WA-07",2,0,0,2500,0,0,0,12600,1500
"McDermott","Jim","jim mcdermott","D","WA","M000404","+","+",NA,NA,NA,NA,"WA-07",2,0,0,500,0,0,0,2950,0
"Reichert","Dave","dave reichert","R","WA",NA,"-","-","+","+",NA,NA,"WA-08",4,1,1,0,0,0,0,0,0
"Smith","Adam","adam smith","D","WA","S000510","+","+","+","+","+","+","WA-09",6,0,0,2500,0,0,0,11575,11950
"Heck","Denny","denny heck","D","WA","H001064","+","+","+","+","+",NA,"WA-10",5,0,0,8100,0,100,0,46700,13750
"McKinley","David","david mckinley,david b mckinley","R","WV","M001180","-","-","-","-","-","-","WV-01",6,0,0,0,0,0,0,0,0
"Pocan","Mark","mark pocan","D","WI","P000607","+","+","+","+","+","+","WI-02",6,0,0,16918,0,4012,36,21902,8701
"Kind","Ron","ron kind","D","WI","K000188","+","+","+","+","+","+","WI-03",6,0,0,49332,0,11800,0,32900,37100
"Moore","Gwen","gwen moore","D","WI","M001160","+","+","+","+","+","+","WI-04",6,0,0,50,0,0,0,6575,0
"Sensenbrenner","James F.","james f sensenbrenner","R","WI",NA,"-","-","-","-","-",NA,"WI-05",5,0,0,0,0,0,0,0,0
"Duffy","Sean","sean duffy,sean p duffy","R","WI","D000614","-","-","-","-","-",NA,"WI-07",5,0,0,0,0,0,0,0,0
"Ribble","Reid","reid ribble,reid j ribble","R","WI","R000587","-","-",NA,NA,NA,NA,"WI-08",2,0,0,0,0,0,0,0,0
"Byrne","Bradley","bradley byrne","R","AL","B001289",NA,"-","-","-","-",NA,"AL-01",4,0,0,87900,30400,10000,32900,3700,0
"Palmer","Gary","gary palmer,gary j palmer","R","AL","P000609",NA,"-","-","-","-","-","AL-06",5,0,0,0,0,0,0,0,0
"McSally","Martha","martha mcsally","R","AZ","M001197",NA,"-","-","-",NA,NA,"AZ-02",3,0,0,150611,13600,2500,28925,525,1700
"Gallego","Ruben","ruben gallego","D","AZ","G000574",NA,"+","+","+","+","+","AZ-07",5,0,0,7223,0,2565,2045,21124,45848
"Hill","French","french hill,j french hill","R","AR","H001072",NA,"-","-","-","-","-","AR-02",5,0,0,0,0,0,0,0,0
"Westerman","Bruce","bruce westerman","R","AR","W000821",NA,"-","-","-","-","-","AR-04",5,0,0,246650,7200,20000,14200,0,2750
"DeSaulnier","Mark","mark desaulnier","D","CA","D000623",NA,"+","+","+","+","+","CA-11",5,0,0,29875,0,0,0,13590,1550
"Knight","Steve","steve knight","R","CA",NA,NA,"-","+","-",NA,NA,"CA-25",3,2,1,0,0,0,0,0,0
"Aguilar","Pete","pete aguilar","D","CA","A000371",NA,"+","+",NA,"+","+","CA-31",4,0,0,16868,0,2186,4,84583,2558
"Lieu","Ted","ted lieu","D","CA","L000582",NA,"+","+","+","+","+","CA-33",5,0,0,8053,0,6300,0,30018,8180
"Torres","Norma","norma torres,norma j torres","D","CA","T000474",NA,"+","+","+","+","+","CA-35",5,0,0,0,0,0,0,0,0
"Walters","Mimi","mimi walters","R","CA","W000820",NA,"-","-","-",NA,NA,"CA-45",3,0,0,267350,5000,36400,10200,0,6700
"Buck","Ken","ken buck","R","CO","B001297",NA,"-","-","-","-","-","CO-04",5,0,0,261600,4300,31350,17400,0,4000
"Curbelo","Carlos","carlos curbelo","R","FL","C001107",NA,"+",NA,"+",NA,NA,"FL-26",2,0,0,190661,2700,19800,2700,29042,11700
"Carter","Buddy","buddy carter","R","GA",NA,NA,"-","-","-","-",NA,"GA-01",4,0,0,0,0,0,0,0,0
"Hice","Jody","jody hice,jody b hice","R","GA","H001071",NA,"-","-","-","-","-","GA-10",5,0,0,0,0,0,0,0,0
"Loudermilk","Barry","barry loudermilk","R","GA","L000583",NA,"-",NA,"-","-","-","GA-11",4,0,0,67855,0,7000,500,0,0
"Allen","Rick","rick allen,rick w allen","R","GA","A000372",NA,"-","-","-","-","-","GA-12",5,0,0,0,0,0,0,0,0
"Bost","Mike","mike bost","R","IL","B001295",NA,"-","-","-","-","-","IL-12",5,0,0,154221,109600,18498,173525,0,25500
"LaHood","Darin","darin lahood","R","IL","L000585",NA,"-","-","-","-","-","IL-18",5,0,0,190750,9200,31500,18700,0,98300
"Blum","Rod","rod blum","R","IA","B001294",NA,"-","-","-",NA,NA,"IA-01",3,0,0,98426,5000,8952,5000,0,38800
"Young","David","david young","R","IA","Y000066",NA,"-","-","-",NA,NA,"IA-03",3,0,0,118984,10610,25662,10680,204,94871
"Abraham","Ralph","ralph abraham","R","LA",NA,NA,"-","-","-","-",NA,"LA-05",4,0,0,0,0,0,0,0,0
"Graves","Garret","garret graves","R","LA","G000577",NA,"-","-","-","-",NA,"LA-06",4,0,0,679895,2000,154451,25250,52250,6500
"Poliquin","Bruce","bruce poliquin","R","ME","P000611",NA,"-","-","-",NA,NA,"ME-02",3,0,0,159670,9600,10500,9700,0,7293
"Clark","Katherine M.","katherine m clark","D","MA","C001101",NA,"+","+","+","+","+","MA-05",5,0,0,34415,0,13400,300,26103,6560
"Moulton","Seth","seth moulton","D","MA","M001196",NA,"+","+","+","+","+","MA-06",5,0,0,20193,5,5008,506,37393,4043
"Moolenaar","John","john moolenaar,john r moolenaar","R","MI","M001194",NA,"-","-","-","-","-","MI-04",5,0,0,0,0,0,0,0,0
"Bishop","Mike","mike bishop","R","MI","B001293",NA,"-","-","-",NA,NA,"MI-08",3,0,0,167554,5000,13052,6800,0,0
"Trott","Dave","dave trott","R","MI",NA,NA,"-","-","-",NA,NA,"MI-11",3,0,0,0,0,0,0,0,0
"Dingell","Debbie","debbie dingell","D","MI","D000624",NA,"+","+","+","+","+","MI-12",5,0,0,45464,0,14500,4500,30968,1500
"Lawrence","Brenda","brenda lawrence,brenda l lawrence","D","MI","L000581",NA,"+","+","+","+","+","MI-14",5,0,0,0,0,0,0,0,0
"Emmer","Tom","tom emmer","R","MN","E000294",NA,"-","-","-",NA,"-","MN-06",4,0,0,131504,500,6813,5052,0,64228
"Kelly","Trent","trent kelly","R","MS","K000388",NA,"-","-","-","-","-","MS-01",5,0,0,81452,5550,4000,5550,0,0
"Norcross","Donald W.","donald w norcross,donald norcross","D","NJ","N000188",NA,"+","+","+","+",NA,"NJ-01",4,0,0,0,0,0,0,0,0
"MacArthur","Tom","tom macarthur","R","NJ",NA,NA,"-","-","-",NA,NA,"NJ-03",3,0,0,0,0,0,0,0,0
"Watson Coleman","Bonnie","bonnie watson coleman","D","NJ","W000822",NA,"+",NA,"+","+","+","NJ-12",4,0,0,2012,0,0,0,22094,1000
"Zeldin","Lee","lee zeldin,lee m zeldin","R","NY","Z000017",NA,"-","-","-","-","-","NY-01",5,0,0,0,0,0,0,0,0
