"party","Vote_change_dummy","Vote51","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1151","birthday","Geographical","nominate_dim1","nominate_dim2","Vote51_minus","Vote51_plus","Vote51_NA"
"R",0,0,56919,0,21500,0,0,0,NA,NA,NA,NA,"PA","D000604",7,1960,"NE",0.244,-0.085,1,0,0
"R",0,NA,34000,0,0,0,NA,NA,NA,NA,NA,NA,"PA","P000373",10,1939,"NE",0.538,0.012,NA,NA,1
"R",0,0,74250,0,53250,1000,0,0,NA,NA,NA,NA,"PA","M001151",8,1952,"NE",0.258,0.198,1,0,0
"R",1,1,12600,0,2000,0,5000,4200,NA,NA,NA,NA,"SC","S000051",6,1960,"SO",0.686,-0.728,0,1,0
"R",0,0,9500,0,15200,0,3750,0,NA,NA,NA,NA,"SC","G000566",4,1964,"SO",0.655,-0.002,1,0,0
"R",0,NA,15500,0,11500,0,0,0,NA,NA,NA,NA,"SC","M001182",4,1967,"SO",0.75,-0.592,NA,NA,1
"R",0,0,48650,6700,37950,1000,3500,0,NA,NA,NA,NA,"SD","N000184",4,1971,"MW",0.398,0.326,1,0,0
"R",0,0,4500,0,500,0,3700,0,500,0,NA,NA,"TN","R000582",5,1945,"SO",0.486,0.024,1,0,0
"R",0,0,6500,0,4000,2000,0,0,NA,NA,NA,NA,"TN","D000533",16,1947,"SO",0.604,-0.476,1,0,0
"R",0,0,27625,0,23000,0,NA,NA,NA,NA,NA,NA,"TN","B001273",4,1951,"SO",0.58,0.219,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TN",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,NA,13000,0,0,0,NA,NA,NA,NA,NA,NA,"TN","F000458",3,1973,"SO",0.526,0.181,NA,NA,1
"R",0,NA,44250,0,34050,0,NA,NA,NA,NA,NA,NA,"TX","P000592",7,1948,"SO",0.594,-0.029,NA,NA,1
"R",0,0,18000,0,7000,1000,0,0,NA,NA,NA,NA,"TX","J000174",14,1930,"SO",0.61,0.277,1,0,0
"R",0,0,22100,0,25650,0,0,0,NA,NA,NA,NA,"TX","H001036",8,1957,"SO",0.703,0.04,1,0,0
"R",0,0,84500,0,63650,0,NA,NA,NA,NA,NA,NA,"TX","B000213",16,1949,"SO",0.528,0.047,1,0,0
"R",0,0,36600,1000,60450,500,117127,4700,NA,NA,NA,NA,"TX","C001048",9,1956,"SO",0.503,0.366,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TX",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,36875,1250,40825,8000,22475,300,43075,0,NA,NA,"TX","T000238",12,1958,"SO",0.525,0.313,1,0,0
"D",0,NA,2000,0,0,0,NA,NA,NA,NA,NA,NA,"TX","H000636",10,1940,"SO",-0.34,0.235,NA,NA,1
