"party","Vote_change_dummy","Vote3","Contribution_3_minus","Contribution_3_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote3_minus","Vote3_plus","Vote3_NA"
"R",0,0,21500,0,"TX","N000182",6,1949,"SO",0.628,0.322,1,0,0
"R",0,0,50550,0,"TX","S000583",14,1947,"SO",0.425,0.061,1,0,0
"R",0,0,124200,0,"TX","O000168",3,1962,"SO",0.548,0.308,1,0,0
"R",0,0,48715,0,"TX","M001158",5,1951,"SO",0.6,0.154,1,0,0
"R",0,0,32100,0,"TX","F000460",2,1961,"SO",0.548,0.016,1,0,0
"D",1,0,46500,0,"TX","G000410",11,1947,"SO",-0.324,0.453,1,0,0
"R",0,0,23300,250,"UT","B001250",6,1951,"WE",0.537,0.105,1,0,0
"R",0,0,13250,0,"UT","C001076",3,1967,"WE",0.647,-0.278,1,0,0
"R",0,0,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,NA,NA,"VA",NA,NA,NA,"SO",NA,NA,1,0,0
"R",0,0,24000,0,"VA","G000289",11,1952,"SO",0.496,-0.002,1,0,0
"D",0,1,1250,0,"WA","M000404",13,1936,"WE",-0.666,-0.197,0,1,0
"R",1,0,5750,1000,"WA","R000578",5,1950,"WE",0.224,-0.146,1,0,0
"D",0,1,3500,0,"WA","H001064",1,1952,"WE",-0.312,-0.128,0,1,0
"R",0,0,NA,NA,"WI",NA,NA,NA,"MW",NA,NA,1,0,0
"R",0,0,23000,0,"WI","D000614",2,1971,"MW",0.511,-0.109,1,0,0
"R",0,0,20800,0,"WI","R000587",2,1956,"MW",0.603,-0.333,1,0,0
"R",0,NA,4500,2600,"AL","B001289",1,1955,"SO",0.61,0.25,NA,NA,1
"R",0,NA,NA,NA,"AZ",NA,NA,NA,"WE",NA,NA,NA,NA,1
"R",1,NA,NA,NA,"CA","K000387",0,1966,"WE",0.397,0.188,NA,NA,1
"R",0,NA,NA,NA,"CA","W000820",0,1962,"WE",0.433,0.177,NA,NA,1
"R",0,NA,NA,NA,"FL","C001107",0,1980,"SO",0.211,-0.185,NA,NA,1
