"party","Vote_change_dummy","Vote52","Contribution_52_minus","Contribution_52_plus","Vote52_minus","Vote52_plus"
"R",0,"-",17375,0,1,0
"R",1,"+",25550,12200,0,1
"R",0,"+",59295,5287,0,1
"R",0,"-",23000,3000,1,0
"D",0,"+",8000,0,0,1
"R",0,"-",2500,0,1,0
"D",0,"+",3500,0,0,1
"R",0,"-",32550,1000,1,0
"D",0,"+",15700,1250,0,1
"R",0,"-",22200,2140,1,0
"R",0,"-",24300,1250,1,0
"R",0,"-",17550,750,1,0
"D",0,"+",10060,400,0,1
"R",0,"-",14400,0,1,0
"D",0,"+",0,52,0,1
"D",0,"+",18500,0,0,1
"D",0,"+",8975,118,0,1
"D",0,"+",2500,0,0,1
"D",0,"+",14500,0,0,1
"D",0,"+",7500,0,0,1
"R",0,"-",6500,0,1,0
"R",0,"-",5700,0,1,0
"D",0,"+",4000,0,0,1
"D",0,"+",6500,1200,0,1
"D",0,"+",13600,0,0,1
"D",0,"+",4000,0,0,1
"D",0,"+",2000,0,0,1
"R",0,"+",67084,6367,0,1
"D",0,"+",11050,8950,0,1
"R",0,"-",13500,0,1,0
"R",0,"-",17000,8500,1,0
"R",0,"-",43650,15800,1,0
"R",0,"-",7500,2500,1,0
"R",0,"-",25950,250,1,0
"R",0,"-",48100,0,1,0
"D",0,"+",11000,5000,0,1
"D",0,"+",1000,0,0,1
"R",0,"-",31750,0,1,0
"R",0,"-",48620,10287,1,0
"D",0,"+",33200,6770,0,1
"D",0,"+",2000,0,0,1
"D",0,"+",4000,0,0,1
"R",0,"-",54120,5400,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",2275,0,0,1
"R",0,"+",48896,5287,0,1
"R",0,"-",47051,5287,1,0
"R",0,"-",14300,1000,1,0
"R",0,"-",23200,0,1,0
"D",1,"+",24000,0,0,1
"R",0,"-",28000,5000,1,0
"D",0,"+",8500,2500,0,1
"D",0,"+",1000,352,0,1
"R",0,"-",31900,800,1,0
"R",0,"-",25500,0,1,0
"R",0,"-",6000,0,1,0
"R",0,"-",94650,1000,1,0
"D",0,"+",20050,12295,0,1
"R",0,"-",21400,0,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",1,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",1,"+",NA,NA,0,1
"D",1,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
