"party","Vote_change_dummy","Vote7","Contribution_7_minus","Contribution_7_plus","BioID","seniority_117","Geographical","Vote7_minus","Vote7_plus"
"R",0,0,11.33,0.3,"J000289",8,"MW",1,0
"R",0,0,41.5,0,"L000566",8,"MW",1,0
"R",0,0,33.349,0,"J000292",6,"MW",1,0
"R",0,0,0,0,"G000563",6,"MW",1,0
"D",0,1,12.25,0,"K000009",18,"MW",0,1
"R",0,0,12,0,"T000463",10,"MW",1,0
"D",0,1,29.407,4.135,"R000577",10,"MW",0,1
"R",0,0,25.4,0,"J000295",5,"MW",1,0
"R",0,0,NA,NA,"M001190",NA,"SO",1,0
"R",0,0,8.8,0,"L000491",15,"SO",1,0
"R",0,0,2.5,0,"C001053",10,"SO",1,0
"D",0,1,6.25,0,"B001278",6,"WE",0,1
"D",0,1,0.25,0.5,"B000574",14,"WE",0,1
"D",0,1,14.5,0,"D000191",18,"WE",0,1
"D",0,1,55.5,0,"S001180",7,"WE",0,1
"R",0,0,19.9,0,"K000376",6,"NE",1,0
"R",0,0,3.133,0,"P000605",5,"NE",1,0
"R",0,0,15.1,0,"T000467",7,"NE",1,0
"D",0,1,8,0,"D000482",14,"NE",0,1
"D",0,1,6.5,0,"C001090",5,"NE",0,1
"D",0,1,1,5.8,"C001084",6,"NE",0,1
"D",0,1,2,0,"L000559",11,"NE",0,1
"R",0,0,3.5,0,"W000795",11,"SO",1,0
"R",0,0,13.5,0,"D000615",6,"SO",1,0
"D",0,1,83,0,"C000537",15,"SO",0,1
"R",0,0,20.15,0,"R000597",5,"SO",1,0
"R",0,0,15.5,0,"F000459",6,"SO",1,0
"R",0,0,NA,NA,"D000616",6,"SO",1,0
"D",0,1,21.9,0,"C000754",14,"SO",0,1
"D",0,1,0,0,"C001068",8,"SO",0,1
"R",0,0,0,0,"G000552",9,"SO",1,0
"R",0,0,22.7,0,"B000755",13,"SO",1,0
"D",0,1,0,0,"G000553",9,"SO",0,1
"R",0,0,25.009,0,"M001157",9,"SO",1,0
"R",0,0,4,0,"G000377",13,"SO",1,0
"R",0,0,1,0,"W000814",5,"SO",1,0
"D",0,1,1.5,0,"J000032",14,"SO",0,1
"D",0,1,0,0,"C001091",5,"SO",0,1
"R",0,0,32.959,0,"W000816",5,"SO",1,0
"R",0,0,5.75,0,"B001248",10,"SO",1,0
"D",1,1,62.598,0,"C001063",9,"SO",0,1
"D",0,1,NA,NA,"J000126",15,"SO",0,1
"R",0,0,14.012,0,"C001051",10,"SO",1,0
"R",0,0,11.6,0,"S000250",12,"SO",1,0
"D",1,1,56.5,0,"V000131",5,"SO",0,1
"D",1,1,2.5,0,"V000132",5,"SO",0,1
"D",0,1,2.9,0,"D000399",14,"SO",0,1
"R",0,0,2,0,"S001192",5,"WE",1,0
"D",0,1,NA,NA,"W000800",NA,"NE",0,1
"R",0,0,8,0,"W000804",8,"SO",1,0
"D",0,1,0.25,0,"S000185",15,"SO",0,1
"R",0,0,8,0,"G000568",6,"SO",1,0
"D",0,1,6.8,0,"C001078",7,"SO",0,1
"D",0,1,1.5,0,"D000617",6,"WE",0,1
"D",0,1,20,0,"L000560",11,"WE",0,1
"R",0,0,21.783,0,"H001056",6,"WE",1,0
"R",0,0,137.398,0,"M001159",9,"WE",1,0
"D",0,1,7.6,0,"K000381",5,"WE",0,1
"D",0,1,6.4,0,"S000510",13,"WE",0,1
"R",0,0,4,0,"M001180",6,"SO",1,0
"D",0,1,1,0,"P000607",5,"MW",0,1
"D",0,1,12,3.4,"K000188",13,"MW",0,1
"D",0,1,2.5,0,"M001160",9,"MW",0,1
"R",0,0,17.3,0,"P000609",4,"SO",1,0
"D",0,1,13,0,"G000574",4,"WE",0,1
"R",0,0,23.733,0,"H001072",4,"SO",1,0
"R",0,0,29.4,0,"W000821",4,"SO",1,0
"D",0,1,1.1,0,"D000623",4,"WE",0,1
"D",0,1,9.8,0,"A000371",4,"WE",0,1
"D",0,1,7.4,0,"L000582",4,"WE",0,1
"D",0,1,2.25,0,"T000474",4,"WE",0,1
"R",0,0,2.01,0,"B001297",4,"WE",1,0
"R",0,0,0,0,"H001071",4,"SO",1,0
"R",0,0,0,0,"L000583",4,"SO",1,0
"R",0,0,1.25,0,"A000372",4,"SO",1,0
"R",0,0,5.5,0,"B001295",4,"MW",1,0
"R",0,0,58.9,0,"L000585",4,"MW",1,0
"D",0,1,0,0,"C001101",5,"NE",0,1
"D",0,1,0,0,"M001196",4,"NE",0,1
"R",0,0,14,0,"M001194",4,"MW",1,0
"D",0,1,14.85,0,"D000624",4,"MW",0,1
"D",0,1,5,0,"L000581",4,"MW",0,1
"R",0,0,9.9,0,"E000294",4,"MW",1,0
"R",0,0,NA,NA,"K000388",4,"SO",1,0
"D",0,1,2.5,0,"W000822",4,"NE",0,1
"R",0,0,2.463,0,"Z000017",4,"NE",1,0
"D",0,1,4,0,"R000602",4,"NE",0,1
"R",1,0,1.292,8.7,"S001196",4,"NE",1,0
"R",0,1,23.67,0,"K000386",4,"NE",0,1
"R",0,0,2.5,0,"R000603",4,"SO",1,0
"D",0,1,4.5,0,"A000370",5,"SO",0,1
"R",0,0,2.5,0,"D000626",4,"MW",1,0
"D",0,1,4.5,0,"B001296",4,"NE",0,1
"R",0,0,6.9,0,"B001291",4,"SO",1,0
"D",0,1,4.275,3.8,"B001292",4,"SO",0,1
"R",0,0,42.05,0,"N000189",4,"WE",1,0
"R",0,0,3.85,0,"M001195",4,"SO",1,0
"R",0,0,8.5,0,"G000576",4,"MW",1,0
"D",0,1,19.3,0,"O000171",3,"WE",0,1
"R",0,0,5,0,"B001302",3,"WE",1,0
"D",0,1,4.331,1,"K000389",3,"WE",0,1
"D",0,1,7.75,3.4,"P000613",3,"WE",0,1
"D",0,1,11,0,"C001112",3,"WE",0,1
"D",0,1,14.5,0,"G000585",3,"WE",0,1
"D",0,1,3.5,0,"B001300",3,"WE",0,1
"D",0,1,16.5,0,"C001110",3,"WE",0,1
"D",0,1,19.5,2.5,"B001303",3,"SO",0,1
"R",1,1,5.391,0,"G000578",3,"SO",0,1
"R",0,0,2.5,0,"D000628",3,"SO",1,0
"R",0,0,1,0,"R000609",3,"SO",1,0
"D",0,1,2.5,0,"L000586",3,"SO",0,1
"D",0,1,35.65,0,"M001202",3,"SO",0,1
"D",0,1,6,0,"S001200",3,"SO",0,1
"D",0,1,7.132,0.5,"D000627",3,"SO",0,1
"D",0,1,4.9,0,"C001111",3,"SO",0,1
"R",0,1,2.906,0,"M001199",3,"SO",0,1
"R",0,0,24.8,0,"F000465",3,"SO",1,0
"D",0,1,16.949,1,"K000391",3,"MW",0,1
"R",0,0,6,0,"B001299",3,"MW",1,0
"R",0,0,12.5,0,"H001074",3,"MW",1,0
"R",0,0,47.2,0,"E000298",3,"MW",1,0
"R",0,0,9.5,0,"C001108",4,"SO",1,0
"R",0,0,10.1,0,"H001077",3,"SO",1,0
"D",0,1,8,0,"B001304",3,"SO",0,1
"D",0,1,1,0,"R000606",3,"SO",0,1
"R",0,0,6.75,0,"B001301",3,"MW",1,0
"R",0,0,5.67,0,"B001298",3,"MW",1,0
"D",0,1,12.013,0,"G000583",3,"NE",0,1
"D",0,1,2.5,0,"S001201",3,"NE",0,1
"D",0,1,0,0,"E000297",3,"NE",0,1
"R",0,0,30.77,0,"T000478",2,"NE",1,0
"R",0,0,NA,NA,"B001305",NA,"SO",1,0
"D",0,1,3,0,"E000296",4,"NE",0,1
"R",0,1,24.86,0,"F000466",3,"NE",0,1
"R",0,0,0.5,0,"S001199",3,"NE",1,0
"R",0,0,5,0,"N000190",3,"SO",1,0
"R",0,0,1,0,"K000392",3,"SO",1,0
"D",1,1,56.7,0,"G000581",3,"SO",0,1
"R",0,0,18.198,0,"A000375",3,"SO",1,0
"D",0,1,39.8,0,"M001200",3,"SO",0,1
"D",0,1,0,0,"J000298",3,"WE",0,1
"R",0,0,23,0,"G000579",3,"MW",1,0
"R",0,0,128.3,0,"C001109",3,"WE",1,0
"D",0,1,11.75,0,"L000588",3,"NE",0,1
"R",0,0,31.5,1,"C001114",3,"WE",1,0
"D",0,1,11,0,"S001211",2,"WE",0,1
"D",0,1,6.3,3.5,"H001090",2,"WE",0,1
"D",0,1,4.59,0.4,"P000618",2,"WE",0,1
"D",0,1,8.3,8.3,"L000593",2,"WE",0,1
"D",0,1,0,0,"N000191",2,"WE",0,1
"D",0,1,7.225,0,"C001121",2,"WE",0,1
"D",0,1,0,0,"H001081",2,"NE",0,1
"R",1,0,8.75,0,"W000823",2,"SO",1,0
"R",0,0,0,0,"S001214",2,"SO",1,0
"D",0,1,1.183,0,"M001208",2,"SO",0,1
"D",0,1,1,0,"C001055",5,"WE",0,1
"D",0,1,1,0,"G000586",2,"MW",0,1
"D",0,1,8.8,0.1,"C001117",2,"MW",0,1
"D",0,1,1.05,0.5,"U000040",2,"MW",0,1
"R",0,0,0,0,"B001307",2,"MW",1,0
"R",0,0,6.052,0,"P000615",2,"MW",1,0
"D",0,1,10.86,2.5,"A000378",2,"MW",0,1
"D",0,1,1.25,0,"D000629",2,"MW",0,1
"D",0,1,7.708,0.15,"G000592",2,"NE",0,1
"D",0,1,4.25,0.5,"T000482",2,"NE",0,1
"D",0,1,0,0,"P000617",2,"NE",0,1
"D",0,1,6,0.5,"S001208",2,"MW",0,1
"D",0,1,9.12,0,"L000592",2,"MW",0,1
"D",0,1,21.05,0.25,"S001215",2,"MW",0,1
"D",0,1,4.5,0,"T000481",2,"MW",0,1
"R",0,0,3.133,0,"H001088",2,"MW",1,0
"D",0,1,4.5,0.089,"C001119",2,"MW",0,1
"D",0,1,0.25,0,"P000616",2,"MW",0,1
"D",0,1,0,0,"O000173",2,"MW",0,1
"R",0,0,44.329,0,"S001212",2,"MW",1,0
"R",0,0,0,0,"G000591",2,"SO",1,0
"D",0,1,21.175,0.25,"L000590",2,"WE",0,1
"D",0,1,0.75,0,"P000614",2,"NE",0,1
"R",0,1,NA,NA,"V000133",2,"NE",0,1
"D",0,1,8.7,0.25,"K000394",2,"NE",0,1
"D",0,1,18,0,"M001203",2,"NE",0,1
"D",0,1,21.45,0,"S001207",2,"NE",0,1
"D",0,1,2.622,0,"O000172",2,"NE",0,1
"D",0,1,0.15,2.9,"D000630",2,"NE",0,1
"D",0,1,8.5,0,"M001206",3,"NE",0,1
"R",0,0,44,0,"A000377",2,"MW",1,0
"R",0,0,23.133,0,"B001306",3,"MW",1,0
"R",0,0,20.3,0,"G000588",2,"MW",1,0
"D",0,1,1,0,"D000631",2,"NE",0,1
"D",0,1,1.35,0,"S001205",3,"NE",0,1
"D",0,1,6.9,0,"H001085",2,"NE",0,1
"D",0,1,0,0,"W000826",3,"NE",0,1
"R",0,0,14.51,0,"M001204",2,"NE",1,0
"R",0,0,1.75,0,"K000395",2,"NE",1,0
"R",0,0,0.5,0,"J000302",2,"NE",1,0
"R",0,0,1.5,0,"R000610",2,"NE",1,0
"R",0,0,13,0,"T000480",2,"SO",1,0
"R",0,0,26.8,0,"J000301",2,"MW",1,0
"R",0,0,10.7,0,"B001309",2,"SO",1,0
"R",0,0,3.5,0,"R000612",2,"SO",1,0
"R",0,0,2,0,"G000590",2,"SO",1,0
"R",0,0,127.689,0.25,"C001120",2,"SO",1,0
"R",0,0,74.788,2.9,"T000479",2,"SO",1,0
"R",0,0,14.3,0,"G000589",2,"SO",1,0
"D",0,1,101.175,0,"F000468",2,"SO",0,1
"D",0,1,2,0,"E000299",2,"SO",0,1
"R",0,0,70.41,0,"R000614",2,"SO",1,0
"D",0,1,7,0,"G000587",2,"SO",0,1
"D",0,1,28.75,0,"A000376",2,"SO",0,1
"D",0,1,7.3,0,"L000591",2,"SO",0,1
"R",0,0,9.3,0,"C001118",2,"SO",1,0
"D",0,1,6.95,2.9,"S001209",2,"SO",0,1
"D",0,1,2.9,0,"W000825",2,"SO",0,1
"D",0,1,0.9,2.9,"S001216",2,"WE",0,1
"R",0,0,2.5,0,"M001205",2,"SO",1,0
"R",0,0,10.5,0,"S001213",2,"MW",1,0
