"party","Vote_change_dummy","Vote52","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_52_minus","Contribution_52_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1152","birthday","Geographical","nominate_dim1","nominate_dim2","gender","pro_env_dummy","anti_env_dummy","district","Vote52_minus","Vote52_plus","Vote52_NA"
"D",0,NA,750,0,1077.5,45,865,2.5,962.5,2.5,1215,0,900,0,"MD","H000874",16,1939,"SO",0.381,0.121,"M",1,1,5,NA,NA,1
"D",0,1,90,10,170,0,75,2.5,260,32.5,662,10,406,10,"MA","N000015",15,1949,"NE",0.417,0.105,"M",1,1,1,0,1,0
"D",0,1,50,52,25.1,0,10,1.07,62.5,3.57,2.5,56,5,0,"MA","M000312",11,1959,"NE",0.538,0.323,"M",1,1,2,0,1,0
"D",0,1,37,2.5,0,0,27.5,0,32.5,25,0,0,7.5,0,"MA","L000562",9,1955,"NE",0.348,0.037,"M",1,1,8,0,1,0
"D",0,1,35,0,100,0,95,0,105,0,20,0,0,0,"MA","K000375",4,1952,"NE",0.33,0.112,"M",0,1,9,0,1,0
"R",0,0,123,0,220.5,0,260,0,255,0,269.88,0,90,0,"MI","H001058",4,1969,"MW",0.536,0.026,"M",0,1,NA,1,0,0
"D",0,1,100,0,106,0,55,0,65,0,178,0,245,5,"MI","K000380",3,1958,"MW",0.367,0.174,"M",0,1,NA,0,1,0
"R",1,1,1353.5,10,1426.13,0,282,0,947.5,0,517.88,0,332.33,0,"MI","U000031",16,1953,"MW",0.32,0.355,"M",0,1,6,0,1,0
"R",0,0,260.5,0,437.5,0,634.5,0,820.5,0,732.38,0,252,0,"MI","W000798",5,1951,"MW",0.501,0.142,"M",0,1,NA,1,0,0
"D",0,1,10,0,10,0,15,2.5,15,2.5,NA,NA,37.5,0,"MN","M001143",9,1954,"MW",0.417,0.193,"F",1,1,4,0,1,0
"D",0,1,115,0,265,0,190,0,85,0,115,0,120,0,"MS","T000193",13,1948,"SO",0.517,0.395,"M",0,1,2,0,1,0
"R",0,0,320,0,315,0,230,0,180,0,209,0,167,0,"MS","P000601",4,1970,"SO",0.535,0.45,"M",0,1,4,1,0,0
"R",0,0,518.5,0,175,0,270,4,291,4,230.11,0,181.33,0,"MO","W000812",3,1962,"MW",0.393,0.284,"F",1,1,2,1,0,0
"R",0,0,55,0,75,25,82.5,5,112.5,5,60,0,10,0,"MO","L000569",5,1952,"MW",0.452,0.23,"M",1,1,3,1,0,0
"R",0,0,112,0,50,0,100,25,70,0,103,0,320.5,0,"MO","H001053",4,1960,"MW",0.478,0.229,"F",0,1,4,1,0,0
"D",0,1,50,0,30,10,15,37,15,37,45,0,0,0,"MO","C001061",7,1944,"MW",0.453,0.009,"M",1,1,5,0,1,0
"R",0,0,87.5,20,90,10,185.2,35,233.2,60,430,10,194,0,"MO","G000546",9,1963,"MW",0.447,0.167,"M",1,1,6,1,0,0
"R",0,0,486.5,0,220,0,255,0,260,20,450,0,NA,NA,"MO","L000576",4,1955,"MW",0.544,0.244,"M",1,1,7,1,0,0
"R",0,0,354.65,0,246,60,265,20,355,20,250,0,203,0,"MO","S001195",3,1980,"MW",0.581,0.254,"M",1,1,8,1,0,0
"R",0,0,35,0,35,0,67,10,67,10,35,0,74,0,"NE","F000449",7,1960,"MW",0.304,0.061,"M",1,1,1,1,0,0
"R",0,0,90,15,77.5,50,124.5,70,149.5,80,215,0,90,0,"NE","S001172",6,1970,"MW",0.513,0.233,"M",1,1,3,1,0,0
"D",0,1,47.5,10,60,55,35,0,0,0,35,0,25,0,"NV","T000468",4,1950,"WE",0.299,0.193,"F",0,0,1,0,1,0
"R",0,0,130,0,197,0,315,0,400,0,147.5,0,61.12,0,"NV","A000369",4,1958,"WE",0.387,0.196,"M",0,1,2,1,0,0
"D",0,NA,112.5,5,NA,NA,NA,NA,NA,NA,231,0,95,10,"NV","H001066",1,1973,"WE",0.342,0.135,"M",0,0,4,NA,NA,1
"D",0,1,25,69.5,85,10,52,37,46,0,67.5,0,48.5,15,"NH","K000382",3,1956,"NE",0.26,0.098,"F",0,1,2,0,1,0
"R",1,1,15,0,NA,NA,80.99,0,80.99,0,109.88,0,0,0,"NJ","S000522",16,1953,"NE",0.178,0.173,"M",0,1,4,0,1,0
"D",0,1,260.88,25,124.99,10,247.5,202.5,245,200,805.5,25,421.5,0,"NJ","P000034",16,1951,"NE",0.404,0.168,"M",1,1,6,0,1,0
"D",0,1,10,0,NA,NA,10,0,10,0,25,0,20,0,"NJ","S001165",7,1951,"NE",0.404,0.098,"M",0,1,8,0,1,0
"D",0,1,100,0,75,60,20,0,55,0,167.5,10,50,0,"NJ","P000096",11,1937,"NE",0.368,0.006,"M",0,1,9,0,1,0
"D",0,1,88.5,0,76,0,80,0,80,0,130,0,185,0,"NJ","P000604",4,1958,"NE",0.52,0.097,"M",0,1,10,0,1,0
"D",0,1,85,0,70,0,45,35,45,35,50,0,182.5,0,"NY","M001137",11,1953,"NE",0.415,0.072,"M",1,1,5,0,1,0
"D",0,1,5,5,15,5,7.5,6,7.5,6,0,0,30,0,"NY","M001188",3,1975,"NE",0.376,0.217,"F",1,1,6,0,1,0
"D",0,1,20,0,0,0,10,0,10,0,32.5,0,0,0,"NY","V000081",13,1953,"NE",0.547,0.351,"F",0,1,7,0,1,0
"D",0,1,20,10,50,0,45,0,50,0,35,0,253.5,20,"NY","J000294",3,1970,"NE",0.486,0.072,"M",0,1,8,0,1,0
"D",0,1,0,0,50,0,170,0,180,0,45,0,52,0,"NY","C001067",6,1964,"NE",0.609,0.246,"F",0,1,9,0,1,0
"D",0,1,2.5,0,0,0,10,0,10,0,10,0,10,0,"NY","N000002",14,1947,"NE",0.508,0.484,"M",0,1,NA,0,1,0
"D",0,1,0,0,133,0,36,0,31,0,64,2.5,123.5,0,"NY","M000087",13,1946,"NE",0.387,0.285,"F",0,1,12,0,1,0
"D",0,1,205,45.5,120.5,31.75,159.25,24,174.5,35.38,865.5,38,607.5,25.48,"NY","T000469",5,1949,"NE",0.415,0.268,"M",1,1,20,0,1,0
"R",1,0,857.5,42.5,773.25,180,409.25,5,324.25,0,452.88,0,133,0,"NY","R000585",5,1971,"NE",0.269,0.12,"M",0,1,23,1,0,0
"D",0,1,10,0,20,0,65,0,30,0,50,0,78.5,0,"NY","H001038",7,1959,"NE",0.348,0.032,"M",0,1,26,0,1,0
"D",0,1,110,0,60,10,70,0,85,10,45,0,70,0,"NC","B001251",8,1947,"SO",0.404,0.184,"M",1,1,1,0,1,0
"D",0,1,10,0,50,0,35,2.5,75,2.5,10,0,45,0,"NC","P000523",15,1940,"SO",0.343,0.03,"M",1,1,4,0,1,0
"R",0,0,55,10,110.73,5,260,5,290,5,210,0,5,0,"NC","F000450",7,1943,"SO",0.623,0.18,"F",1,1,5,1,0,0
"R",0,0,182.5,3,946.5,0,455,2.5,350,0,581.88,0,170.7,0,"NC","H001067",3,1971,"SO",0.526,0.178,"M",0,1,NA,1,0,0
"R",0,0,60,0,475,0,400,42,544,112,175,0,225,0,"NC","M001156",7,1975,"SO",0.529,0.131,"M",1,1,10,1,0,0
"R",0,0,45,0,71,0,121,1,166,6,138.78,0,6.7,0,"OH","C000266",11,1953,"MW",0.542,0.137,"M",1,1,1,1,0,0
"R",0,0,166,3,131,1,45.65,0,71.95,1,205,0,61,0,"OH","W000815",3,1958,"MW",0.528,0.268,"M",1,1,2,1,0,0
"D",0,1,101,0,240,0,130,0,140,0,172.5,0,298.5,0,"OH","B001281",3,1950,"MW",0.439,0.042,"F",0,1,3,0,1,0
"R",0,0,159.5,0,85,0,80,0,70,0,185.5,0,113.3,3,"OH","J000289",6,1964,"MW",0.717,0.198,"M",0,1,4,1,0,0
"R",0,0,488.5,104.5,367.5,0,695.75,25,728.25,0,362.5,0,415,0,"OH","L000566",6,1956,"MW",0.51,0.28,"M",0,1,5,1,0,0
"R",0,0,1446.35,46,994.5,125,1001,0,1196,17.5,1013.5,0,333.49,0,"OH","J000292",4,1954,"MW",0.436,0.235,"M",1,1,6,1,0,0
"R",0,0,551.5,5,135,5,165,10,230,10,125,0,0,0,"OH","G000563",4,1954,"MW",0.484,0.284,"M",1,1,7,1,0,0
"D",0,1,231,10,175,0,100,2.5,85,2.5,225,30,122.5,0,"OH","K000009",16,1946,"MW",0.348,0.117,"F",1,1,9,0,1,0
"R",0,0,75,0,249.5,0,35,0,45,0,120.11,0,120,0,"OH","T000463",8,1960,"MW",0.269,0.245,"M",0,1,10,1,0,0
"D",0,1,127.5,0,215,0,50,0,50,0,40,0,0,0,"OH","F000455",6,1952,"MW",0.581,0.14,"F",0,1,11,0,1,0
"D",0,1,270,0,205,0,169,0,169,0,112.5,5,294.07,41.35,"OH","R000577",8,1973,"MW",0.402,0.208,"M",0,1,13,0,1,0
"R",0,0,329,5,258,23,375.25,0,626.25,2.5,453.11,0,254,0,"OH","J000295",3,1957,"MW",0.256,0.301,"M",1,1,14,1,0,0
"R",0,0,467,0,416,0,851.5,0,936.5,0,633,0,284,0,"OH","S001187",4,1965,"MW",0.3,0.269,"M",0,1,15,1,0,0
"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OK","M001190",NA,NA,"SO",NA,NA,NA,0,0,2,1,0,0
"R",0,0,495.5,0,235,0,210,0,185,0,155,0,88,0,"OK","L000491",13,1960,"SO",0.36,0.449,"M",0,1,3,1,0,0
"R",0,0,580,0,687.5,0,312,27.93,490,39.5,865,30,25,0,"OK","C001053",8,1949,"SO",0.324,0.4,"M",1,1,4,1,0,0
"D",0,1,15,0,27.5,0,25,0,25,0,10,0,62.5,0,"OR","B001278",4,1954,"WE",0.396,0.41,"F",0,1,1,0,1,0
"D",0,1,57.5,77.5,82.5,89.5,147.5,91.25,145,92.25,7.5,0,2.5,5,"OR","B000574",12,1948,"WE",0.427,0.641,"M",1,1,3,0,1,0
"D",0,1,25,5,2.5,0,40.5,0,25.75,0,65,0,145,0,"OR","D000191",16,1947,"WE",0.427,0.002,"M",0,1,4,0,1,0
"D",0,1,50,10.5,297.5,0,290,0,385,0,430,0,555,0,"OR","S001180",5,1951,"WE",0.182,0.054,"M",0,1,5,0,1,0
"R",0,0,657.5,0,308.5,27,328,27,408,54,537.38,0,199,0,"PA","K000376",4,1948,"NE",0.373,0.41,"M",1,1,NA,1,0,0
"R",0,0,95,0,225,0,232,0,322,0,132,35,31.33,0,"PA","P000605",3,1962,"NE",0.677,0.461,"M",0,1,NA,1,0,0
"R",0,0,346.3,0,360,0,331,0,346,0,205.5,0,151,0,"PA","T000467",5,1959,"NE",0.331,0.357,"M",0,1,NA,1,0,0
"D",0,1,375,0,420,0,60,27,130,54,430,0,80,0,"PA","D000482",12,1953,"NE",0.331,0.099,"M",1,1,NA,0,1,0
"D",0,1,0,5,10,0,50,0,25,10,30,0,65,0,"PA","C001090",3,1961,"NE",0.349,0.005,"M",1,1,NA,0,1,0
"D",0,1,22.5,10,5,10,4.6,0,4.8,0,10.55,0,10,58,"RI","C001084",4,1961,"NE",0.389,0.262,"M",0,1,1,0,1,0
"D",0,1,30.5,0,50,0,13,0,13,0,3,0,20,0,"RI","L000559",9,1964,"NE",0.375,0.114,"M",0,1,2,0,1,0
"R",0,0,85,0,147.5,0,254,27,194,27,75,0,35,0,"SC","W000795",9,1947,"SO",0.531,0.147,"M",1,1,2,1,0,0
"R",0,0,206.1,0,70,0,310,10,365,20,220,0,135,0,"SC","D000615",4,1966,"SO",0.701,0.1,"M",1,1,3,1,0,0
"D",0,1,520,15,555,0,430,0,455,0,593,0,830,0,"SC","C000537",13,1940,"SO",0.465,0.25,"M",0,1,6,0,1,0
"R",0,0,115,0,287.5,0,332,0,227,20,135,0,201.5,0,"SC","R000597",3,1957,"SO",0.558,0.217,"M",1,1,7,1,0,0
"R",0,0,140,67,200,0,100,0,135,0,158,0,155,0,"TN","F000459",4,1962,"SO",0.434,0.406,"M",0,1,3,1,0,0
"R",0,0,5,0,106.5,0,0,0,0,0,61,0,NA,NA,"TN","D000616",4,1964,"SO",0.581,0.046,"M",0,0,4,1,0,0
"D",0,1,67,0,47.5,0,55,0,30,0,35,0,219,0,"TN","C000754",12,1954,"SO",0.164,0.033,"M",0,1,5,0,1,0
"D",0,1,10,0,5,0,0,0,10,0,0,0,0,0,"TN","C001068",6,1949,"SO",0.392,0.326,"M",0,1,9,0,1,0
"R",0,0,167,0,109.5,0,102.5,0,169.5,0,60.5,0,0,0,"TX","G000552",7,1953,"SO",0.644,0.406,"M",0,1,1,1,0,0
"R",0,0,1100.5,10,1850,30,1368.5,60,1360,60,985,0,227,0,"TX","B000755",11,1955,"SO",0.52,0.239,"M",1,1,8,1,0,0
"D",0,1,0,0,20,0,0,0,0,0,15,0,0,0,"TX","G000553",7,1947,"SO",0.443,0.29,"M",0,0,9,0,1,0
"R",0,0,503.5,0,589.5,0,385.5,2.5,578,2.5,500.88,10,250.09,0,"TX","M001157",7,1962,"SO",0.416,0.144,"M",1,1,10,1,0,0
"R",0,0,257,0,432.5,10,391,0,366,0,391,0,40,0,"TX","G000377",11,1943,"SO",0.404,0.235,"F",0,1,12,1,0,0
