"","LastName","FirstName","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Party","StateAbbreviation"
"118","Guthrie","Brett",48050,2500,8500,4500,0,0,"R","KY"
"119","Simpson","Mike",47500,1000,13500,5000,3500,3200,"R","ID"
"120","Perry","Scott",46550,0,2000,4000,0,0,"R","PA"
"121","Huizenga","Bill",46175,0,0,0,0,0,"R","MI"
"122","Epstein","Lena",46150,0,0,0,0,0,"R","MI"
"123","Steil","Bryan",46100,7700,7700,5000,0,900,"R","WI"
"124","Hill","French",45900,0,0,2000,500,0,"R","AR"
"125","Kinzinger","Adam",45500,0,12500,15500,0,12500,"R","IL"
"126","Stefanik","Elise",45500,0,0,5000,10850,13943,"R","NY"
"127","Gohmert","Louis B Jr",45300,0,0,250,0,0,"R","TX"
"128","Buck","Ken",44700,0,2500,6500,0,1000,"R","CO"
"129","Gottheimer","Josh",44605,0,1250,5000,46298,6495,"D","NJ"
"130","Hoyer","Steny H",43750,0,0,9500,4500,2000,"D","MD"
"131","Womack","Steve",43650,0,0,1000,0,0,"R","AR"
"132","Lesko","Debbie",41450,0,18800,2500,0,0,"R","AZ"
"133","Meadows","Mark",41225,500,500,0,0,0,"R","NC"
"134","Rogers","Hal",40996,8000,12500,5000,0,0,"R","KY"
"135","Schweikert","David",40950,0,6000,1500,0,5400,"R","AZ"
"136","Meehan","Patrick",40750,1500,1500,13500,0,5000,"R","PA"
"137","Joyce","David P",40600,22200,36875,7000,3000,6400,"R","OH"
"138","Smith","Jason",40500,2000,5500,4000,0,14000,"R","MO"
"139","Rohrabacher","Dana",40060,0,0,500,0,0,"R","CA"
"140","Neal","Richard E",39900,0,0,13500,1500,7500,"D","MA"
"141","Correa","Lou",39500,0,0,4500,1500,100,"D","CA"
"142","Graves","Sam",39300,0,2000,7000,0,8500,"R","MO"
"143","Lance","Leonard",38400,0,0,4000,0,250,"R","NJ"
"144","Tiberi","Pat",38250,0,1000,3500,0,2000,"R","OH"
"145","Roberts","Kevin",38050,250,250,18800,0,0,"R","TX"
"146","Rogers","Wendy",37800,5400,7900,0,0,3200,"R","AZ"
"147","Budd","Ted",37700,0,2000,0,0,0,"R","NC"
"148","Hughes","Whit",37400,0,0,0,0,0,"R","MS"
"149","Bergman","John",37345,0,10000,0,350,0,"R","MI"
"150","Rouzer","David",37000,0,0,1000,0,3500,"R","NC"
"151","Kim","Young",36900,2700,2700,0,0,500,"R","CA"
"152","Peterson","Collin",36501,1500,7500,1500,0,10600,"D","MN"
"153","Griffith","Morgan",36350,31300,33300,5500,0,250,"R","VA"
"154","Gibbs","Bob",36250,14500,20500,6500,500,1000,"R","OH"
"155","Vela","Filemon",36006,0,0,7000,1000,1000,"D","TX"
"156","Graves","Tom",36000,0,18250,4500,0,0,"R","GA"
"157","Burgess","Michael",35250,0,0,4000,0,5200,"R","TX"
"158","Guest","Michael",35150,0,0,2500,0,0,"R","MS"
"159","Collins","Doug",35000,0,500,2500,0,0,"R","GA"
"160","Grothman","Glenn",34950,0,0,0,0,1000,"R","WI"
"161","Wright","Ron",34800,0,1000,0,0,0,"R","TX"
"162","Triantaphyllis","Alex",34450,0,0,3750,430,6430,"D","TX"
"163","McNeill","Frank",34390,0,0,0,48,0,"D","NC"
"164","MacArthur","Thomas",34350,2500,2500,6400,0,0,"R","NJ"
"165","Litton","Todd",33959,1000,6400,8275,2550,9117,"D","TX"
"166","Tarkanian","Danny",33950,0,4000,0,0,0,"R","NV"
"167","Calvert","Ken",33500,0,2000,0,0,6400,"R","CA"
"168","Stauber","Pete",33050,2700,10950,1500,0,0,"R","MN"
"169","Rossi","Dino",32950,2950,5200,0,0,0,"R","WA"
"170","Buchanan","Vernon",31750,0,0,0,0,1000,"R","FL"
"171","Peters","Scott",31703,0,10000,15200,16392,9038,"D","CA"
"172","Farenthold","Blake",31600,0,0,4500,0,0,"R","TX"
"173","Beutler","Jaime Herrera",31350,2700,4950,3100,0,250,"R","WA"
"174","Pallone","Frank Jr",30950,0,0,17450,2000,22500,"D","NJ"
"175","Curtis","John",30900,3700,6700,0,0,0,"R","UT"
"176","Walker","Mark",30200,0,0,0,0,0,"R","NC"
"177","Rice","Tom",29950,0,250,0,0,2000,"R","SC"
"178","Johnson","Dusty",29850,0,1000,0,0,13400,"R","SD"
"179","Kulkarni","Sri",29704,0,1200,1371,853,11837,"D","TX"
