"first_name.x","last_name.x","state.x","district.x","Vote3","Vote4","Vote51","Vote52","Vote6","BioID","GovtrackID","Vote7","party","Vote_count","Vote_change","opensecrets_id.x","Contribution_3_-.x","Contribution_3_+.x","Contribution_4_-.x","Contribution_4_+.x","Contribution_51_-.x","Contribution_51_+.x","Contribution_52_-.x","Contribution_52_+.x","Contribution_6_-.x","Contribution_6_+.x","Contribution_7_-.x","Contribution_7_+.x","name.x","last_name.y","first_name.y","state.y","opensecrets_id.y","bioguide_id","district.y","Contribution_3_-.y","Contribution_3_+.y","Contribution_4_-.y","Contribution_4_+.y","Contribution_51_-.y","Contribution_51_+.y","Contribution_52_-.y","Contribution_52_+.y","Contribution_6_-.y","Contribution_6_+.y","Contribution_7_-.y","Contribution_7_+.y","name.y"
"Tom","Cotton","AR",4,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tom cotton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doris O.","Matsui","CA",6,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"doris o matsui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paul","Cook","CA",8,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paul cook","Cook","Paul","CA","N00034224","C001094",8,8800,500,18400,0,17500,2700,17500,2700,9500,2800,NA,NA,"paul cook"
"Jeff","Denham","CA",10,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jeff denham","Denham","Jeff","CA","N00031593","D000612",10,25950,0,100099,2500,125226,10687,121877,5287,NA,NA,NA,NA,"jeff denham"
"George","Miller","CA",11,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"george miller","Miller","George","CA","N00007390","M000725",11,1350,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"george miller"
"Barbara J.","Lee","CA",13,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"barbara j lee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike","Honda","CA",17,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mike honda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anna G.","Eshoo","CA",18,"+",NA,"+","+","+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anna g eshoo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam","Farr","CA",20,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sam farr","Farr","Sam","CA","N00007312","F000030",20,8100,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sam farr"
"David G.","Valadao","CA",21,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"david g valadao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devin G.","Nunes","CA",22,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"devin g nunes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lois","Capps","CA",24,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lois capps","Capps","Lois","CA","N00007232","C001036",24,5500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lois capps"
"Buck P.","McKeon","CA",25,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"buck p mckeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Judy M.","Chu","CA",27,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"judy m chu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam B.","Schiff","CA",28,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"adam b schiff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony","Cárdenas","CA",29,"+","+","+",NA,"+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tony c rdenas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brad J.","Sherman","CA",30,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"brad j sherman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gary G.","Miller","CA",31,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gary g miller","Miller","Gary","CA","N00006954","M001139",31,11000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gary miller"
"Henry A.","Waxman","CA",33,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"henry a waxman","Waxman","Henry","CA","N00001861","W000215",33,11100,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"henry waxman"
"Xavier","Becerra","CA",34,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xavier becerra","Becerra","Xavier","CA","N00009774","B000287",34,7000,1000,2500,0,NA,NA,NA,NA,NA,NA,NA,NA,"xavier becerra"
"Gloria","Negrete McLeod","CA",35,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gloria negrete mcleod","Negrete McLeod","Gloria","CA","N00033509","N000187",35,4500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gloria negrete mcleod"
"Ed","Royce","CA",39,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ed royce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ken S.","Calvert","CA",42,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ken s calvert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Janice","Hahn","CA",44,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"janice hahn","Hahn","Janice","CA","N00006806","H001063",44,3500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"janice hahn"
"John","Campbell","CA",45,NA,NA,NA,NA,NA,NA,NA,NA,"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john campbell","Campbell","John","CA","N00027565","C001064",45,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john campbell"
"Loretta L.","Sanchez","CA",46,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"loretta l sanchez","Sanchez","Loretta","CA","N00008274","S000030",46,8900,0,9450,100,NA,NA,NA,NA,NA,NA,NA,NA,"loretta sanchez"
"Alan S.","Lowenthal","CA",47,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alan s lowenthal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dana T.","Rohrabacher","CA",48,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dana t rohrabacher","Rohrabacher","Dana","CA","N00007151","R000409",48,8200,1000,1000,0,16000,500,19000,500,NA,NA,NA,NA,"dana rohrabacher"
"Duncan D.","Hunter","CA",50,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duncan d hunter","Hunter","Duncan","CA","N00029258","H001048",50,8100,0,26500,0,0,0,1000,0,1500,0,NA,NA,"duncan hunter"
"Scott H.","Peters","CA",52,"+","+","+",NA,"+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scott h peters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Susan A.","Davis","CA",53,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"susan a davis","Davis","Susan","CA","N00009604","D000598",53,2600,0,2500,0,2000,0,2000,1000,NA,NA,NA,NA,"susan davis"
"Diana L.","DeGette","CO",1,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diana l degette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jared","Polis","CO",2,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jared polis","Polis","Jared","CO","N00029127","P000598",2,NA,NA,350,0,NA,NA,NA,NA,NA,NA,NA,NA,"jared polis"
"Scott","Tipton","CO",3,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"scott tipton","Tipton","Scott","CO","N00027509","T000470",3,68000,0,60850,0,29200,2800,29700,3050,19288,0,NA,NA,"scott tipton"
"Cory","Gardner","CO",4,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cory gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike","Coffman","CO",6,"-","-","-","+",NA,NA,NA,NA,"R",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mike coffman","Coffman","Mike","CO","N00024753","C001077",6,99050,250,68911,500,58300,2000,74200,60550,NA,NA,NA,NA,"mike coffman"
"John B.","Larson","CT",1,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john b larson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa L.","DeLauro","CT",3,"+","+",NA,"+","+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rosa l delauro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elizabeth H.","Esty","CT",5,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"elizabeth h esty","Esty","Elizabeth","CT","N00033217","E000293",5,2500,2600,9125,0,3725,0,2700,0,NA,NA,NA,NA,"elizabeth esty"
"John","Carney","DE",0,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john carney","Carney","John","DE","N00030736","C001083",0,5000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john carney"
"Jeff","Miller","FL",1,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jeff miller","Miller","Jeff","FL","N00013846","M001144",1,9000,0,-10000,0,NA,NA,NA,NA,NA,NA,NA,NA,"jeff miller"
"Steve","Southerland","FL",2,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steve southerland","Southerland","Steve","FL","N00031204","S001186",2,27950,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"steve southerland"
"Ted S.","Yoho","FL",3,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ted s yoho","Yoho","Ted","FL","N00033220","Y000065",3,3000,0,9900,0,3000,0,3000,0,1500,0,NA,NA,"ted yoho"
"Ander","Crenshaw","FL",4,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ander crenshaw","Crenshaw","Ander","FL","N00012739","C001045",4,2500,0,2500,0,NA,NA,NA,NA,NA,NA,NA,NA,"ander crenshaw"
"Corrine","Brown","FL",5,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"corrine brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ron","DeSantis","FL",6,"-","-","-",NA,NA,NA,NA,NA,"R",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ron desantis","DeSantis","Ron","FL","N00034746","D000621",6,10000,0,35025,0,2700,0,NA,NA,NA,NA,NA,NA,"ron desantis"
"John L.","Mica","FL",7,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john l mica","Mica","John","FL","N00002793","M000689",7,22500,0,5800,0,NA,NA,NA,NA,NA,NA,NA,NA,"john mica"
"Alan","Grayson","FL",9,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alan grayson","Grayson","Alan","FL","N00028418","G000556",9,0,250,1231,100,NA,NA,NA,NA,NA,NA,NA,NA,"alan grayson"
"Rich","Nugent","FL",11,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rich nugent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dennis","Ross","FL",15,"-","-",NA,"-",NA,NA,NA,NA,"R",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dennis ross","Ross","Dennis","FL","N00030645","R000593",15,8500,0,9000,0,2000,0,2000,0,NA,NA,NA,NA,"dennis ross"
"Tom","Rooney","FL",17,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tom rooney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patrick","Murphy","FL",18,"+","+",NA,NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"patrick murphy","Murphy","Patrick","FL","N00033091","M001191",18,12400,0,3050,13075,NA,NA,NA,NA,NA,NA,NA,NA,"patrick murphy"
"Trey","Radel","FL",19,NA,NA,NA,NA,NA,NA,NA,NA,"R",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trey radel","Radel","Trey","FL","N00034017","R000596",19,16500,3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"trey radel"
"Alcee L.","Hastings","FL",20,"+",NA,"+","+",NA,NA,NA,NA,"D",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alcee l hastings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mario","Díaz-Balart","FL",25,"-","-",NA,"-","-",NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mario d az balart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joe","Garcia","FL",26,"+",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"joe garcia","Garcia","Joe","FL","N00029908","G000573",26,2500,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"joe garcia"
"Ileana","Ros-Lehtinen","FL",27,"-","+",NA,"+",NA,NA,NA,NA,"R",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ileana ros lehtinen","Ros-Lehtinen","Ileana","FL","N00002858","R000435",27,NA,NA,1500,0,NA,NA,NA,NA,NA,NA,NA,NA,"ileana ros lehtinen"
"Jack","Kingston","GA",1,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jack kingston","Kingston","Jack","GA","N00002656","K000220",1,38825,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jack kingston"
"Sanford D.","Bishop","GA",2,"+","-","+","-","+",NA,NA,NA,"D",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sanford d bishop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lynn A.","Westmoreland","GA",3,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lynn a westmoreland","Westmoreland","Lynn","GA","N00026163","W000796",3,4500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lynn westmoreland"
"John R.","Lewis","GA",5,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john r lewis","Lewis","John","GA","N00002577","L000287",5,2750,0,2500,0,5604,200,3344,215,4670,0,NA,NA,"john lewis"
"Tom","Price","GA",6,"-","-",NA,NA,NA,NA,NA,NA,"R",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tom price","Price","Tom","GA","N00026160","P000591",6,23500,0,14500,0,NA,NA,NA,NA,NA,NA,NA,NA,"tom price"
"Rob","Woodall","GA",7,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rob woodall","Woodall","Rob","GA","N00032416","W000810",7,4500,0,18000,0,11000,0,15500,0,1500,0,NA,NA,"rob woodall"
"Doug","Collins","GA",9,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"doug collins","Collins","Doug","GA","N00033518","C001093",9,12000,0,27450,0,9000,0,10500,0,11000,0,NA,NA,"doug collins"
"Paul C.","Broun","GA",10,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paul c broun","Broun","Paul","GA","N00028986","B001262",10,39650,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"paul broun"
"Phil","Gingrey","GA",11,"-",NA,NA,NA,NA,NA,NA,NA,"R",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phil gingrey","Gingrey","Phil","GA","N00024760","G000550",11,22550,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phil gingrey"
"John","Barrow","GA",12,"-",NA,NA,NA,NA,NA,NA,NA,"D",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john barrow","Barrow","John","GA","N00026080","B001252",12,75550,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"john barrow"
"Tom","Graves","GA",14,"-","-","-","-","-",NA,NA,NA,"R",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tom graves","Graves","Tom","GA","N00030788","G000560",14,8500,0,12250,0,22700,0,16000,0,23250,0,NA,NA,"tom graves"
"Colleen","Hanabusa","HI",1,"+",NA,"+",NA,NA,NA,NA,NA,"D",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colleen hanabusa","Hanabusa","Colleen","HI","N00025881","H001050",1,20650,2500,250,0,NA,NA,NA,NA,NA,NA,NA,NA,"colleen hanabusa"
"Tulsi","Gabbard","HI",2,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tulsi gabbard","Gabbard","Tulsi","HI","N00033281","G000571",2,5300,5100,1250,3000,4051,650,240,677,10134,500,NA,NA,"tulsi gabbard"
"Raul","Labrador","ID",1,"-","-","-","-",NA,NA,NA,NA,"R",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raul labrador","Labrador","Raúl","ID","N00031377","L000573",1,2500,0,11200,0,NA,NA,NA,NA,NA,NA,NA,NA,"ra l labrador"
"Bobby L.","Rush","IL",1,NA,"+","+","+","+",NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bobby l rush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan","Lipinski","IL",3,"+","+","+","+","+",NA,NA,NA,"D",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dan lipinski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luis V.","Gutierrez","IL",4,"+","+","+","+",NA,NA,NA,NA,"D",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"luis v gutierrez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peter J.","Roskam","IL",6,"-","-","-","+",NA,NA,NA,NA,"R",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"peter j roskam","Roskam","Peter","IL","N00004719","R000580",6,42300,0,19850,0,38250,3225,35350,3225,NA,NA,NA,NA,"peter roskam"
