"","LastName","FirstName","State","Party","Chamber"
"199","Keller","Fred","Pennsylvania","Republican","District 12"
"200","Kelly","Mike","Pennsylvania","Republican","District 16"
"201","Kelly","Robin","Illinois","Democrat","District 2"
"202","Kelly","Trent","Mississippi","Republican","District 1"
"203","Kennedy","Joe III","Massachusetts","Democrat","District 4"
"204","Khanna","Ro","California","Democrat","District 17"
"205","Kildee","Dan","Michigan","Democrat","District 5"
"206","Kilmer","Derek","Washington","Democrat","District 6"
"207","Kim","Andy","New Jersey","Democrat","District 3"
"208","Kind","Ron","Wisconsin","Democrat","District 3"
"209","King","Pete","New York","Republican","District 2"
"210","King","Steven A","Iowa","Republican","District 4"
"211","Kinzinger","Adam","Illinois","Republican","District 16"
"212","Kirkpatrick","Ann","Arizona","Democrat","District 2"
"213","Krishnamoorthi","Raja","Illinois","Democrat","District 8"
"214","Kuster","Ann","New Hampshire","Democrat","District 2"
"215","Kustoff","David","Tennessee","Republican","District 8"
"216","LaHood","Darin","Illinois","Republican","District 18"
"217","LaMalfa","Doug","California","Republican","District 1"
"218","Lamb","Conor","Pennsylvania","Democrat","District 17"
"219","Lamborn","Doug","Colorado","Republican","District 5"
"220","Langevin","Jim","Rhode Island","Democrat","District 2"
"221","Larsen","Rick","Washington","Democrat","District 2"
"222","Larson","John","Connecticut","Democrat","District 1"
"223","Latta","Bob","Ohio","Republican","District 5"
"224","Lawrence","Brenda","Michigan","Democrat","District 14"
"225","Lawson","Al","Florida","Democrat","District 5"
"226","Lee","Barbara","California","Democrat","District 13"
"227","Lee","Susie","Nevada","Democrat","District 3"
"228","Lesko","Debbie","Arizona","Republican","District 8"
"229","Levin","Andy","Michigan","Democrat","District 9"
"230","Levin","Mike","California","Democrat","District 49"
"231","Lieu","Ted","California","Democrat","District 33"
"232","Lipinski","Daniel","Illinois","Democrat","District 3"
"233","Loebsack","David","Iowa","Democrat","District 2"
"234","Lofgren","Zoe","California","Democrat","District 19"
"235","Long","Billy","Missouri","Republican","District 7"
"236","Loudermilk","Barry","Georgia","Republican","District 11"
"237","Lowenthal","Alan","California","Democrat","District 47"
"238","Lowey","Nita M","New York","Democrat","District 17"
"239","Lucas","Frank D","Oklahoma","Republican","District 3"
"240","Luetkemeyer","Blaine","Missouri","Republican","District 3"
"241","Lujan","Ben Ray","New Mexico","Democrat","District 3"
"242","Luria","Elaine","Virginia","Democrat","District 2"
"243","Lynch","Stephen","Massachusetts","Democrat","District 8"
"244","Malinowski","Tom","New Jersey","Democrat","District 7"
"245","Maloney","Carolyn","New York","Democrat","District 12"
"246","Maloney","Sean Patrick","New York","Democrat","District 18"
"247","Marchant","Kenny","Texas","Republican","District 24"
"248","Marshall","Roger","Kansas","Republican","District 1"
"249","Massie","Thomas","Kentucky","Republican","District 4"
"250","Mast","Brian","Florida","Republican","District 18"
"251","Matsui","Doris","California","Democrat","District 6"
"252","McAdams","Ben","Utah","Democrat","District 4"
"253","McBath","Lucy","Georgia","Democrat","District 6"
"254","McCarthy","Kevin","California","Republican","District 23"
"255","McCaul","Michael","Texas","Republican","District 10"
"256","McClintock","Tom","California","Republican","District 4"
"257","McCollum","Betty","Minnesota","Democrat","District 4"
"258","McEachin","Donald","Virginia","Democrat","District 4"
"259","McGovern","James P","Massachusetts","Democrat","District 2"
"260","McHenry","Patrick","North Carolina","Republican","District 10"
"261","McKinley","David","West Virginia","Republican","District 1"
"262","McNerney","Jerry","California","Democrat","District 9"
"263","Meeks","Gregory","New York","Democrat","District 5"
"264","Meng","Grace","New York","Democrat","District 6"
"265","Meuser","Dan","Pennsylvania","Republican","District 9"
"266","Mfume","Kweisi","Maryland","Democrat","District 7"
"267","Miller","Carol","West Virginia","Republican","District 3"
"268","Mitchell","Paul","Michigan","Republican","District 10"
"269","Moolenaar","John","Michigan","Republican","District 4"
"270","Mooney","Alex","West Virginia","Republican","District 2"
"271","Moore","Gwen","Wisconsin","Democrat","District 4"
"272","Morelle","Joseph D","New York","Democrat","District 25"
"273","Moulton","Seth","Massachusetts","Democrat","District 6"
"274","Mucarsel-Powell","Debbie","Florida","Democrat","District 26"
"275","Mullin","Markwayne","Oklahoma","Republican","District 2"
"276","Murphy","Greg","North Carolina","Republican","District 3"
"277","Murphy","Stephanie","Florida","Democrat","District 7"
"278","Nadler","Jerrold","New York","Democrat","District 10"
"279","Napolitano","Grace","California","Democrat","District 32"
"280","Neal","Richard E","Massachusetts","Democrat","District 1"
"281","Neguse","Joseph","Colorado","Democrat","District 2"
"282","Newhouse","Dan","Washington","Republican","District 4"
"283","Norcross","Don","New Jersey","Democrat","District 1"
"284","Norman","Ralph","South Carolina","Republican","District 5"
"285","Norton","Eleanor Holmes","District of Columbia","Democrat","At Large"
"286","Nunes","Devin","California","Republican","District 22"
"287","O'Halleran","Tom","Arizona","Democrat","District 1"
"288","Ocasio-Cortez","Alexandria","New York","Democrat","District 14"
"289","Olson","Pete","Texas","Republican","District 22"
"290","Omar","Ilhan","Minnesota","Democrat","District 5"
"291","Palazzo","Steven","Mississippi","Republican","District 4"
"292","Pallone","Frank Jr","New Jersey","Democrat","District 6"
"293","Palmer","Gary","Alabama","Republican","District 6"
"294","Panetta","Jimmy","California","Democrat","District 20"
"295","Pappas","Chris","New Hampshire","Democrat","District 1"
"296","Pascrell","Bill Jr","New Jersey","Democrat","District 9"
"297","Payne","Donald M Jr","New Jersey","Democrat","District 10"
"298","Pelosi","Nancy","California","Democrat","District 12"
"299","Pence","Greg","Indiana","Republican","District 6"
"300","Perlmutter","Ed","Colorado","Democrat","District 7"
"301","Perry","Scott","Pennsylvania","Republican","District 10"
"302","Peters","Scott","California","Democrat","District 52"
"303","Peterson","Collin","Minnesota","Democrat","District 7"
"304","Phillips","Dean","Minnesota","Democrat","District 3"
"305","Pingree","Chellie","Maine","Democrat","District 1"
"306","Plaskett","Stacey","Virgin Islands","Democrat","At Large"
"307","Pocan","Mark","Wisconsin","Democrat","District 2"
"308","Porter","Katie","California","Democrat","District 45"
"309","Posey","Bill","Florida","Republican","District 8"
"310","Pressley","Ayanna","Massachusetts","Democrat","District 7"
"311","Price","David","North Carolina","Democrat","District 4"
"312","Quigley","Mike","Illinois","Democrat","District 5"
"313","Radewagen","Amata Coleman","American Samoa","Republican","At Large"
"314","Raskin","Jamie","Maryland","Democrat","District 8"
"315","Reed","Tom","New York","Republican","District 23"
"316","Reschenthaler","Guy","Pennsylvania","Republican","District 14"
"317","Rice","Kathleen","New York","Democrat","District 4"
"318","Rice","Tom","South Carolina","Republican","District 7"
"319","Richmond","Cedric","Louisiana","Democrat","District 2"
"320","Riggleman","Denver","Virginia","Republican","District 5"
"321","Roby","Martha","Alabama","Republican","District 2"
"322","Rochester","Lisa Blunt","Delaware","Democrat","District 1"
"323","Rodgers","Cathy McMorris","Washington","Republican","District 5"
"324","Roe","Phil","Tennessee","Republican","District 1"
"325","Rogers","Hal","Kentucky","Republican","District 5"
"326","Rogers","Mike D","Alabama","Republican","District 3"
"327","Rooney","Francis","Florida","Republican","District 19"
"328","Rose","John","Tennessee","Republican","District 6"
"329","Rose","Max","New York","Democrat","District 11"
"330","Rouda","Harley","California","Democrat","District 48"
"331","Rouzer","David","North Carolina","Republican","District 7"
"332","Roy","Chip","Texas","Republican","District 21"
"333","Roybal-Allard","Lucille","California","Democrat","District 40"
"334","Ruiz","Raul","California","Democrat","District 36"
"335","Ruppersberger","Dutch","Maryland","Democrat","District 2"
"336","Rush","Bobby","Illinois","Democrat","District 1"
"337","Rutherford","John","Florida","Republican","District 4"
"338","Ryan","Tim","Ohio","Democrat","District 13"
"339","San Nicolas","Michael","Guam","Democrat","At Large"
"340","Sanchez","Linda","California","Democrat","District 38"
"341","Sarbanes","John","Maryland","Democrat","District 3"
"342","Scalise","Steve","Louisiana","Republican","District 1"
"343","Scanlon","Mary Gay","Pennsylvania","Democrat","District 5"
"344","Schakowsky","Jan","Illinois","Democrat","District 9"
"345","Schiff","Adam","California","Democrat","District 28"
"346","Schneider","Brad","Illinois","Democrat","District 10"
"347","Schrader","Kurt","Oregon","Democrat","District 5"
"348","Schrier","Kim","Washington","Democrat","District 8"
"349","Schultz","Debbie Wasserman","Florida","Democrat","District 23"
"350","Schweikert","David","Arizona","Republican","District 6"
"351","Scott","Austin","Georgia","Republican","District 8"
"352","Scott","Bobby","Virginia","Democrat","District 3"
"353","Scott","David","Georgia","Democrat","District 13"
"354","Sensenbrenner","Jim","Wisconsin","Republican","District 5"
"355","Serrano","Jose E","New York","Democrat","District 15"
"356","Sewell","Terri","Alabama","Democrat","District 7"
"357","Shalala","Donna","Florida","Democrat","District 27"
"358","Sherman","Brad","California","Democrat","District 30"
"359","Sherrill","Mikie","New Jersey","Democrat","District 11"
"360","Shimkus","John","Illinois","Republican","District 15"
"361","Simpson","Mike","Idaho","Republican","District 2"
"362","Sires","Albio","New Jersey","Democrat","District 8"
"363","Slotkin","Elissa","Michigan","Democrat","District 8"
"364","Small","Xochitl Torres","New Mexico","Democrat","District 2"
"365","Smith","Adam","Washington","Democrat","District 9"
"366","Smith","Adrian","Nebraska","Republican","District 3"
"367","Smith","Chris","New Jersey","Republican","District 4"
"368","Smith","Jason","Missouri","Republican","District 8"
"369","Smucker","Lloyd","Pennsylvania","Republican","District 11"
"370","Soto","Darren","Florida","Democrat","District 9"
"371","Spanberger","Abigail","Virginia","Democrat","District 7"
"372","Spano","Ross","Florida","Republican","District 15"
"373","Speier","Jackie","California","Democrat","District 14"
"374","Stanton","Greg","Arizona","Democrat","District 9"
"375","Stauber","Pete","Minnesota","Republican","District 8"
"376","Stefanik","Elise","New York","Republican","District 21"
"377","Steil","Bryan","Wisconsin","Republican","District 1"
"378","Steube","Greg","Florida","Republican","District 17"
"379","Stevens","Haley","Michigan","Democrat","District 11"
"380","Stewart","Chris","Utah","Republican","District 2"
"381","Stivers","Steve","Ohio","Republican","District 15"
"382","Suozzi","Tom","New York","Democrat","District 3"
"383","Swalwell","Eric","California","Democrat","District 15"
"384","Takano","Mark","California","Democrat","District 41"
"385","Taylor","Van","Texas","Republican","District 3"
"386","Thompson","Bennie G","Mississippi","Democrat","District 2"
"387","Thompson","Glenn","Pennsylvania","Republican","District 15"
"388","Thompson","Mike","California","Democrat","District 5"
"389","Thornberry","Mac","Texas","Republican","District 13"
"390","Tiffany","Tom","Wisconsin","Republican","District 7"
"391","Timmons","William","South Carolina","Republican","District 4"
"392","Tipton","Scott","Colorado","Republican","District 3"
"393","Titus","Dina","Nevada","Democrat","District 1"
"394","Tlaib","Rashida","Michigan","Democrat","District 13"
"395","Tonko","Paul","New York","Democrat","District 20"
"396","Torres","Norma","California","Democrat","District 35"
"397","Trahan","Lori","Massachusetts","Democrat","District 3"
"398","Trone","David","Maryland","Democrat","District 6"
"399","Turner","Michael R","Ohio","Republican","District 10"
"400","Underwood","Lauren A","Illinois","Democrat","District 14"
"401","Upton","Fred","Michigan","Republican","District 6"
"402","Van Drew","Jeff","New Jersey","Republican","District 2"
"403","Vargas","Juan","California","Democrat","District 51"
"404","Veasey","Marc","Texas","Democrat","District 33"
"405","Vela","Filemon","Texas","Democrat","District 34"
"406","Velazquez","Nydia","New York","Democrat","District 7"
"407","Visclosky","Pete","Indiana","Democrat","District 1"
"408","Wagner","Ann","Missouri","Republican","District 2"
"409","Walberg","Tim","Michigan","Republican","District 7"
"410","Walden","Greg","Oregon","Republican","District 2"
"411","Walker","Mark","North Carolina","Republican","District 6"
"412","Walorski","Jackie","Indiana","Republican","District 2"
"413","Waltz","Michael","Florida","Republican","District 6"
"414","Waters","Maxine","California","Democrat","District 43"
"415","Watkins","Steve","Kansas","Republican","District 2"
"416","Weber","Randy","Texas","Republican","District 14"
"417","Webster","Daniel","Florida","Republican","District 11"
"418","Welch","Peter","Vermont","Democrat","District 1"
"419","Wenstrup","Brad","Ohio","Republican","District 2"
"420","Westerman","Bruce","Arkansas","Republican","District 4"
"421","Wexton","Jennifer","Virginia","Democrat","District 10"
"422","Wild","Susan","Pennsylvania","Democrat","District 7"
"423","Williams","Roger","Texas","Republican","District 25"
"424","Wilson","Frederica","Florida","Democrat","District 24"
"425","Wilson","Joe","South Carolina","Republican","District 2"
"426","Wittman","Rob","Virginia","Republican","District 1"
"427","Womack","Steve","Arkansas","Republican","District 3"
"428","Woodall","Rob","Georgia","Republican","District 7"
"429","Wright","Ron","Texas","Republican","District 6"
"430","Yarmuth","John","Kentucky","Democrat","District 3"
"431","Yoho","Ted","Florida","Republican","District 3"
"432","Young","Don","Alaska","Republican","District 1"
"433","Zeldin","Lee","New York","Republican","District 1"
