"","LastName","FirstName","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Party","StateAbbreviation"
"204","Edwards","Edwin",25200,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","LA"
"205","Abraham","Ralph",25153,0,2600,0,0,0,14550,0,3200,6250,0,0,27050,0,0,4250,0,0,"R","LA"
"206","Foxx","Virginia",25050,3000,3000,5000,0,0,19250,2000,4500,5000,0,0,23950,19250,65325,2500,0,0,"R","NC"
"207","Poliquin","Bruce",24650,4600,4600,0,0,3000,54100,0,100,3800,0,500,81920,5000,5000,6700,0,3793,"R","ME"
"208","Bishop","Mike",24500,0,400,1000,0,0,20400,0,1000,0,0,0,122654,5000,5400,12052,0,0,"R","MI"
"209","Brat","Dave",24500,0,500,0,0,1000,7000,0,0,2000,0,2250,51150,0,2200,1200,0,2000,"R","VA"
"210","Smith","Jason",24400,13100,37665,0,0,5100,33300,2000,8750,1000,0,7000,40500,2000,5500,4000,0,14000,"R","MO"
"211","Moll","Thomas",23850,0,4750,0,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","AR"
"212","Fleischmann","Chuck",23400,2000,5000,4000,0,0,17200,3000,5000,4500,0,0,9000,0,1000,3500,0,0,"R","TN"
"213","Jordan","Jim",23400,3000,6000,4000,0,0,16000,0,2000,1000,0,0,16000,0,1000,0,0,0,"R","OH"
"214","Mulvaney","Mick",23250,0,0,1750,0,1000,18500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","SC"
"215","Graves","Tom",23200,0,9550,1000,0,0,33800,0,20700,3000,0,0,36000,0,18250,4500,0,0,"R","GA"
"216","Beutler","Jaime Herrera",23100,0,1250,2000,4750,666,15465,0,750,3100,0,0,31350,2700,4950,3100,0,250,"R","WA"
"217","Turner","Michael R",23000,0,0,6000,0,0,29950,0,0,2000,0,0,15200,0,1000,0,0,0,"R","OH"
"218","Hayworth","Nan",22800,0,0,0,0,13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NY"
"219","Rice","Kathleen",22600,0,0,1000,17550,7450,5200,0,0,0,13800,3700,6408,0,0,0,501,0,"D","NY"
"220","Gorell","Jeff",22100,0,0,1500,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"221","DeSantis","Ron",22000,0,0,0,0,0,68920,0,1500,4425,25,50,2300,0,0,0,0,0,"R","FL"
"222","Gerlach","Jim",21500,1000,1000,5000,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","PA"
"223","Massie","Thomas",21500,6600,9600,0,0,0,14000,1000,1000,0,0,0,10200,1000,2000,0,0,0,"R","KY"
"224","Palmer","Gary",21500,5000,5250,0,0,0,17300,13300,13300,0,0,0,17500,6000,6000,0,0,0,"R","AL"
"225","Hultgren","Randy",21250,1000,1000,10000,0,250,18000,1000,1000,11000,0,0,25200,1500,1500,7500,0,1000,"R","IL"
"226","Wenstrup","Brad",21100,2600,3600,0,0,0,7000,5400,5400,1000,0,0,15700,10225,10225,1000,0,0,"R","OH"
"227","Graves","Sam",21000,1000,3000,2000,0,6000,16500,1000,1000,3000,0,7000,39300,0,2000,7000,0,8500,"R","MO"
"228","Young","David",20750,0,0,7000,0,10100,25000,0,0,2500,0,22750,48647,5000,5000,8052,0,54750,"R","IA"
"229","McAllister","Vance",20400,0,0,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"230","Bucshon","Larry",20300,51050,98500,0,0,500,17000,19000,22500,0,0,5000,16200,21900,23900,1000,0,250,"R","IN"
"231","Recchia","Domenic",20300,0,0,0,16400,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NY"
"232","Alexander","Rodney",20250,0,-1000,3000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"233","Gowdy","Trey",20000,0,0,5500,0,0,28700,0,0,1000,0,0,9475,2700,2950,0,0,0,"R","SC"
"234","Taylor","Gene",19900,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MS"
"235","O'Rourke","Beto",19500,0,0,0,1000,0,250,0,0,250,0,0,NA,NA,NA,NA,NA,NA,"D","TX"
"236","Wilson","Joe",19000,0,0,2000,0,0,14000,0,0,0,0,2500,25300,0,0,1000,0,2700,"R","SC"
"237","Tisei","Richard",18950,2600,2600,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MA"
"238","Grisham","Michelle Lujan",18700,0,0,0,4250,1750,11750,0,5000,0,5500,2500,0,0,0,0,2000,0,"D","NM"
"239","Demarco","Paul",18600,59650,85550,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","AL"
"240","Brady","Robert A",18525,0,0,5000,0,0,28875,0,0,0,0,0,800,0,0,0,0,0,"D","PA"
"241","Brown","Harris",18400,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"242","Thompson","Mike",18250,0,1000,2000,5000,1500,7500,0,0,0,14000,9885,22000,0,0,1000,3025,8000,"D","CA"
"243","Hurt","Robert",17750,10400,12050,6000,0,0,12500,0,0,4500,0,0,NA,NA,NA,NA,NA,NA,"R","VA"
"244","Aderholt","Robert B",17500,13648,18397,0,0,0,19200,8000,9000,0,0,0,16053,3600,5600,0,0,2500,"R","AL"
"245","Curbelo","Carlos",17500,0,0,0,500,0,55400,0,0,4000,10750,4700,112361,2700,2700,15800,17792,7000,"R","FL"
"246","Pittenger","Robert",17500,250,2750,9500,0,0,18900,0,0,13900,0,0,12200,250,250,2700,0,0,"R","NC"
"247","Birman","Igor A",17350,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-5200,0,0,0,0,0,"R","CA"
"248","Hays","Patrick Henry",17350,0,0,0,1500,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","AR"
"249","Collins","Doug",17250,0,500,2000,0,0,30250,0,0,1600,0,0,35000,0,500,2500,0,0,"R","GA"
"250","Jackson","Lee Sheila",17100,0,0,0,0,0,15500,0,0,500,0,0,18206,0,0,0,0,0,"D","TX"
"251","Westmoreland","Lynn A",17050,0,500,5000,0,0,5750,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","GA"
"252","Butterfield","G K",17000,0,0,3000,1500,3500,15500,0,0,3000,2500,2000,11500,0,0,0,1763,2000,"D","NC"
"253","Woodall","Rob",16750,0,0,5250,0,0,18500,0,0,2000,0,0,16500,0,500,2500,1000,0,"R","GA"
"254","Peterson","Collin",16500,4500,4500,0,0,21500,35575,1500,4500,0,0,23500,36501,1500,7500,1500,0,10600,"D","MN"
"255","McIntyre","Mike",16000,0,2500,3000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NC"
"256","Foster","Bill",15850,0,0,3100,29050,8950,19350,0,0,5400,28519,4200,7950,0,0,0,16500,9610,"D","IL"
"257","Lane","Charlotte",15750,29300,33400,500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","WV"
"258","Tracy","Jim",15750,1500,1500,3000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","TN"
"259","Radel","Trey",15700,0,0,0,0,3700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","FL"
"260","Smith","Adrian",15500,2000,4500,3000,0,4500,13750,2500,2500,2500,0,16500,19000,1500,1500,0,0,23000,"R","NE"
"261","Clark","Katherine",15400,0,300,12400,6375,1150,7503,0,0,1000,9575,1300,8206,0,0,0,5913,1000,"D","MA"
"262","Salmon","Matt",15400,2000,16250,4500,0,13950,14150,0,7000,2500,0,0,NA,NA,NA,NA,NA,NA,"R","AZ"
"263","Sanford","Mark",15350,0,0,0,0,4500,7000,0,0,1000,0,0,15400,0,0,2000,0,4200,"R","SC"
"264","Collins","Mike",15200,0,5450,0,0,0,1000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","GA"
"265","Huizenga","Bill",15150,0,0,0,0,0,17750,0,1000,0,0,0,46175,0,0,0,0,0,"R","MI"
"266","Sewell","Terri",15000,14500,14500,0,0,0,8700,10000,10000,0,0,0,16750,2500,2500,1000,0,0,"D","AL"
"267","Fudge","Marcia",14950,0,0,1250,1000,0,-600,0,0,1000,1000,0,0,0,0,0,1000,0,"D","OH"
"268","Gainer","Glen",14950,250,250,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","WV"
"269","LoBiondo","Frank",14750,0,0,1000,8390,700,11000,0,0,5500,4500,0,-1500,0,0,-1500,0,0,"R","NJ"
"270","Chabot","Steve",14600,0,0,1000,0,0,2100,0,0,1000,750,0,20700,9250,53425,0,0,0,"R","OH"
"271","Hinojosa","Ruben",14500,0,0,1000,0,0,2500,0,0,1000,0,0,-1000,0,0,-1000,0,0,"D","TX"
"272","Rosendale","Matt",14500,1000,1250,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MT"
"273","Katko","John",14450,0,0,1000,0,0,64950,0,0,9000,250,1000,122590,0,0,18552,0,0,"R","NY"
"274","Rohrabacher","Dana",14400,0,0,0,0,250,8650,0,0,0,0,0,40060,0,0,500,0,0,"R","CA"
"275","Schneider","Brad",14300,0,0,0,35158,250,5961,0,5,15,30354,784,3559,0,0,15,17209,385,"D","IL"
"276","Streusand","Ben",14300,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","TX"
"277","Swalwell","Eric",14300,0,0,1000,2000,8200,9200,0,500,2000,9900,5900,25558,0,0,3000,3965,3361,"D","CA"
"278","Bera","Ami",14150,0,0,0,84869,2750,3095,0,0,2745,44633,4815,10,0,0,10,13880,2625,"D","CA"
"279","Witt","James Lee",14050,0,0,250,250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","AR"
"280","Dingell","Debbie",14000,0,3000,6500,11076,0,14200,0,0,4000,5027,250,8000,0,0,1000,5903,250,"D","MI"
"281","Thompson","Bennie G",14000,0,0,6000,3000,0,18000,0,0,10000,500,0,9500,0,0,4500,2000,0,"D","MS"
"282","Nugent","Richard",13950,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","FL"
"283","Schilling","Bobby",13750,5000,6000,0,0,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","IL"
"284","Womack","Steve",13700,0,0,0,0,0,16500,0,0,3000,0,0,43650,0,0,1000,0,0,"R","AR"
"285","Rogers","Wendy",13550,0,0,0,0,0,20950,2700,2700,0,0,0,37800,5400,7900,0,0,3200,"R","AZ"
"286","Cardenas","Tony",13500,0,0,10000,3000,250,24800,0,0,7300,6200,1500,24530,0,0,3000,1604,2000,"D","CA"
"287","Matsui","Doris",13500,0,0,4000,2000,1000,14500,0,0,1000,6200,0,17000,0,1000,3000,4537,5000,"D","CA"
"288","Webster","Daniel",13350,0,0,250,0,0,6300,0,600,0,0,0,3000,0,300,0,0,0,"R","FL"
"289","Labrador","Raul",13100,0,5000,3000,1000,0,14900,250,3750,5500,2000,0,0,0,500,0,0,0,"R","ID"
"290","Crawford","Rick",12800,0,0,2000,0,1000,6250,0,0,3000,0,0,7250,0,1000,1000,0,0,"R","AR"
"291","Franks","Trent",12700,0,5000,5100,0,0,5500,0,5000,3000,0,0,250,0,1000,0,0,0,"R","AZ"
"292","Duncan","John J Jr",12500,2750,3750,0,0,0,12500,1500,1500,0,0,500,4500,0,0,0,0,0,"R","TN"
"293","Gosar","Paul",12500,2000,14000,1500,500,2000,6000,3000,23750,1000,250,250,18600,5500,35125,0,0,3000,"R","AZ"
"294","Maloney","Carolyn",12400,0,0,0,5850,1000,10805,0,0,5,2500,0,11400,0,2000,0,3550,1500,"D","NY"
"295","Holding","George",12350,0,0,2500,0,2600,54082,1000,1000,5500,0,22700,72950,0,0,2000,0,22800,"R","NC"
"296","Pallone","Frank Jr",12250,0,0,8500,2500,1500,22900,0,500,13400,4090,12000,30950,0,0,17450,2000,22500,"D","NJ"
"297","Lara","Rocky",12150,0,5200,0,7000,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NM"
"298","Patrick","Suzanne",12150,0,0,0,250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","VA"
"299","Margolies","Marjorie",12100,0,0,1000,500,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","PA"
"300","Mowrer","Jim",11950,0,0,0,450,1000,279,0,0,0,27524,4000,NA,NA,NA,NA,NA,NA,"D","IA"
"301","Bachmann","Michele",11900,0,2500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MN"
"302","Whitney","Lenar",11900,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"303","Green","Al",11600,0,2500,0,0,0,24200,0,0,0,0,0,4956,0,0,2700,0,1000,"D","TX"
"304","King","Steven A",11500,0,0,3500,0,27450,4150,0,0,0,0,19050,7750,1000,1000,0,0,27418,"R","IA"
"305","Rooney","Tom",11500,0,0,1000,0,0,5000,0,0,0,0,0,1500,0,0,0,0,0,"R","FL"
"306","Senger","Darlene",11500,750,750,3000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","IL"
"307","Carr","Elan",11400,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"308","Murphy","Patrick",11400,0,0,0,25910,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","FL"
"309","Griffin","Taylor",11350,0,0,0,0,0,6550,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","NC"
"310","Hartzler","Vicky",11350,8200,8200,1000,0,7600,9400,2000,2000,3000,0,-2500,13800,1000,1000,2000,0,3500,"R","MO"
"311","Hunter","Duncan D",11100,0,2000,0,3000,0,10500,0,0,1000,0,0,0,0,0,1000,0,1000,"R","CA"
"312","Boyle","Brendan",11000,0,0,3000,4990,0,3750,0,0,3000,6899,0,6000,0,0,6000,2010,0,"D","PA"
"313","Sparks","Harvey",10900,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","OK"
"314","Nestande","Brian",10750,0,0,2250,0,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"315","Forbes","Randy",10500,0,5200,2000,0,0,3950,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,"R","VA"
"316","Kaptur","Marcy",10500,0,4000,3000,1000,8000,8500,0,2000,4000,1000,3000,4500,0,7500,3500,1000,0,"D","OH"
"317","Rice","Tom",10500,1000,2000,2500,0,0,15750,0,0,0,0,0,29950,0,250,0,0,2000,"R","SC"
"318","Roby","Martha",10500,3600,5600,3000,0,0,21950,7500,7500,2000,0,0,28100,2000,2000,2500,0,0,"R","AL"
"319","Claitor","Dan",10400,0,0,0,0,0,1000,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,"R","LA"
"320","DelBene","Suzan",10000,0,0,0,47301,1250,10000,0,0,0,33957,0,14011,0,0,0,23051,300,"D","WA"
"321","Loudermilk","Barry",10000,0,0,0,0,0,15250,0,0,1000,0,0,24000,0,500,1000,0,0,"R","GA"
"322","Lowenthal","Alan",10000,0,0,3000,9950,1000,11000,0,1000,2000,7223,100,7000,0,2500,0,5100,0,"D","CA"
"323","Schweikert","David",10000,1000,8750,0,0,0,10000,0,5250,0,0,0,40950,0,6000,1500,0,5400,"R","AZ"
"324","Hays","Elaine",9989,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","TX"
"325","Wittman","Rob",9950,0,0,3000,8500,0,13250,0,0,0,2750,0,21615,0,0,8500,500,0,"R","VA"
"326","Huffman","Jared",9900,0,0,9500,22550,950,5000,120,120,5000,27849,1025,3500,0,0,2500,37033,1000,"D","CA"
"327","Miller","Gary",9900,0,555,5200,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"328","Westrom","Torrey",9850,0,300,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MN"
"329","Moulton","Seth",9650,0,500,0,21800,250,5500,0,0,1000,13100,1000,4100,0,0,4000,1300,0,"D","MA"
"330","Clyburn","James E",9500,0,1000,2000,2500,1750,13430,0,0,3000,1250,1500,20006,0,0,5500,4750,2500,"D","SC"
"331","Trott","Dave",9500,0,0,2000,0,0,4000,0,0,0,0,0,2500,0,0,0,0,0,"R","MI"
"332","Meeks","Gregory",9100,0,0,2000,0,0,2500,0,0,0,0,0,2500,0,0,0,0,0,"D","NY"
"333","Bishop","Sanford",9000,1000,6000,0,0,0,14000,3000,7000,0,0,1000,11750,2500,8500,1000,0,1000,"D","GA"
"334","Holloway","Clyde C",9000,0,0,7500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"335","Reichert","Dave",8900,0,1500,5000,5000,7500,10000,0,250,4750,0,16500,1500,0,0,0,0,0,"R","WA"
"336","Wakefield","Margie",8810,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","KS"
"337","Debicella","Dan",8800,0,0,0,750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CT"
"338","Frese","Michael",8800,0,3000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NM"
"339","Rangel","Charles B",8800,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NY"
"340","Amodei","Mark",8750,0,28000,2500,0,3000,10000,0,38450,2000,0,0,26000,1000,45700,6000,0,0,"R","NV"
"341","Carson","Andre",8750,0,0,0,0,0,1250,0,0,0,0,1000,2250,0,0,0,250,0,"D","IN"
"342","Beyer","Don",8700,0,0,5100,17540,6450,22850,0,0,11600,5218,8400,15902,0,2500,8900,5380,11900,"D","VA"
"343","Larson","John",8600,3000,3000,6100,2700,1000,11000,0,0,3000,2500,0,0,0,0,0,1000,0,"D","CT"
"344","Johnson","Eddie Bernice",8570,0,0,3500,1000,1000,4000,0,0,0,2500,0,3756,0,0,0,2000,0,"D","TX"
"345","Neal","Richard E",8500,0,0,4000,0,1000,7000,0,0,3500,1000,0,39900,0,0,13500,1500,7500,"D","MA"
"346","Rush","Bobby",8500,0,0,1000,2000,5000,15500,0,0,12000,4000,1000,13000,0,1000,5000,1000,1000,"D","IL"
"347","McAffrey","Al",8450,0,0,0,0,0,125,0,0,0,0,100,NA,NA,NA,NA,NA,NA,"D","OK"
"348","Arntzen","Elsie",8300,0,400,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","MT"
"349","Djou","Charles",8250,0,0,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","HI"
"350","Tiahrt","Todd",8200,0,0,0,0,7700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","KS"
"351","Doggett","Lloyd",8150,0,0,-1000,4250,4250,10800,0,0,0,2750,3700,2706,0,0,0,4275,0,"D","TX"
"352","Frelinghuysen","Rodney",8050,2000,2000,3000,0,500,23000,2000,5000,5500,0,0,22800,0,1500,2500,0,0,"R","NJ"
"353","Andrews","Robert E",8000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NJ"
"354","Becerra","Xavier",8000,0,0,2500,4000,1000,6000,0,0,2000,4200,3500,NA,NA,NA,NA,NA,NA,"D","CA"
"355","Desaulnier","Mark",8000,0,0,0,5140,0,8000,0,0,0,3750,0,7175,0,0,0,650,1500,"D","CA"
"356","Grothman","Glenn",8000,0,500,0,0,0,22150,0,0,0,0,500,34950,0,0,0,0,1000,"R","WI"
"357","Kennedy","Joe III",7800,0,0,7800,20000,750,15600,0,0,2000,19750,2750,13875,0,15,1015,21485,6655,"D","MA"
"358","Robertson","Darrel",7800,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","OK"
"359","Garcia","Joe",7650,0,0,1000,29913,4250,2000,0,0,0,9288,3700,NA,NA,NA,NA,NA,NA,"D","FL"
"360","Berger","Philip",7500,0,0,1500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NC"
"361","Conyers","John Jr",7500,0,0,0,595,0,0,0,0,0,1250,0,1816,0,0,0,504,0,"D","MI"
"362","Crenshaw","Ander",7500,0,0,0,0,0,1000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"R","FL"
"363","Dingell","John D",7500,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","MI"
"364","Grimm","Michael",7500,0,2555,3000,0,0,NA,NA,NA,NA,NA,NA,8400,0,0,0,1000,0,"R","NY"
"365","Kilmer","Derek",7500,0,0,0,43767,4050,5950,0,0,0,38079,250,12375,0,0,0,25613,0,"D","WA"
"366","Rogers","Mike D",7500,14450,14450,1000,0,0,12500,11000,11000,3000,0,0,7000,7000,7000,0,0,0,"R","AL"
"367","Visclosky","Pete",7500,1700,1700,0,0,0,8000,0,2000,2000,0,1000,7051,0,2000,2000,0,2000,"D","IN"
"368","Morris","Jay",7350,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","LA"
"369","Luetkemeyer","Blaine",7250,2500,2500,4000,0,9500,6000,6400,8400,3000,0,5500,11000,0,1750,2000,0,6000,"R","MO"
"370","Blakeman","Bruce",7200,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NY"
"371","Maloney","Sean Patrick",7200,0,0,500,29150,3500,7500,0,0,4000,9406,750,1055,0,0,0,7470,50,"D","NY"
"372","Peters","Kathleen",7200,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","FL"
"373","Byrd","Jeff",7100,0,1500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NM"
"374","Hanna","Richard",7100,0,0,3600,0,3500,0,0,0,0,250,0,NA,NA,NA,NA,NA,NA,"R","NY"
"375","DeFazio","Peter",7000,0,0,1000,3140,500,5500,0,0,0,3112,0,14500,0,0,2500,2375,40,"D","OR"
"376","Higgins","Brian M",7000,0,0,5000,0,0,9850,0,0,8850,1000,3500,13100,0,0,10100,0,1000,"D","NY"
"377","Horsford","Steven",7000,0,19500,2500,13282,3250,NA,NA,NA,NA,NA,NA,6044,0,11000,2502,11662,1312,"D","NV"
"378","Kirkmeyer","Barb",7000,0,0,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CO"
"379","Van","Hollen Chris",7000,0,0,7000,7700,4250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","MD"
"380","Yoho","Ted",7000,0,0,0,0,0,9150,0,0,3750,0,0,4500,0,0,3000,0,0,"R","FL"
"381","Bishop","Timothy H",6950,0,0,0,27825,7200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","NY"
"382","Cummings","Elijah E",6850,0,0,0,3850,0,5000,0,0,0,5052,0,3088,0,0,0,2050,0,"D","MD"
"383","Newhouse","Dan",6800,0,0,1800,2250,0,30400,4000,8000,5150,0,250,20000,0,1000,1500,0,0,"R","WA"
"384","Himes","Jim",6750,0,2750,6500,10700,2600,3000,0,2600,3000,5209,25,2001,0,2000,1000,7456,0,"D","CT"
"385","Kirkpatrick","Ann",6700,0,7500,0,7000,1000,NA,NA,NA,NA,NA,NA,3746,0,5,22,15743,3022,"D","AZ"
"386","White","Woody",6700,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NC"
"387","Titus","Dina",6600,0,13000,0,2500,5500,0,0,13000,0,3060,6000,2500,0,7500,2500,2033,0,"D","NV"
"388","Cramer","Robert",6500,0,0,0,0,0,0,1000,1000,0,0,0,NA,NA,NA,NA,NA,NA,"R","IA"
"389","McNerney","Jerry",6500,0,0,2000,34000,21150,4500,0,0,2000,46457,18750,6900,0,0,3500,9950,12700,"D","CA"
"390","Napolitano","Grace",6500,0,0,6500,2000,0,5000,0,0,5000,2651,0,3500,0,0,3500,3000,2500,"D","CA"
"391","Peters","Scott",6500,0,0,2500,50459,5000,9400,0,0,5900,27449,10050,31703,0,10000,15200,16392,9038,"D","CA"
"392","Walz","Tim",6500,0,0,0,6000,8500,15500,0,0,0,300,4500,7500,0,0,0,0,0,"D","MN"
"393","Blum","Rod",6450,0,0,0,0,6250,21900,0,0,900,0,14050,72576,5000,5000,8052,0,18500,"R","IA"
"394","Thomas","Charles",6450,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trey",NA
"395","Jones","Walter B Jr",6350,0,0,1500,0,0,13500,0,0,500,0,0,11800,0,0,0,0,0,"R","NC"
"396","Pocan","Mark",6350,0,0,2000,2500,500,4000,0,0,2000,4100,2500,3023,0,0,0,5903,500,"D","WI"
"397","Cooper","Jim",6200,0,0,1000,0,0,3500,0,0,1000,0,2700,6500,0,0,0,0,1250,"D","TN"
"398","Jorgensen","Kirk",6200,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CA"
"399","Polis","Jared",6200,0,0,0,18400,0,7500,0,0,0,10975,0,1000,0,0,0,-500,0,"D","CO"
"400","Meadows","Mark",6000,0,0,0,0,0,12800,0,0,0,0,0,41225,500,500,0,0,0,"R","NC"
"401","Sensenbrenner","Jim",6000,0,0,0,0,250,14000,0,1500,0,0,0,10500,0,0,0,0,0,"R","WI"
"402","Keating","Bill",5850,0,0,2500,2000,250,8250,0,0,3000,4000,0,6250,0,0,2500,1850,100,"D","MA"
"403","Lewis","John",5850,250,250,0,16039,525,1500,0,0,0,2000,300,6234,0,737,1330,2665,2633,"D","MT,GA,GA"
"404","Lewis","John",5850,250,250,0,4500,525,1500,0,0,0,2000,300,6234,0,737,1330,2665,2633,"D","MT,MT,MT,GA,MT,GA,GA"
"405","Leach","Daylin",5800,0,0,0,5500,0,NA,NA,NA,NA,NA,NA,1200,0,0,0,2700,0,"D","PA"
"406","Leing","George",5800,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","CO"
"407","Loebsack","David",5750,0,0,3000,6500,9000,7250,0,2500,4500,13750,20000,8262,0,0,0,2750,32301,"D","IA"
"408","Coakley","Vince",5700,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R","NC"
"409","McPherson","Jackie",5700,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","AR"
"410","Nadler","Jerrold",5700,0,0,0,0,0,5650,0,0,0,7550,0,5400,0,0,0,1510,0,"D","NY"
"411","Lee","Barbara",5600,0,0,0,7750,0,2700,0,0,0,17098,0,3463,0,0,0,20655,185,"D","CA"
