party,state,amount.oil.113,amount.coal.113,amount.mining.113,amount.gas.113,amount.env.113,amount.alt_en.113,member.x,alias.x,name,amount.oil.114,amount.coal.114,amount.mining.114,amount.gas.114,amount.env.114,amount.alt_en.114,member.y,alias.y,amount.oil.115,amount.coal.115,amount.mining.115,amount.gas.115,amount.env.115,amount.alt_en.115,member.x.x,alias.x.x,amount.oil.116,amount.coal.116,amount.mining.116,amount.gas.116,amount.env.116,amount.alt_en.116,member.y.y,alias.y.y,first_name,last_name,member_id,amount.oil.117,amount.coal.117,amount.mining.117,amount.gas.117,amount.env.117,amount.alt_en.117,member,alias,rest_of_name
R,SD,94001,9000,13000,7000,0,29500,NA,NA,kristi noem,64550,2000,3000,9000,0,32050,NA,NA,77150,250,2750,0,500,25800,NA,NA,1000,0,0,1000,0,0,NA,NA,Kristi,Noem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,CA,92500,0,2000,2000,0,0,NA,NA,tony strickland,62400,0,0,500,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tony,Strickland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,AR,90600,2000,2000,0,0,1000,NA,NA,tim griffin,37200,0,0,8500,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tim,Griffin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,89250,0,0,15000,0,0,NA,NA,lamar smith,112350,1000,2000,0,0,0,NA,NA,108400,0,0,0,0,0,NA,NA,57450,0,0,-2700,0,250,NA,NA,Lamar,Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,NE,88500,5500,7500,10000,0,4000,NA,NA,lee terry,95750,5000,8555,21000,0,32350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lee,Terry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,PA,88400,21500,28500,19000,0,0,NA,NA,glenn thompson,125330,17500,28250,31450,0,0,NA,NA,85550,9250,17250,22200,0,0,NA,NA,80100,9216,14916,15000,0,0,NA,NA,Glenn,Thompson,NA,55913,16550,17550,7500,0,0,NA,NA,NA
R,OK,88000,0,2500,3000,0,0,NA,NA,james bridenstine,72950,0,0,3500,0,0,NA,NA,49100,1000,1000,3250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James,Bridenstine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,OH,85500,42717,97067,6000,500,2000,NA,NA,jim renacci,66199,0,-1250,8000,0,1000,NA,NA,53243,0,0,4500,1000,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim,Renacci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,85300,0,0,2000,0,0,NA,NA,kay granger,83850,0,2000,0,0,0,NA,NA,72350,0,0,0,0,1000,NA,NA,70900,0,0,2500,0,1000,NA,NA,Kay,Granger,NA,74454,1000,1011,9509,8600,16,NA,NA,NA
R,LA,85288,2500,3500,7000,4400,0,NA,NA,rodney alexander,20250,0,-1000,3000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rodney,Alexander,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,85275,0,0,0,0,0,NA,NA,mac thornberry,101375,0,0,0,0,1750,NA,NA,82175,0,-1000,0,0,8000,NA,NA,48925,0,1000,0,0,4000,NA,NA,Mac,Thornberry,NA,33500,0,0,0,0,0,NA,NA,NA
R,TX,85100,0,0,11500,0,0,NA,NA,ted poe,94200,0,0,21750,0,1000,NA,NA,75000,0,0,7400,0,2700,NA,NA,6200,0,0,0,0,5000,NA,NA,Ted,Poe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,MS,84750,2500,2500,10000,0,0,NA,NA,gregg harper,136300,3000,3000,12500,0,0,NA,NA,60550,0,1000,8500,0,0,NA,NA,17660,0,1000,2500,0,0,NA,NA,Gregg,Harper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,OK,84000,0,0,15500,0,7500,NA,NA,frank d lucas,101450,1500,2500,10000,0,1000,NA,NA,62050,0,1000,6000,0,3500,NA,NA,64600,0,0,10000,0,5000,NA,NA,Frank D,Lucas,NA,73125,0,1000,13525,0,1000,NA,NA,NA
D,CA,82750,5000,6000,14250,1000,2250,NA,NA,jim costa,99929,3000,10500,23999,3500,4000,NA,NA,95525,3500,6500,21000,2000,2000,NA,NA,98505,3500,12000,15000,3000,1000,NA,NA,Jim,Costa,NA,88000,2250,11250,6000,2000,0,NA,NA,NA
R,OR,81900,1000,6000,11400,10250,0,NA,NA,greg walden,112350,1000,4000,8500,329,4750,NA,NA,151900,3500,7500,18000,0,0,NA,NA,290750,14000,37000,29800,0,8400,NA,NA,Greg,Walden,NA,68500,8500,13500,10500,0,7098,NA,NA,NA
R,CA,77750,5000,5000,11500,5000,13050,NA,NA,brian p bilbray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brian P,Bilbray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,CA,77450,1500,6500,10500,0,1000,NA,NA,darrell issa,82400,1800,12650,11350,0,4250,NA,NA,45000,1000,2000,16100,0,0,NA,NA,24050,1585,1835,5400,0,1000,NA,NA,Darrell,Issa,NA,28202,0,384,6602,0,702,NA,NA,NA
R,FL,75000,1500,5500,12000,0,0,NA,NA,john l mica,33500,0,3000,8000,0,0,NA,NA,27500,0,2550,2500,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John L,Mica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,MS,70700,2500,8000,2500,0,0,NA,NA,alan nunnelee,66100,3000,10200,4600,0,500,NA,NA,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alan,Nunnelee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,68000,0,0,10500,0,0,NA,NA,michael burgess,67956,0,0,0,0,0,NA,NA,43100,0,0,0,0,0,NA,NA,35250,0,0,4000,0,5200,NA,NA,Michael,Burgess,NA,79575,0,1000,6800,2800,1000,NA,NA,NA
R,CO,68000,10499,24999,11500,1000,0,NA,NA,doug lamborn,59000,9000,17500,4000,1000,0,NA,NA,67377,15500,38000,8500,1000,0,NA,NA,22791,6000,15000,1000,0,0,NA,NA,Doug,Lamborn,NA,10500,0,9000,1000,0,0,NA,NA,NA
R,NV,66850,1000,34500,7200,0,0,NA,NA,joe heck,37900,2600,18000,6000,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joe,Heck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TN,66405,0,1000,7000,0,500,NA,NA,diane black,60625,1000,2000,5000,0,0,NA,NA,43250,0,0,3000,1000,1000,NA,NA,-1750,2000,2000,-1000,0,2500,NA,NA,Diane,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,66100,0,0,1500,0,250,NA,NA,randy weber,97800,0,0,14350,3600,0,NA,NA,66550,0,3700,5750,0,0,NA,NA,94550,0,8100,15850,0,0,NA,NA,Randy,Weber,NA,74953,0,1000,13850,0,0,NA,NA,NA
