"last_name","first_name","Vote6","BioID","GovtrackID","Vote7","Party","State","District"
"McBath","Lucy","+","M001208",412769,"+","D","GA","GA-06"
"Woodall","Rob","-",NA,NA,NA,"R","GA","GA-07"
"Scott","Austin","-","S001189",412417,"-","R","GA","GA-08"
"Collins","Doug","-",NA,NA,NA,"R","GA","GA-09"
"Hice","Jody","-","H001071",412623,"-","R","GA","GA-10"
"Loudermilk","Barry","-","L000583",412624,"-","R","GA","GA-11"
"Allen","Rick","-","A000372",412625,"-","R","GA","GA-12"
"Scott","David","+","S001157",400363,"+","D","GA","GA-13"
"Graves","Tom","-",NA,NA,NA,"R","GA","GA-14"
"San Nicolas","Michael","+",NA,NA,NA,"D","GU","GU-AL"
"Case","Ed","+","C001055",400069,"+","D","HI","HI-01"
"Gabbard","Tulsi","+",NA,NA,NA,"D","HI","HI-02"
"Fulcher","Russ","-","F000469",412773,"n/a","R","ID","ID-01"
"Simpson","Mike","-","S001148",400376,"-","R","ID","ID-02"
"Rush","Bobby L.","+",NA,NA,NA,"D","IL","IL-01"
"Kelly","Robin","+","K000385",412595,"+","D","IL","IL-02"
"Lipinski","Dan","+",NA,NA,NA,"D","IL","IL-03"
"García","Jesús","+",NA,NA,NA,"D","IL","IL-04"
"Quigley","Mike","+","Q000023",412331,"+","D","IL","IL-05"
"Casten","Sean","+","C001117",412775,"+","D","IL","IL-06"
"Davis","Danny K.","+",NA,NA,NA,"D","IL","IL-07"
"Krishnamoorthi","Raja","+","K000391",412701,"+","D","IL","IL-08"
"Schakowsky","Jan","+","S001145",400360,"+","D","IL","IL-09"
"Schneider","Brad","+","S001190",412534,"+","D","IL","IL-10"
"Foster","Bill","+","F000454",412257,"+","D","IL","IL-11"
"Bost","Mike","-","B001295",412629,"-","R","IL","IL-12"
"Davis","Rodney","-","D000619",412536,"-","R","IL","IL-13"
"Underwood","Lauren","+","U000040",412776,"+","D","IL","IL-14"
"Shimkus","John M.","-",NA,NA,NA,"R","IL","IL-15"
"Kinzinger","Adam","-","K000378",412421,"-","R","IL","IL-16"
"Bustos","Cheri","+","B001286",412537,"+","D","IL","IL-17"
"LaHood","Darin","-","L000585",412674,"-","R","IL","IL-18"
"Visclosky","Peter J.","+",NA,NA,NA,"D","IN","IN-01"
"Walorski","Jackie","-","W000813",412538,"-","R","IN","IN-02"
"Banks","Jim","-","B001299",412702,"-","R","IN","IN-03"
"Baird","James","-","B001307",412777,"-","R","IN","IN-04"
"Brooks","Susan W.","-",NA,NA,NA,"R","IN","IN-05"
"Pence","Greg","-","P000615",412778,"-","R","IN","IN-06"
"Carson","Andre","+","C001072",412258,"+","D","IN","IN-07"
"Bucshon","Larry","-","B001275",412427,"-","R","IN","IN-08"
"Hollingsworth","Trey","-","H001074",412703,"-","R","IN","IN-09"
"Finkenauer","Abby","+",NA,NA,NA,"D","IA","IA-01"
"Loebsack","Dave W.","+",NA,NA,NA,"D","IA","IA-02"
"Axne","Cynthia","+","A000378",412772,"+","D","IA","IA-03"
"King","Steve A.","-",NA,NA,NA,"R","IA","IA-04"
"Marshall","Roger","-",NA,NA,NA,"R","KS","KS-01"
"Watkins","Steven","-",NA,NA,NA,"R","KS","KS-02"
"Davids","Sharice","+","D000629",412780,"+","D","KS","KS-03"
"Estes","Ron","-","E000298",412735,"-","R","KS","KS-04"
"Comer","James","-","C001108",412676,"-","R","KY","KY-01"
"Guthrie","Brett","-","G000558",412278,"-","R","KY","KY-02"
"Yarmuth","John","+","Y000062",412211,"+","D","KY","KY-03"
"Massie","Thomas","-","M001184",412503,"-","R","KY","KY-04"
"Rogers","Harold","-","R000395",400340,"-","R","KY","KY-05"
"Barr","Garland","-","B001282",412541,"?","R","KY","KY-06"
"Scalise","Steve","-","S001176",412261,"-","R","LA","LA-01"
"Richmond","Cedric L","+",NA,NA,NA,"D","LA","LA-02"
"Higgins","Clay","-","H001077",412705,"-","R","LA","LA-03"
"Johnson","Mike","-","J000299",412706,"?","R","LA","LA-04"
"Abraham","Ralph","-",NA,NA,NA,"R","LA","LA-05"
"Graves","Garret","-","G000577",412631,"?","R","LA","LA-06"
"Pingree","Chellie M.","+",NA,NA,NA,"D","ME","ME-01"
"Golden","Jared","+","G000592",412842,"+","D","ME","ME-02"
"Harris","Andy","-","H001052",412434,"-","R","MD","MD-01"
"Ruppersberger","C.A. Dutch","+","R000576",400349,"+","D","MD","MD-02"
"Sarbanes","John P.","+",NA,NA,NA,"D","MD","MD-03"
"Brown","Anthony","+","B001304",412707,"+","D","MD","MD-04"
"Hoyer","Steny H.","+",NA,NA,NA,"D","MD","MD-05"
"Trone","David","+","T000483",412783,"n/a","D","MD","MD-06"
"Cummings","Elijah E.","+",NA,NA,NA,"D","MD","MD-07"
"Raskin","Jamie","+","R000606",412708,"+","D","MD","MD-08"
"Neal","Richard E.","+",NA,NA,NA,"D","MA","MA-01"
"McGovern","Jim","+","M000312",400263,"+","D","MA","MA-02"
"Trahan","Lori","+","T000482",412781,"+","D","MA","MA-03"
"Kennedy","Joseph P.","+",NA,NA,NA,"D","MA","MA-04"
"Clark","Katherine M.","+",NA,NA,NA,"D","MA","MA-05"
"Moulton","Seth","+","M001196",412632,"+","D","MA","MA-06"
"Pressley","Ayanna","+","P000617",412782,"+","D","MA","MA-07"
"Lynch","Stephen F.","+",NA,NA,NA,"D","MA","MA-08"
"Keating","Bill","+","K000375",412435,"+","D","MA","MA-09"
"Bergman","Jack","-","B001301",412709,"-","R","MI","MI-01"
"Huizenga","Bill","-","H001058",412437,"-","R","MI","MI-02"
"Amash","Justin","-",NA,NA,NA,"R","MI","MI-03"
"Moolenaar","John","-","M001194",412634,"-","R","MI","MI-04"
"Kildee","Daniel T.","+",NA,NA,NA,"D","MI","MI-05"
"Upton","Fred","+","U000031",400414,"+","R","MI","MI-06"
"Walberg","Tim","-","W000798",412213,"-","R","MI","MI-07"
"Slotkin","Elissa","+","S001208",412784,"+","D","MI","MI-08"
"Levin","Andy","+","L000592",412785,"+","D","MI","MI-09"
"Mitchell","Paul","-",NA,NA,NA,"R","MI","MI-10"
"Stevens","Haley","+","S001215",412786,"+","D","MI","MI-11"
"Dingell","Debbie","+","D000624",412637,"+","D","MI","MI-12"
"Tlaib","Rashida","+","T000481",412787,"+","D","MI","MI-13"
"Lawrence","Brenda","+","L000581",412638,"+","D","MI","MI-14"
"Hagedorn","Jim","-","H001088",412788,"-","R","MN","MN-01"
"Craig","Angie","+","C001119",412789,"+","D","MN","MN-02"
"Phillips","Dean","+","P000616",412790,"+","D","MN","MN-03"
"McCollum","Betty","+","M001143",400259,"+","D","MN","MN-04"
"Omar","Ilhan","+","O000173",412791,"+","D","MN","MN-05"
"Emmer","Tom","?","E000294",412639,"-","R","MN","MN-06"
"Peterson","Collin C.","+",NA,NA,NA,"D","MN","MN-07"
"Stauber","Pete","-","S001212",412792,"-","R","MN","MN-08"
"Kelly","Trent","-","K000388",412673,"-","R","MS","MS-01"
"Thompson","Bennie G.","+",NA,NA,NA,"D","MS","MS-02"
"Guest","Michael","-","G000591",412793,"-","R","MS","MS-03"
"Palazzo","Steven","-","P000601",412443,"-","R","MS","MS-04"
"Clay","William Lacy","+",NA,NA,NA,"D","MO","MO-01"
"Wagner","Ann","-","W000812",412548,"-","R","MO","MO-02"
"Luetkemeyer","Blaine","-","L000569",412292,"-","R","MO","MO-03"
"Hartzler","Vicky","-","H001053",412444,"-","R","MO","MO-04"
"Cleaver","Emanuel","+","C001061",400639,"+","D","MO","MO-05"
"Graves","Sam","-","G000546",400158,"-","R","MO","MO-06"
"Long","Billy","-","L000576",412445,"-","R","MO","MO-07"
"Smith","Jason T.","-",NA,NA,NA,"R","MO","MO-08"
"Gianforte","Greg","-",NA,NA,NA,"R","MT","MT-AL"
"Fortenberry","Jeff","-","F000449",400640,"-","R","NE","NE-01"
"Bacon","Don","-","B001298",412713,"-","R","NE","NE-02"
"Smith","Adrian M.","-",NA,NA,NA,"R","NE","NE-03"
"Titus","Dina","+","T000468",412318,"+","D","NV","NV-01"
"Amodei","Mark E.","-",NA,NA,NA,"R","NV","NV-02"
"Lee","Susie","+","L000590",412802,"+","D","NV","NV-03"
"Horsford","Steven A.","+",NA,NA,NA,"D","NV","NV-04"
"Pappas","Chris","+","P000614",412795,"+","D","NH","NH-01"
"Kuster","Ann M.","+",NA,NA,NA,"D","NH","NH-02"
"Norcross","Donald W.","+",NA,NA,NA,"D","NJ","NJ-01"
"Van Drew","Jefferson","+","V000133",412796,"+","R","NJ","NJ-02"
"Kim","Andy","+","K000394",412797,"+","D","NJ","NJ-03"
"Smith","Christopher H.","+",NA,NA,NA,"R","NJ","NJ-04"
"Gottheimer","Josh","+","G000583",412714,"+","D","NJ","NJ-05"
"Pallone","Frank J.","+",NA,NA,NA,"D","NJ","NJ-06"
"Malinowski","Tom","+","M001203",412798,"+","D","NJ","NJ-07"
"Sires","Albio","+","S001165",412186,"+","D","NJ","NJ-08"
"Pascrell","Bill","+","P000096",400309,"+","D","NJ","NJ-09"
"Payne","Donald M.","+",NA,NA,NA,"D","NJ","NJ-10"
"Sherrill","Mikie","+","S001207",412799,"+","D","NJ","NJ-11"
"Watson Coleman","Bonnie","+","W000822",412644,"+","D","NJ","NJ-12"
"Haaland","Debra","+","H001080",412800,NA,"D","NM","NM-01"
"Torres Small","Xochitl","+",NA,NA,NA,"D","NM","NM-02"
"Luján","Ben Ray","+",NA,NA,NA,"D","NM","NM-03"
"Zeldin","Lee","-","Z000017",412646,"-","R","NY","NY-01"
"King","Peter T.","-",NA,NA,NA,"R","NY","NY-02"
"Suozzi","Thomas","+","S001201",412717,"+","D","NY","NY-03"
"Rice","Kathleen","+","R000602",412647,"+","D","NY","NY-04"
"Meeks","Gregory W.","+",NA,NA,NA,"D","NY","NY-05"
"Meng","Grace","+","M001188",412560,"+","D","NY","NY-06"
"Velázquez ","Nydia","+",NA,NA,NA,"D","NY","NY-07"
"Jeffries","Hakeem S.","+",NA,NA,NA,"D","NY","NY-08"
"Clarke","Yvette D.","+",NA,NA,NA,"D","NY","NY-09"
"Nadler","Jerrold L.","+",NA,NA,NA,"D","NY","NY-10"
"Rose","Max","+",NA,NA,NA,"D","NY","NY-11"
"Maloney","Carolyn B.","+",NA,NA,NA,"D","NY","NY-12"
"Espaillat","Adriano","+","E000297",412718,"+","D","NY","NY-13"
"Ocasio-Cortez","Alexandria","+","O000172",412804,"+","D","NY","NY-14"
"Serrano","Jose","+",NA,NA,NA,"D","NY","NY-15"
"Engel","Eliot L.","+",NA,NA,NA,"D","NY","NY-16"
"Lowey","Nita M.","+",NA,NA,NA,"D","NY","NY-17"
"Maloney","Sean Patrick","+",NA,NA,NA,"D","NY","NY-18"
"Delgado","Antonio","+","D000630",412805,"+","D","NY","NY-19"
"Tonko","Paul D.","+",NA,NA,NA,"D","NY","NY-20"
"Stefanik","Elise","+","S001196",412648,"-","R","NY","NY-21"
"Brindisi","Anthony","+",NA,NA,NA,"D","NY","NY-22"
"Reed","Tom","-","R000585",412393,"+","R","NY","NY-23"
"Katko","John","+","K000386",412649,"+","R","NY","NY-24"
"Morelle","Joe","+","M001206",412749,"+","D","NY","NY-25"
"Higgins","Brian M.","+",NA,NA,NA,"D","NY","NY-26"
"Collins","Chris","-",NA,NA,NA,"R","NY","NY-27"
"Butterfield","G.K.","+","B001251",400616,"+","D","NC","NC-01"
"Holding","George","-",NA,NA,NA,"R","NC","NC-02"
"Price","David","+","P000523",400326,"+","D","NC","NC-04"
"Foxx","Virginia","-","F000450",400643,"-","R","NC","NC-05"
"Walker","Bradley Mark","-",NA,NA,NA,"R","NC","NC-06"
"Rouzer","David","-","R000603",412641,"-","R","NC","NC-07"
"Hudson","Richard","-","H001067",412550,"-","R","NC","NC-08"
"McHenry","Patrick T.","-",NA,NA,NA,"R","NC","NC-10"
"Meadows","Mark","-",NA,NA,NA,"R","NC","NC-11"
"Adams","Alma","+","A000370",412607,"+","D","NC","NC-12"
"Budd","Ted","-","B001305",412712,"-","R","NC","NC-13"
"Armstrong","Kelly","-","A000377",412794,"-","R","ND","ND-AL"
"Sablan","Gregorio Kilili Camacho","+",NA,NA,NA,"D","MP","MP-AL"
"Chabot","Steve","-","C000266",400071,"-","R","OH","OH-01"
"Wenstrup","Brad R.","-",NA,NA,NA,"R","OH","OH-02"
"Beatty","Joyce","+","B001281",412565,"+","D","OH","OH-03"
"Jordan","Jim","-","J000289",412226,"-","R","OH","OH-04"
"Latta","Bob","-","L000566",412256,"-","R","OH","OH-05"
"Johnson","Bill","-","J000292",412460,"-","R","OH","OH-06"
"Gibbs","Bob","-","G000563",412463,"-","R","OH","OH-07"
"Davidson","Warren","-","D000626",412675,"-","R","OH","OH-08"
"Kaptur","Marcy","+","K000009",400211,"+","D","OH","OH-09"
"Turner","Michael R.","-",NA,NA,NA,"R","OH","OH-10"
"Fudge","Marcia L.","+",NA,NA,NA,"D","OH","OH-11"
"Balderson","Troy","-","B001306",412747,"-","R","OH","OH-12"
"Ryan","Tim","?","R000577",400352,"+","D","OH","OH-13"
"Joyce","David P.","-",NA,NA,NA,"R","OH","OH-14"
"Stivers","Steve","-","S001187",412461,NA,"R","OH","OH-15"
"Gonzalez","Anthony","-","G000588",412807,"-","R","OH","OH-16"
"Hern","Kevin","-","H001082",412748,"?","R","OK","OK-01"
"Mullin","Markwayne","-","M001190",412568,"-","R","OK","OK-02"
"Lucas","Frank D.","-",NA,NA,NA,"R","OK","OK-03"
"Cole","Tom","-","C001053",400077,"-","R","OK","OK-04"
"Horn","Kendra","+",NA,NA,NA,"D","OK","OK-05"
"Bonamici","Suzanne","+","B001278",412501,"+","D","OR","OR-01"
"Walden","Greg P.","-",NA,NA,NA,"R","OR","OR-02"
"Blumenauer","Earl","+","B000574",400033,"+","D","OR","OR-03"
"DeFazio","Peter A.","+",NA,NA,NA,"D","OR","OR-04"
"Schrader","Kurt","+","S001180",412315,"+","D","OR","OR-05"
"Fitzpatrick","Brian","+","F000466",412721,"+","R","PA","PA-01"
"Boyle","Brendan","+","B001296",412652,"+","D","PA","PA-02"
"Evans","Dwight","+","E000296",412677,"+","D","PA","PA-03"
"Dean","Madeleine","+","D000631",412809,"+","D","PA","PA-04"
"Scanlon","Mary Gay","+",NA,NA,NA,"D","PA","PA-05"
"Houlahan","Chrissy","+","H001085",412810,"+","D","PA","PA-06"
"Wild","Susan","+","W000826",412751,"+","D","PA","PA-07"
"Cartwright","Matt A.","+",NA,NA,NA,"D","PA","PA-08"
"Meuser","Daniel","-","M001204",412811,"-","R","PA","PA-09"
"Perry","Scott","-","P000605",412569,"-","R","PA","PA-10"
"Smucker","Lloyd","-","S001199",412722,"-","R","PA","PA-11"
"Keller","Fred","-","K000395",412843,"-","R","PA","PA-12"
"Joyce","John","-","J000302",412812,"-","R","PA","PA-13"
"Reschenthaler","Guy","-","R000610",412813,"-","R","PA","PA-14"
"Thompson","Glenn W.","-",NA,NA,NA,"R","PA","PA-15"
"Kelly","Mike","-","K000376",412465,"-","R","PA","PA-16"
"Lamb","Conor","+","L000588",412744,"+","D","PA","PA-17"
"Doyle","Mike","+","D000482",400114,"+","D","PA","PA-18"
"González-Colón","Jenniffer","-",NA,NA,NA,"R","PR","PR-AL"
"Cicilline","David","+","C001084",412470,"+","D","RI","RI-01"
"Langevin","Jim","+","L000559",400230,"+","D","RI","RI-02"
"Cunningham","Joe","+",NA,NA,NA,"D","SC","SC-01"
"Wilson","Joe","-","W000795",400433,"-","R","SC","SC-02"
"Duncan","Jeff","-","D000615",412472,"-","R","SC","SC-03"
"Timmons","William","-","T000480",412815,"-","R","SC","SC-04"
"Norman","Ralph","-","N000190",412738,"-","R","SC","SC-05"
"Clyburn","James E.","+",NA,NA,NA,"D","SC","SC-06"
"Rice","Tom","-","R000597",412572,"-","R","SC","SC-07"
"Johnson","Dusty","-","J000301",412816,"-","R","SD","SD-AL"
"Roe","Phil","-",NA,NA,NA,"R","TN","TN-01"
"Burchett","Tim","-","B001309",412817,"-","R","TN","TN-02"
"Fleischmann","Chuck","-","F000459",412476,"-","R","TN","TN-03"
"DesJarlais","Scott","-","D000616",412477,"-","R","TN","TN-04"
"Cooper","Jim","+","C000754",400081,"+","D","TN","TN-05"
"Rose","John","-","R000612",412818,"-","R","TN","TN-06"
"Green","Mark","-","G000590",412819,"-","R","TN","TN-07"
"Kustoff","David","-","K000392",412724,"-","R","TN","TN-08"
"Cohen","Steve","+","C001068",412236,"+","D","TN","TN-09"
"Gohmert","Louie","-","G000552",400651,"-","R","TX","TX-01"
"Crenshaw","Dan","-","C001120",412820,"-","R","TX","TX-02"
"Taylor","Van","-","T000479",412821,"-","R","TX","TX-03"
"Ratcliffe","John","-",NA,NA,NA,"R","TX","TX-04"
"Gooden","Lance","-","G000589",412822,"-","R","TX","TX-05"
"Wright","Ron","-","W000827",412823,NA,"R","TX","TX-06"
"Fletcher","Lizzie","+","F000468",412824,"+","D","TX","TX-07"
"Brady","Kevin P.","-",NA,NA,NA,"R","TX","TX-08"
"Green","Al","+","G000553",400653,"+","D","TX","TX-09"
"McCaul","Michael T.","-",NA,NA,NA,"R","TX","TX-10"
"Conaway","K. Michael","-",NA,NA,NA,"R","TX","TX-11"
"Granger","Kay","-","G000377",400157,"-","R","TX","TX-12"
"Thornberry","Mac","-",NA,NA,NA,"R","TX","TX-13"
"Weber","Randy K.","-",NA,NA,NA,"R","TX","TX-14"
"Gonzalez","Vicente","+","G000581",412725,"+","D","TX","TX-15"
"Escobar","Veronica","+","E000299",412825,"+","D","TX","TX-16"
"Flores","Bill","-",NA,NA,NA,"R","TX","TX-17"
"Jackson Lee","Sheila","+","J000032",400199,"+","D","TX","TX-18"
"Arrington","Jodey","-","A000375",412726,"-","R","TX","TX-19"
"Castro","Joaquin","+","C001091",412576,"+","D","TX","TX-20"
"Roy","Chip","-","R000614",412826,"-","R","TX","TX-21"
"Olson","Pete","-",NA,NA,NA,"R","TX","TX-22"
"Hurd","Will","-",NA,NA,NA,"R","TX","TX-23"
"Marchant","Kenny E.","-",NA,NA,NA,"R","TX","TX-24"
"Williams","Roger","-","W000816",412578,"-","R","TX","TX-25"
"Burgess","Michael C.","-",NA,NA,NA,"R","TX","TX-26"
"Cloud","Michael","-","C001115",412746,"-","R","TX","TX-27"
"Cuellar","Henry","+","C001063",400657,"+","D","TX","TX-28"
"Garcia","Sylvia","+","G000587",412827,"+","D","TX","TX-29"
"Johnson","Eddie Bernice","+","J000126",400204,"+","D","TX","TX-30"
"Carter","John R.","-",NA,NA,NA,"R","TX","TX-31"
"Allred","Colin","+","A000376",412828,"+","D","TX","TX-32"
"Veasey","Marc A.","+",NA,NA,NA,"D","TX","TX-33"
"Vela","Filemon","+","V000132",412580,"+","D","TX","TX-34"
"Doggett","Lloyd A.","+",NA,NA,NA,"D","TX","TX-35"
"Babin","Brian","-","B001291",412655,"-","R","TX","TX-36"
"Bishop","Rob","-",NA,NA,NA,"R","UT","UT-01"
"Stewart","Chris","-","S001192",412581,"-","R","UT","UT-02"
"Curtis","John","-","C001114",412740,"-","R","UT","UT-03"
"McAdams","Ben","+",NA,NA,NA,"D","UT","UT-04"
"Welch","Peter F.","+",NA,NA,NA,"D","VT","VT-AL"
"Plaskett","Stacey","+",NA,NA,NA,"D","VI","VI-AL"
"Wittman","Rob","-","W000804",412255,"-","R","VA","VA-01"
"Luria","Elaine","+","L000591",412830,"+","D","VA","VA-02"
"Scott","Robert C.","+",NA,NA,NA,"D","VA","VA-03"
