"","LastName.x","LastName.y","FirstName.x","FirstName.y","State.x","Party.x","member_id","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change","Alias.y"
"147","Graham","Graham","Gwen","Gwen","FL","D","G000575",2250,0,0,0,61120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"148","Granger","Granger","Kay","Kay","TX","R","G000377",83850,0,2000,0,0,0,72350,0,0,0,0,1000,70900,0,0,2500,0,1000,"-","-","-",3,0,NA
"149","Graves","Graves","Garret","Garret","LA","R","G000577",122035,0,6000,8250,28000,0,169499,0,7250,35000,20550,2000,193801,2000,8500,64301,3700,2000,"-","-","-",3,0,NA
"150","Graves","Graves","Sam","Sam","MO","R","G000546",21000,1000,3000,2000,0,6000,16500,1000,1000,3000,0,8500,39300,0,2000,7000,0,8500,"-",NA,"-",2,0,NA
"151","Graves","Graves","Tom","Tom","GA","R","G000560",23200,0,9550,1000,0,0,33800,0,20700,3000,0,0,NA,NA,NA,NA,NA,NA,"-","-","-",3,0,NA
"152","Grayson","Grayson","Alan","Alan","FL","D","G000556",1450,0,0,0,8983,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"153","Green","Green","Al","Al","TX","D","G000553",11600,0,2500,0,0,0,24200,0,0,0,0,1000,4956,0,0,2700,0,1000,"+","+","+",3,0,NA
"154","Green","Green","Gene","Gene","TX","D","G000410",102350,1000,1000,23100,0,0,107700,0,0,41500,0,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"155","Griffith","Griffith","Morgan","Morgan","VA","R","G000568",56300,35400,42150,5000,0,0,38568,26100,32850,3500,0,250,36350,31300,33300,5500,0,250,"-","-","-",3,0,NA
"156","Grijalva","Grijalva","Raul M","Raul","AZ","D","G000551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"157","Grisham Lujan","Lujan Grisham","Michelle","Michelle","NM","D","L000580",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"158","Grothman","Grothman","Glenn","Glenn","WI","R","G000576",8000,0,500,0,0,0,22150,0,0,0,0,1000,34950,0,0,0,0,1000,"-","-","-",3,0,NA
"159","Guinta","Guinta","Frank","Frank","NH","R","G000570",32050,0,250,1000,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"160","Guthrie","Guthrie","Brett","Brett","KY","R","G000558",64750,14600,18850,8750,0,0,57500,11700,12700,8000,0,0,48050,2500,8500,4500,0,0,"-","-","-",3,0,NA
"161","Gutierrez","Gutierrez","Luis V","Luis V.","IL","D","G000535",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"162","Hahn","Hahn","Janice","Janice","CA","D","H001063",4000,0,0,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"163","Hanabusa","Hanabusa","Colleen","Colleen","HI","D","H001050",0,0,0,0,0,0,3500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"+",NA,1,0,NA
"164","Hanna","Hanna","Richard","Richard","NY","R","H001051",7100,0,0,3600,0,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"165","Hardy","Hardy","Cresent","Cresent","NV","R","H001070",2500,0,5000,2500,0,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"166","Harper","Harper","Gregg","Gregg","MS","R","H001045",136300,3000,3000,12500,0,0,60550,0,1000,8500,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"167","Harris","Harris","Andy","Andy","MD","R","H001052",38000,2500,6500,2250,0,0,20500,2000,5000,2000,250,0,12750,2000,4000,0,0,0,"-","-","-",3,0,NA
"168","Hartzler","Hartzler","Vicky","Vicky","MO","R","H001053",11350,8200,8200,1000,0,7600,9400,2000,2000,3000,0,3500,13800,1000,1000,2000,0,3500,"-","-","-",3,0,NA
"169","Hastings","Hastings","Alcee","Alcee L.","FL","D","H000324",0,0,0,0,300,0,0,0,0,0,2000,0,0,0,0,0,0,0,NA,"+",NA,1,0,NA
"170","Heck","Heck","Dennis","Denny","WA","D","H001064",3100,0,0,100,11250,5000,1000,0,0,0,8250,250,4000,0,0,0,7250,250,"+","+","+",3,0,NA
"171","Heck","Heck","Joe","Joe","NV","R","H001055",37900,2600,18000,6000,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"172","Hensarling","Hensarling","Jeb","Jeb","TX","R","H001036",95800,0,10400,15200,0,0,70000,0,0,8900,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"173","Hice","Hice","Jody","Jody","GA","R","H001071",4500,0,4350,0,0,5000,5000,0,3000,2000,2000,6900,7000,0,15967,0,0,6900,"-","-","-",3,0,NA
"174","Higgins","Higgins","Brian M","Brian M.","NY","D","H001038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"175","Hill","Hill","French","French","AR","R","H001072",94600,0,0,7460,250,0,34950,0,0,7700,750,0,45900,0,0,2000,500,0,"-","-","-",3,0,NA
"176","Himes","Himes","Jim","Jim","CT","D","H001047",6750,0,2750,6500,10700,2600,3000,0,2600,3000,5209,0,2001,0,2000,1000,7456,0,"+","+","+",3,0,NA
"177","Hinojosa","Hinojosa","Ruben","Ruben","TX","D","H000636",14500,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"178","Holding","Holding","George","George","NC","R","H001065",12350,0,0,2500,0,2600,54082,1000,1000,5500,0,22800,72950,0,0,2000,0,22800,"-","-","-",3,0,NA
"179","Honda","Honda","Mike","Mike","CA","D","H001034",3350,0,700,0,27117,3925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"180","Hoyer","Hoyer","Steny H","Steny H.","MD","D","H000874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"181","Hudson","Hudson","Richard","Richard","NC","R","H001067",52250,0,4500,10500,0,0,90900,0,3500,15200,0,1000,85700,0,7000,5500,0,1000,"-","-","-",3,0,NA
"182","Huelskamp","Huelskamp","Tim","Tim","KS","R","H001057",73550,0,0,4250,0,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"183","Huffman","Huffman","Jared","Jared","CA","D","H001068",9900,0,0,9500,22550,950,5000,120,120,5000,27849,1000,3500,0,0,2500,37033,1000,"+","+","+",3,0,NA
"184","Huizenga","Huizenga","Bill","Bill","MI","R","H001058",15150,0,0,0,0,0,17750,0,1000,0,0,0,46175,0,0,0,0,0,"-","-","-",3,0,NA
"185","Hultgren","Hultgren","Randy","Randy","IL","R","H001059",21250,1000,1000,10000,0,250,18000,1000,1000,11000,0,1000,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"186","Hunter","Hunter","Duncan D","Duncan D.","CA","R","H001048",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"-","-","-",3,0,NA
"187","Hurd","Hurd","Will","Will","TX","R","H001073",115873,0,0,2600,0,250,337089,1000,3500,20900,0,3400,461594,8200,8450,51950,0,3400,"-","-","-",3,0,NA
"188","Hurt","Hurt","Robert","Robert","VA","R","H001060",17750,10400,12050,6000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"189","Israel","Israel","Steve","Steve J.","NY","D","I000057",31900,0,0,8000,11500,22700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"190","Issa","Issa","Darrell","Darrell","CA","R","I000056",82400,1800,12650,11350,0,4250,45000,1000,2000,16100,0,1000,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"191","Jackson Lee","Jackson Lee","Sheila","Sheila","TX","D","J000032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"192","Jeffries","Jeffries","Hakeem","Hakeem S.","NY","D","J000294",0,0,0,0,200,1000,1000,0,0,0,2000,25,0,0,0,0,2250,25,"+","+","+",3,0,NA
"193","Jenkins","Jenkins","Evan","Evan","WV","R","J000297",50416,103700,205433,0,0,0,42600,28600,51200,3000,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"194","Jenkins","Jenkins","Lynn","Lynn M.","KS","R","J000290",147950,5200,16600,36500,0,3600,88700,0,13300,11000,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"195","Johnson","Johnson","Bill","Bill","OH","R","J000292",213266,78856,141519,35100,1000,3500,127950,25800,38800,40000,1000,2500,124050,53140,90870,25200,0,2500,"-","-","-",3,0,NA
"196","Johnson","Johnson","Eddie Bernice","Eddie Bernice","TX","D","J000126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"197","Johnson","Johnson","Hank","Hank","GA","D","J000288",500,0,0,0,2500,0,0,0,0,0,3500,0,0,0,0,0,500,0,"+","+","+",3,0,NA
"198","Johnson","Johnson","Sam","Sam","TX","R","J000174",46900,0,0,9600,0,0,37050,0,0,5700,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"199","Jolly","Jolly","David","David W.","FL","R","J000296",30400,0,0,0,1250,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"200","Jones","Jones","Walter B Jr","Walter B Jr.","NC","R","J000255",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"201","Jordan","Jordan","Jim","Jim","OH","R","J000289",23400,3000,6000,4000,0,0,16000,0,2000,1000,0,0,16000,0,1000,0,0,0,"-","-","-",3,0,NA
"202","Joyce","Joyce","David P","David P.","OH","R","J000295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-",3,0,NA
"203","Kaptur","Kaptur","Marcy","Marcy","OH","D","K000009",10500,0,4000,3000,1000,8000,8500,0,2000,4000,1000,0,4500,0,7500,3500,1000,0,"+","+","+",3,0,NA
"204","Katko","Katko","John","John","NY","R","K000386",14450,0,0,1000,0,0,64950,0,0,9000,250,0,122590,0,0,18552,0,0,"+","+","+",3,0,NA
"205","Keating","Keating","Bill","Bill","MA","D","K000375",5850,0,0,2500,2000,250,8250,0,0,3000,4000,100,6250,0,0,2500,1850,100,"+","+","+",3,0,NA
"206","Kelly","Kelly","Mike","Mike","PA","R","K000376",89850,45200,60150,34950,0,0,76412,37100,40850,21412,0,1500,85100,27500,34550,24000,0,1500,"-","-","-",3,0,NA
"207","Kelly","Kelly","Robin","Robin","IL","D","K000385",1750,0,0,0,1000,0,5500,0,0,0,2000,0,3000,0,0,0,0,0,"+","+","+",3,0,NA
"208","Kelly","Kelly","Trent","Trent","MS","R","K000388",0,0,0,0,0,0,27450,2700,2700,3000,0,0,29087,350,350,1000,0,0,"-","-","-",3,0,NA
"209","Kennedy","Kennedy","Joe III","Joseph P.","MA","D","K000379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,"III"
"210","Kildee","Kildee","Dan","Daniel T.","MI","D","K000380",3500,0,0,0,4235,800,500,0,0,0,3573,0,0,0,0,0,4000,0,"+","+","+",3,0,NA
"211","Kilmer","Kilmer","Derek","Derek","WA","D","K000381",7500,0,0,0,43767,4050,5950,0,0,0,38079,0,12375,0,0,0,25613,0,"+","+","+",3,0,NA
"212","Kind","Kind","Ron","Ron","WI","D","K000188",5500,0,0,1000,3500,13000,7500,0,0,1000,4775,12375,7500,0,0,3000,1800,12375,"+","+","+",3,0,NA
"213","King","King","Pete","Peter T.","NY","R","K000210",4000,0,0,2000,0,3000,8400,0,0,0,0,0,12900,0,0,2500,0,0,"-","-","-",3,0,NA
"214","King","King","Steven A","Steve A.","IA","R","K000362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-",3,0,NA
"215","Kinzinger","Kinzinger","Adam","Adam","IL","R","K000378",80600,3000,6000,16000,0,11500,67250,1000,4000,16500,0,12500,45500,0,12500,15500,0,12500,"-","-","-",3,0,NA
"216","Kirkpatrick","Kirkpatrick","Ann","Ann","AZ","D","K000368",6700,0,7500,0,7000,1000,NA,NA,NA,NA,NA,NA,3746,0,5,22,15743,3022,"+",NA,NA,1,0,NA
"217","Kline","Kline","John","John P.","MN","R","K000363",28300,48050,83000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"218","Knight","Knight","Steve","Steve","CA","R","K000387",0,0,250,0,0,0,50400,0,850,0,0,1000,NA,NA,NA,NA,NA,NA,"-","+",NA,2,1,NA
"219","Kuster","Kuster","Ann","Ann M.","NH","D","K000382",3750,0,0,0,61095,9500,5,0,0,0,42911,4600,1260,0,0,250,30532,4600,"+","+","+",3,0,NA
"220","Labrador","Labrador","Raul","Raul","ID","R","L000573",13100,0,5000,3000,1000,0,14900,250,3750,5500,2000,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"221","LaHood","LaHood","Darin","Darin","IL","R","L000585",0,0,0,0,0,0,56050,5050,7050,14700,0,33600,64600,3400,8400,7500,0,33600,"-","-","-",3,0,NA
"222","LaMalfa","LaMalfa","Doug","Doug","CA","R","L000578",42500,0,5600,12000,0,0,27550,0,0,10250,0,2250,21980,2700,2700,9630,0,2250,"-","-","-",3,0,NA
"223","Lamborn","Lamborn","Doug","Doug","CO","R","L000564",59000,9000,17500,4000,1000,0,67377,15500,38000,8500,1000,0,22791,6000,15000,1000,0,0,"-","-","-",3,0,NA
"224","Lance","Lance","Leonard","Leonard","NJ","R","L000567",30500,0,0,9500,1000,0,26200,0,0,7000,0,250,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"225","Langevin","Langevin","Jim","Jim","RI","D","L000559",800,0,0,0,1000,500,500,0,0,0,2000,0,900,0,0,0,2000,0,"+","+","+",3,0,NA
"226","Larsen","Larsen","Rick","Rick","WA","D","L000560",31000,0,0,9500,0,0,34500,0,0,14000,3000,15,27751,0,0,9000,1500,15,"+","+","+",3,0,NA
"227","Larson","Larson","John","John B.","CT","D","L000557",8600,3000,3000,6100,2700,1000,11000,0,0,3000,2500,0,0,0,0,0,1000,0,"+","+","+",3,0,NA
"228","Latta","Latta","Bob","Bob","OH","R","L000566",84000,0,2000,15000,1000,11700,78750,0,0,7500,0,3500,93825,2700,5700,6000,0,3500,"-","-","-",3,0,NA
"229","Lawrence","Lawrence","Brenda","Brenda","MI","D","L000581",1000,0,500,0,2500,0,100,0,0,0,4000,0,2500,0,500,2500,1010,0,"+","+","+",3,0,NA
"230","Lee","Lee","Barbara","Barbara J.","CA","D","L000551",5600,0,0,0,7750,0,2700,0,0,0,17098,185,3463,0,0,0,20655,185,"+","+","+",3,0,NA
"231","Levin","Levin","Sander","Sander M.","MI","D","L000263",4500,0,2000,2000,3095,1000,2000,0,0,2000,4750,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"232","Lewis","Lewis","John","John R.","GA","D","L000287",5850,250,250,0,4500,525,1500,0,0,0,2000,2633,NA,NA,NA,NA,NA,NA,"+","+","+",3,0,NA
"233","Lieu","Lieu","Ted","Ted","CA","D","L000582",5500,0,0,5500,6350,8100,0,0,0,0,7950,25,400,0,0,150,11600,25,"+","+","+",3,0,NA
"234","Lipinski","Lipinski","Daniel","Dan","IL","D","L000563",3500,0,0,0,0,0,6500,0,0,0,0,1000,27000,0,0,2500,0,1000,"+","+","+",3,0,NA
"235","LoBiondo","LoBiondo","Frank","Frank A.","NJ","R","L000554",14750,0,0,1000,8390,700,11000,0,0,5500,4500,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"236","Loebsack","Loebsack","David","Dave W.","IA","D","L000565",5750,0,0,3000,6500,9000,7250,0,2500,4500,13750,32301,8262,0,0,0,2750,32301,"+","+","+",3,0,NA
"237","Lofgren","Lofgren","Zoe","Zoe","CA","D","L000397",4000,0,0,0,2000,12400,3700,0,0,0,17100,21600,5000,0,0,0,9000,21600,"+","+","+",3,0,NA
"238","Long","Long","Billy","Billy","MO","R","L000576",44850,11500,13500,2000,0,0,45000,2500,6000,5500,0,3500,55000,2000,4000,8000,0,3500,"-","-","-",3,0,NA
"239","Loudermilk","Loudermilk","Barry","Barry","GA","R","L000583",10000,0,0,0,0,0,15250,0,0,1000,0,0,24000,0,500,1000,0,0,"-",NA,"-",2,0,NA
"240","Love","Love","Mia","Mia","UT","R","L000584",61700,1000,3000,5500,0,7481,68686,0,3000,3800,200,1195,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"241","Lowenthal","Lowenthal","Alan","Alan S.","CA","D","L000579",10000,0,0,3000,9950,1000,11000,0,1000,2000,7223,0,7000,0,2500,0,5100,0,"+","+","+",3,0,NA
"242","Lowey","Lowey","Nita M","Nita M.","NY","D","L000480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"243","Lucas","Lucas","Frank D","Frank D.","OK","R","L000491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-","-","-",3,0,NA
"244","Luetkemeyer","Luetkemeyer","Blaine","Blaine","MO","R","L000569",7250,2500,2500,4000,0,9500,6000,6400,8400,3000,0,6000,11000,0,1750,2000,0,6000,"-","-","-",3,0,NA
"245","Lujan","Luján","Ben Ray","Ben Ray","NM","D","L000570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"246","Lummis","Lummis","Cynthia","Cynthia M.","WY","R","L000571",91050,22500,29750,9000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"247","Lynch","Lynch","Stephen","Stephen F.","MA","D","L000562",4000,0,700,1000,0,1000,2500,0,0,0,0,2500,1000,0,2500,0,0,2500,"+","+","+",3,0,NA
"248","MacArthur","MacArthur","Thomas","Tom","NJ","R","M001193",5000,0,0,0,0,0,26600,0,0,15900,1500,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"249","Maloney","Maloney","Carolyn","Carolyn B.","NY","D","M000087",12400,0,0,0,5850,1000,10805,0,0,5,2500,1500,11400,0,2000,0,3550,1500,"+","+","+",3,0,NA
"250","Maloney","Maloney","Sean Patrick","Sean Patrick","NY","D","M001185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"251","Marchant","Marchant","Kenny","Kenny E.","TX","R","M001158",56400,0,1000,8000,0,0,86450,0,0,15700,0,0,71650,1000,2000,16000,0,0,"-","-","-",3,0,NA
"252","Marino","Marino","Tom","Tom","PA","R","M001179",34000,500,500,8000,0,0,17750,2950,2950,4250,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"253","Massie","Massie","Thomas","Thomas","KY","R","M001184",21500,6600,9600,0,0,0,14000,1000,1000,0,0,0,10200,1000,2000,0,0,0,"-","-","-",3,0,NA
"254","Matsui","Matsui","Doris","Doris O.","CA","D","M001163",13500,0,0,4000,2000,1000,14500,0,0,1000,6200,5000,17000,0,1000,3000,4537,5000,"+","+","+",3,0,NA
"255","McCarthy","McCarthy","Kevin","Kevin","CA","R","M001165",362000,1500,8000,58300,0,2000,355050,15700,30700,24800,1000,54150,484650,68600,184500,69300,5250,54150,"-","-","-",3,0,NA
"256","McCaul","McCaul","Michael","Michael T.","TX","R","M001157",82050,1000,3600,19500,0,0,111150,0,2000,17100,0,1250,126700,0,0,12200,0,1250,"-","-","-",3,0,NA
"257","McClintock","McClintock","Tom","Tom","CA","R","M001177",54450,0,6000,4000,0,2500,20900,0,0,4000,0,1000,14750,0,5500,2000,0,1000,"-","-","-",3,0,NA
"258","McCollum","McCollum","Betty","Betty","MN","D","M001143",0,0,0,0,1077,0,0,0,0,0,10000,261,1,0,0,0,6250,261,"+","+","+",3,0,NA
"259","McDermott","McDermott","Jim","Jim","WA","D","M000404",0,0,0,0,7250,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"260","McGovern","McGovern","James P","Jim","MA","D","M000312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"261","McHenry","McHenry","Patrick","Patrick T.","NC","R","M001156",34500,0,0,5500,0,0,69250,0,0,6500,0,20200,79000,0,0,10000,0,20200,"-","-","-",3,0,NA
"262","McKinley","McKinley","David","David","WV","R","M001180",84450,116850,193150,20250,0,0,80000,37700,70150,17000,0,0,85175,23000,30500,15000,0,0,"-","-","-",3,0,NA
"263","McNerney","McNerney","Jerry","Jerry","CA","D","M001166",6500,0,0,2000,34000,21150,4500,0,0,2000,46457,12700,6900,0,0,3500,9950,12700,"+","+","+",3,0,NA
"264","McSally","McSally","Martha","Martha","AZ","R","M001197",49200,6100,7600,1000,400,500,77161,0,13325,1500,125,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"265","Meadows","Meadows","Mark","Mark","NC","R","M001187",6000,0,0,0,0,0,12800,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"-","-","-",3,0,NA
"266","Meehan","Meehan","Patrick","Patrick","PA","R","M001181",64400,0,0,25600,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","+",NA,2,1,NA
"267","Meeks","Meeks","Gregory","Gregory W.","NY","D","M001137",9100,0,0,2000,0,0,2500,0,0,0,0,0,2500,0,0,0,0,0,"+","+","+",3,0,NA
"268","Meng","Meng","Grace","Grace","NY","D","M001188",0,0,0,0,0,1000,1500,0,0,0,1000,1200,5,0,0,0,1001,1200,"+","+","+",3,0,NA
"269","Messer","Messer","Luke","Luke","IN","R","M001189",31500,3000,8550,0,0,3000,43400,0,31200,2000,0,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"270","Mica","Mica","John L","John L.","FL","R","M000689",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"271","Miller","Miller","Candice S","Candice S.","MI","R","M001150",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"272","Miller","Miller","Jeff","Jeff","FL","R","M001144",3000,0,0,0,7600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"273","Moolenaar","Moolenaar","John","John","MI","R","M001194",29300,0,0,2000,0,1000,10050,0,0,0,0,0,12750,0,0,1000,0,0,"-","-","-",3,0,NA
"274","Mooney","Mooney","Alex","Alex","WV","R","M001195",38667,61780,113385,500,700,0,35200,20726,31126,9000,0,250,25850,15800,17800,4500,0,250,"-","-","-",3,0,NA
"275","Moore","Moore","Gwen","Gwen","WI","D","M001160",0,0,0,0,1000,0,0,0,0,0,2000,0,0,0,0,0,2000,0,"+","+","+",3,0,NA
"276","Moulton","Moulton","Seth","Seth","MA","D","M001196",9650,0,500,0,21800,250,5500,0,0,1000,13100,0,4100,0,0,4000,1300,0,"+","+","+",3,0,NA
"277","Mullin","Mullin","Markwayne","Markwayne","OK","R","M001190",148950,2500,6000,14600,0,0,227850,10000,11000,36800,0,1500,183350,2700,4700,36000,0,1500,"-","-","-",3,0,NA
"278","Mulvaney","Mulvaney","Mick","Mick","SC","R","M001182",23250,0,0,1750,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"279","Murphy","Murphy","Patrick","Patrick","FL","D","M001191",11400,0,0,0,25910,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,1,0,NA
"280","Murphy","Murphy","Tim","Tim","PA","R","M001151",111000,38600,47900,43500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"281","Nadler","Nadler","Jerrold","Jerrold L.","NY","D","N000002",5700,0,0,0,0,0,5650,0,0,0,7550,0,5400,0,0,0,1510,0,"+","+","+",3,0,NA
"282","Napolitano","Napolitano","Grace","Grace","CA","D","N000179",6500,0,0,6500,2000,0,5000,0,0,5000,2651,2500,3500,0,0,3500,3000,2500,"+","+","+",3,0,NA
"283","Neal","Neal","Richard E","Richard E.","MA","D","N000015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"284","Neugebauer","Neugebauer","Randy","Randy","TX","R","N000182",94900,0,2600,1000,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"285","Newhouse","Newhouse","Dan","Dan","WA","R","N000189",6800,0,0,1800,2250,0,30400,4000,8000,5150,0,0,20000,0,1000,1500,0,0,"-","-","-",3,0,NA
"286","Noem","Noem","Kristi","Kristi","SD","R","N000184",64550,2000,3000,9000,0,32050,77150,250,2750,0,500,0,NA,NA,NA,NA,NA,NA,"-","-",NA,2,0,NA
"287","Nolan","Nolan","Rick","Rick","MN","D","N000127",500,1000,12800,0,10451,3000,1570,0,18941,1041,14667,5146,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"288","Norcross","Norcross","Don","Donald W.","NJ","D","N000188",4500,0,0,1000,0,1000,21700,0,2700,7000,1000,0,26210,0,0,7500,500,0,"+","+","+",3,0,NA
"289","Nugent","Nugent","Richard","Rich","FL","R","N000185",13950,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,NA,1,0,NA
"290","Nunes","Nunes","Devin","Devin G.","CA","R","N000181",70500,0,1000,6000,0,3600,73500,2000,3000,8500,0,1500,124552,2700,5300,5250,0,1500,"-","-","-",3,0,NA
"291","O'Rourke","O'Rourke","Beto","Beto","TX","D","O000170",19500,0,0,0,1000,0,250,0,0,250,0,0,NA,NA,NA,NA,NA,NA,"+","+",NA,2,0,NA
"292","Olson","Olson","Pete","Pete","TX","R","O000168",248000,1000,3600,35500,0,0,221200,1000,2000,49800,0,0,206328,0,6000,44500,0,0,"-","-","-",3,0,NA
"293","Palazzo","Palazzo","Steven","Steven","MS","R","P000601",57850,0,0,4000,3600,0,41200,0,1000,3500,0,0,29450,0,1000,3000,0,0,"-","-","-",3,0,NA
"294","Pallone","Pallone","Frank Jr","Frank J.","NJ","D","P000034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
"295","Palmer","Palmer","Gary","Gary","AL","R","P000609",21500,5000,5250,0,0,0,17300,13300,13300,0,0,0,17500,6000,6000,0,0,0,"-","-","-",3,0,NA
"296","Pascrell","Pascrell","Bill Jr","Bill","NJ","D","P000096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+","+","+",3,0,NA
