"last_name","first_name","name","party","state","member_id","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","District","Vote_count","Vote_change","amount.oil.113","amount.coal.113","amount.mining.113","amount.gas.113","amount.env.113","amount.alt_en.113","amount.oil.114","amount.coal.114","amount.mining.114","amount.gas.114","amount.env.114","amount.alt_en.114","amount.oil.115","amount.coal.115","amount.mining.115","amount.gas.115","amount.env.115","amount.alt_en.115","amount.oil.116","amount.coal.116","amount.mining.116","amount.gas.116","amount.env.116","amount.alt_en.116","amount.oil.117","amount.coal.117","amount.mining.117","amount.gas.117","amount.env.117","amount.alt_en.117"
"Radel","Trey","trey radel","R","FL","R000596",NA,NA,NA,NA,NA,NA,19,0,0,18500,1000,1000,0,0,0,15700,0,0,0,0,3700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hastings","Alcee L.","alcee l hastings","D","FL","H000324","+",NA,"+","+",NA,NA,20,3,0,NA,NA,NA,NA,NA,NA,0,0,0,0,300,0,0,0,0,0,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deutch","Ted","ted deutch","D","FL",NA,"+","+","+","+","+","+",21,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frankel","Lois","lois frankel","D","FL","F000462","+","+","+","+","+","+",22,6,0,9500,0,0,0,10557,250,5100,0,0,0,2000,0,1000,0,5,0,3910,0,2,0,0,0,2503,1,5170,0,0,0,2020,55
"Wasserman Schultz","Debbie","debbie wasserman schultz","D","FL","W000797",NA,"+","+","+","+","+",23,5,0,4250,0,0,0,7100,0,1000,0,0,1000,31350,5750,1050,0,0,0,22330,8400,3000,0,0,0,6537,0,395,0,0,250,8275,3185
"Wilson","Frederica","frederica wilson,frederica s wilson","D","FL","W000808","+","+","+","+","+","+",24,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Díaz-Balart","Mario","mario d az balart","R","FL",NA,"-","-",NA,"-","-","-",25,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garcia","Joe","joe garcia","D","FL","G000573","+",NA,NA,NA,NA,NA,26,1,0,8000,0,0,0,12375,1750,7650,0,0,1000,29913,4250,2000,0,0,0,9288,3700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ros-Lehtinen","Ileana","ileana ros lehtinen","R","FL",NA,"-","+",NA,"+",NA,NA,27,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kingston","Jack","jack kingston","R","GA","K000220","-",NA,NA,NA,NA,NA,1,1,0,17500,0,5000,3500,4500,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bishop","Sanford D.","sanford d bishop","D","GA","B000490","+","-","+","-","+","+",2,6,4,5500,0,2000,2000,0,0,9000,1000,6000,0,0,0,14000,3000,7000,0,0,1000,11750,2500,8500,1000,0,1000,17500,1250,9250,5000,0,1000
"Westmoreland","Lynn A.","lynn a westmoreland","R","GA","W000796","-","-",NA,NA,NA,NA,3,2,0,9000,0,3500,4000,0,0,17050,0,500,5000,0,0,5750,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Johnson","Hank","hank johnson","D","GA",NA,"+","+","+","+","+","+",4,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lewis","John R.","john r lewis,john lewis","D","GA","L000287","+","+","+","+","+",NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Price","Tom","tom price","R","GA","P000591","-","-",NA,NA,NA,NA,6,2,0,37500,0,3000,4000,0,0,35250,0,3000,2000,0,0,22000,0,0,2500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woodall","Rob","rob woodall","R","GA","W000810","-","-","-","-","-",NA,7,5,0,16000,0,1500,2000,0,0,16750,0,0,5250,0,0,18500,0,0,2000,0,0,16500,0,500,2500,1000,0,1500,0,0,0,0,0
"Scott","Austin","austin scott","R","GA","S001189","-","-","-","-","-","-",8,6,0,10500,0,2250,2500,0,0,5500,0,1750,2000,1000,0,3000,0,3000,0,3885,0,3500,0,500,0,0,0,5000,0,3000,5000,0,0
"Collins","Doug","doug collins","R","GA","C001093","-","-","-","-","-",NA,9,5,0,20250,500,3500,2250,0,0,17250,0,500,2000,0,0,30250,0,0,1600,0,0,35000,0,500,2500,0,0,NA,NA,NA,NA,NA,NA
"Broun","Paul C.","paul c broun","R","GA","B001262","-",NA,NA,NA,NA,NA,10,1,0,12200,1500,4700,2500,0,0,NA,NA,NA,NA,NA,NA,-400,0,2700,0,0,0,NA,NA,NA,NA,NA,NA,11200,0,0,0,0,0
"Gingrey","Phil","phil gingrey","R","GA","G000550","-",NA,NA,NA,NA,NA,11,1,0,49500,0,3500,8500,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barrow","John","john barrow","D","GA","B001252","-",NA,NA,NA,NA,NA,12,1,0,107400,8500,17000,22900,1000,0,132650,6000,14500,20000,1500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scott","David","david scott","D","GA","S001157","+","+","+","+","+","+",13,6,0,3000,0,0,1000,0,0,2500,0,0,0,0,0,9250,0,250,2000,0,0,1000,0,0,0,0,0,6000,0,0,5000,0,0
"Graves","Tom","tom graves","R","GA","G000560","-","-","-","-","-",NA,14,5,0,38750,0,15000,3500,0,0,23200,0,9550,1000,0,0,33800,0,20700,3000,0,0,36000,0,18250,4500,0,0,26100,0,0,1500,0,0
"Hanabusa","Colleen","colleen hanabusa","D","HI","H001050","+",NA,"+",NA,NA,NA,1,2,0,2500,0,0,0,500,2500,NA,NA,NA,NA,NA,NA,3500,0,0,0,0,2000,0,0,0,0,500,0,NA,NA,NA,NA,NA,NA
"Gabbard","Tulsi","tulsi gabbard","D","HI","G000571","+","+","+","+","+",NA,2,5,0,3250,0,0,0,6435,14030,2250,0,0,1000,2500,17150,6800,0,0,0,5000,8195,4193,0,15,10,16,939,NA,NA,NA,NA,NA,NA
"Labrador","Raul","raul labrador,raul r labrador","R","ID","L000573","-","-","-","-",NA,NA,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Simpson","Mike","mike simpson","R","ID",NA,"-","-","-","-","-","-",2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rush","Bobby L.","bobby l rush","D","IL","R000515",NA,"+","+","+","+","+",1,5,0,3500,0,0,3500,0,1000,8500,0,0,1000,2000,5000,15500,0,0,12000,4000,1000,13000,0,1000,5000,1000,1000,27000,0,0,17500,2000,1000
"Kelly","Robin","robin kelly,robin l kelly","D","IL","K000385","+","+","+","+","+","+",2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lipinski","Dan","dan lipinski","D","IL",NA,"+","+","+","+","+",NA,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gutierrez","Luis V.","luis v gutierrez","D","IL","G000535","+","+","+","+",NA,NA,4,4,0,0,0,1000,0,0,1500,0,0,0,0,1000,0,0,0,0,0,2117,0,0,0,0,0,0,2500,0,0,0,0,0,-2500
"Quigley","Mike","mike quigley","D","IL","Q000023","+","+","+","+","+","+",5,6,0,2250,0,0,0,0,0,1500,0,0,0,5100,0,3700,0,0,0,3900,0,0,0,0,0,6525,0,0,0,0,0,3000,0
"Roskam","Peter J.","peter j roskam","R","IL","R000580","-","-","-","+",NA,NA,6,4,1,42250,2000,7500,15250,0,2500,73550,1000,3000,17750,0,0,35350,0,0,5450,0,1000,131500,5200,12700,9000,0,1500,NA,NA,NA,NA,NA,NA
"Davis","Danny K.","danny k davis","D","IL","D000096","+","+","+","+","+","+",7,6,0,3500,0,0,1500,0,1000,2000,0,500,0,1000,1000,2000,0,0,0,1000,6000,3000,0,0,0,0,0,1000,0,0,0,0,8000
"Duckworth","Tammy","tammy duckworth","D","IL","D000622","+","+",NA,NA,NA,NA,8,2,0,5750,250,250,1000,40693,3000,3750,-250,0,2500,27599,13850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schakowsky","Jan","jan schakowsky","D","IL",NA,"+","+","+","+","+","+",9,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schneider","Brad","brad schneider","D","IL",NA,"+",NA,"+","+","+","+",10,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foster","Bill","bill foster","D","IL","F000454","+","+","+","+","+","+",11,6,0,6750,0,0,3500,23500,1000,15850,0,0,3100,29050,8950,19350,0,0,5400,28519,4200,7950,0,0,0,16500,9610,6340,0,0,0,14977,7120
"Enyart","Bill","bill enyart","D","IL",NA,"+",NA,NA,NA,NA,NA,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis","Rodney","rodney davis","R","IL","D000619","-","-","-","-","-","-",13,6,0,33000,18200,26200,0,0,0,85690,61665,110312,12500,0,17600,61750,5100,8100,15500,0,15000,73500,12600,16600,14500,0,31500,95332,9100,10639,30837,1000,25506
"Hultgren","Randy","randy hultgren","R","IL","H001059","-","-","-","-",NA,NA,14,4,0,8750,2000,4500,3000,0,1500,21250,1000,1000,10000,0,250,18000,1000,1000,11000,0,0,25200,1500,1500,7500,0,1000,NA,NA,NA,NA,NA,NA
"Shimkus","John M.","john m shimkus,john shimkus","R","IL","S000364","-","-","-","-","-",NA,15,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kinzinger","Adam","adam kinzinger","R","IL","K000378","-","-","-","-","-","-",16,6,0,54199,3500,6000,3000,0,9750,80600,3000,6000,16000,0,11500,67250,1000,4000,16500,0,21200,45500,0,12500,15500,0,12500,68932,0,5009,21002,0,11800
"Bustos","Cheri","cheri bustos","D","IL","B001286","+","+","+","+","+","+",17,6,0,1000,0,0,0,11976,1450,3000,0,0,2000,21946,16000,12140,0,0,4000,16006,17205,7870,3,3,1020,5929,19258,9739,40,65,2113,18575,52630
"Schock","Aaron","aaron schock","R","IL","S001179","-",NA,NA,NA,NA,NA,18,1,0,51250,5750,9750,6000,0,15450,34700,2000,4000,9500,0,11000,0,0,0,0,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visclosky","Peter J.","peter j visclosky","D","IN","V000108","+","+","+","+","+",NA,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Walorski","Jackie","jackie walorski","R","IN","W000813","-","-","-","-","-","-",2,6,0,41000,9500,18250,0,0,2500,39840,5600,10600,0,0,9500,28500,2000,4000,0,0,11000,63450,5500,10500,4500,1000,7000,61786,67,1069,5599,1000,3002
"Stutzman","Marlin","marlin stutzman,marlin a stutzman","R","IN","S001188","-","-",NA,NA,NA,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rokita","Todd","todd rokita","R","IN","R000592","-","-","-","-",NA,NA,4,4,0,10600,11500,14500,0,0,1000,29500,22150,61600,0,0,0,26600,500,2500,0,0,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brooks","Susan W.","susan w brooks","R","IN","B001284","-","-","-","-","-",NA,5,5,0,8500,750,3250,0,250,1000,40750,0,1000,1500,0,4000,35200,1750,2750,1000,2000,5000,21300,3000,9000,0,0,7500,1000,0,0,0,0,0
"Messer","Luke","luke messer","R","IN","M001189","-","-","-","-",NA,NA,6,4,0,30500,0,7750,0,0,2000,31500,3000,8550,0,0,3000,43400,0,31200,2000,0,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carson","Andre","andre carson,andr carson","D","IN","C001072","+","+","+","+","+","+",7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bucshon","Larry","larry bucshon","R","IN","B001275","-","-","-","-","-","-",8,6,0,26400,48800,59300,0,0,2000,20300,51050,98500,0,0,500,17000,19000,22500,0,0,5000,16200,21900,23900,1000,0,250,18505,13800,24800,3500,0,0
"Young","Todd","todd young","R","IN","Y000064","-","-",NA,NA,NA,NA,9,2,0,19700,18650,29900,3250,0,0,37950,14050,22750,8050,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Braley","Bruce","bruce braley,bruce l braley","D","IA","B001259","+",NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loebsack","Dave W.","dave w loebsack","D","IA",NA,"+","+","+","+","+",NA,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Latham","Tom","tom latham","R","IA","L000111","-",NA,NA,NA,NA,NA,3,1,0,38250,0,0,2250,0,23000,3000,1044,1599,2000,0,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King","Steve A.","steve a king,steve king","R","IA","K000362","-","-","-","-","-",NA,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huelskamp","Tim","tim huelskamp","R","KS","H001057","-","-",NA,NA,NA,NA,1,2,0,64700,0,0,4500,0,9750,73550,0,0,4250,0,5200,52400,0,0,1000,0,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jenkins","Lynn M.","lynn m jenkins,lynn jenkins","R","KS","J000290","-","-","-","-",NA,NA,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoder","Kevin","kevin yoder","R","KS","Y000063","-","-","-","-",NA,NA,3,4,0,64700,3000,16000,2900,0,10500,68700,1000,13400,2000,0,23900,49375,0,13800,2000,0,44800,95350,16900,27700,6000,0,51400,NA,NA,NA,NA,NA,NA
"Pompeo","Mike","mike pompeo","R","KS","P000602","-","-",NA,NA,NA,NA,4,2,0,320550,3000,8000,14500,0,7500,376850,10500,14000,31500,0,11400,194325,1000,2000,25500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whitfield","Ed","ed whitfield","R","KY","W000413","-","-",NA,NA,NA,NA,1,2,0,131250,75375,127900,16500,0,7500,136500,31000,37000,23500,0,13000,55100,9500,16000,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guthrie","Brett","brett guthrie","R","KY","G000558","-","-","-","-","-","-",2,6,0,44250,31499,37499,2000,0,0,64750,14600,18850,8750,0,0,57500,11700,12700,8000,0,0,48050,2500,8500,4500,0,0,51005,0,3500,9500,0,0
"Yarmuth","John","john yarmuth,john a yarmuth","D","KY","Y000062","+","+","+","+","+","+",3,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Massie","Thomas","thomas massie","R","KY","M001184","-","-","-","-","-","-",4,6,0,32451,19500,28000,1750,0,0,21500,6600,9600,0,0,0,14000,1000,1000,0,0,0,10200,1000,2000,0,0,0,12950,500,1500,1000,0,2750
"Rogers","Harold","harold rogers","R","KY","R000395","-","-","-","-","-","-",5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barr","Garland","garland barr","R","KY",NA,"-","-","-","-","-",NA,6,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scalise","Steve","steve scalise","R","LA","S001176","-","-",NA,"-","-","-",1,5,0,135575,0,4000,12500,4000,0,217274,9500,16500,21100,7200,0,285300,6400,13900,26750,0,0,383665,0,13225,22700,0,1435,528542,1910,6306,47245,2960,14111
"Richmond","Cedric L","cedric l richmond","D","LA","R000588","+","+","+",NA,"+",NA,2,4,0,25750,0,500,0,750,0,50100,0,0,2000,4600,0,62500,0,0,5000,3700,0,79200,0,0,15000,1000,0,139800,0,1000,31000,5000,1000
"Boustany","Charles","charles boustany,charles w boustany","R","LA","B001255","-","-",NA,NA,NA,NA,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fleming","John","john fleming","R","LA","F000456","-","-",NA,NA,NA,NA,4,2,0,220500,0,0,2500,13200,0,188000,0,11100,7000,16400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassidy","Bill","bill cassidy","R","LA","C001075","-",NA,NA,NA,NA,NA,6,1,0,123350,0,2000,10500,7800,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pingree","Chellie M.","chellie m pingree,chellie pingree","D","ME","P000597","+","+","+","+","+","+",1,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michaud","Michael H.","michael h michaud","D","ME","M001149","+",NA,NA,NA,NA,NA,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harris","Andy","andy harris","R","MD","H001052","-","-","-","-","-","-",1,6,0,41760,8000,19000,1000,6900,0,38000,2500,6500,2250,0,0,20500,2000,5000,2000,250,0,12750,2000,4000,0,0,0,12308,250,1250,0,0,0
"Ruppersberger","C.A. Dutch","c a dutch ruppersberger","D","MD","R000576","+","+","+","+","+","+",2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sarbanes","John P.","john p sarbanes","D","MD","S001168","+","+","+","+","+","+",3,6,0,2000,0,0,0,0,5250,3000,0,0,0,0,5000,2100,0,0,0,100,2700,1003,0,0,0,0,2700,1009,0,0,0,0,0
"Edwards","Donna","donna edwards,donna f edwards","D","MD","E000290","+","+",NA,NA,NA,NA,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hoyer","Steny H.","steny h hoyer","D","MD","H000874","+","+","+",NA,"+","+",5,5,0,39500,0,1000,18500,8750,4500,49750,0,-1000,15500,5000,9000,40500,0,0,15000,2288,4500,43750,0,0,9500,4500,2000,54500,0,2500,11000,2125,9000
"Delaney","John K.","john k delaney","D","MD","D000620","+","+","+","+",NA,NA,6,4,0,0,0,0,0,19245,1750,2500,0,0,2500,5000,0,3500,0,0,3500,11438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cummings","Elijah E.","elijah e cummings","D","MD","C000984","+","+","+","+","+",NA,7,5,0,3750,0,0,0,500,0,6850,0,0,0,3850,0,5000,0,0,0,5052,0,3088,0,0,0,2050,0,1098,0,0,1000,1205,0
"Van Hollen","Chris","chris van hollen","D","MD","V000128","+","+",NA,NA,NA,NA,8,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neal","Richard E.","richard e neal","D","MA","N000015","+","+","+","+","+","+",1,6,0,8500,0,0,4500,0,250,8500,0,0,4000,0,1000,7000,0,0,3500,1000,0,39900,0,0,13500,1500,7500,39600,0,0,11250,2000,68175
"McGovern","Jim","jim mcgovern","D","MA",NA,"+","+","+","+","+","+",2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tsongas","Niki","niki tsongas","D","MA","T000465","+","+","+","+",NA,NA,3,4,0,1500,0,0,1000,10250,2500,0,0,0,0,5000,1000,4700,0,0,0,9058,2000,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Kennedy","Joseph P.","joseph p kennedy","D","MA","K000110","+","+","+","+","+",NA,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kennedy","Joseph P.","joseph p kennedy","D","MA","K000379","+","+","+","+","+",NA,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tierney","John F.","john f tierney","D","MA","T000266","+",NA,NA,NA,NA,NA,6,1,0,5750,0,0,5000,8143,250,5200,0,0,5200,5250,250,-5200,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capuano","Michael E.","michael e capuano","D","MA","C001037","+","+","+","+",NA,NA,7,4,0,26000,0,2000,5000,250,0,31250,0,0,11400,0,0,21500,0,1000,2100,1500,0,22325,0,2700,10100,750,0,NA,NA,NA,NA,NA,NA
"Lynch","Stephen F.","stephen f lynch","D","MA","L000562","+","+","+","+","+","+",8,6,0,NA,NA,NA,NA,NA,NA,4000,0,700,1000,0,1000,2500,0,0,0,0,4200,1000,0,2500,0,0,2500,1500,0,0,0,0,0
"Keating","Bill","bill keating","D","MA",NA,"+","+","+","+","+","+",9,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benishek","Dan","dan benishek","R","MI","B001271","-","-",NA,NA,NA,NA,1,2,0,118550,3000,33000,1500,1500,1500,113950,3000,18599,1500,2000,0,20525,2000,4000,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huizenga","Bill","bill huizenga","R","MI","H001058","-","-","-","-","-","-",2,6,0,12100,0,1250,0,0,0,15150,0,0,0,0,0,17750,0,1000,0,0,0,46175,0,0,0,0,0,55026,0,0,6099,0,0
"Amash","Justin","justin amash","R","MI",NA,"-","-","-","-","-",NA,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Camp","Dave","dave camp","R","MI","C000071","-",NA,NA,NA,NA,NA,4,1,0,245500,14000,35000,61800,0,28500,96499,9000,15500,23499,0,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kildee","Daniel T.","daniel t kildee","D","MI","K000380","+","+","+","+","+","+",5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upton","Fred","fred upton","R","MI","U000031","-","-","-","+","+","+",6,6,1,224300,44633,103208,50500,0,9500,245800,24500,34000,55700,0,4500,229000,4000,8000,52600,0,6000,151250,2500,7500,49300,0,0,103188,67,144,29470,0,2026
"Walberg","Tim","tim walberg","R","MI","W000798","-","-","-","-","-","-",7,6,0,23450,10000,21000,0,0,0,58750,13000,20000,1000,0,0,49450,12500,28500,1000,0,0,69400,1000,17500,4500,0,0,62476,0,9400,9599,1525,0
"Rogers","Mike J.","mike j rogers","R","MI","R000572","-",NA,NA,NA,NA,NA,8,1,0,50600,2500,6500,2500,0,0,32200,1000,1000,3500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levin","Sander M.","sander m levin","D","MI","L000263","+","+","+","+",NA,NA,9,4,0,10250,0,2000,2000,7250,4000,4500,0,2000,2000,3095,1000,2000,0,0,2000,4750,2000,-1000,0,0,-1000,0,0,NA,NA,NA,NA,NA,NA
"Miller","Candice S.","candice s miller","R","MI","M001150","-","-",NA,NA,NA,NA,10,2,0,8000,0,2500,0,0,0,30500,0,0,4000,0,13500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bentivolio","Kerry L.","kerry l bentivolio","R","MI","B001280","-",NA,NA,NA,NA,NA,11,1,0,13750,1000,1000,0,0,0,4500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dingell","John D.","john d dingell","D","MI","D000355","+",NA,NA,NA,NA,NA,12,1,0,16000,0,-1000,2000,250,550,7500,0,0,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
