"","LastName","FirstName","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","Party","State","District","Vote_count","Vote_change"
"702","Bowman","Jamaal",NA,NA,NA,NA,NA,"+","D","NY","NY-16",1,0
"703","Jones","Mondaire",NA,NA,NA,NA,NA,"+","D","NY","NY-17",1,0
"704","Jacobs","Chris",NA,NA,NA,NA,NA,"-","R","NY","NY-27",1,0
"705","Ross","Deborah",NA,NA,NA,NA,NA,"+","D","NC","NC-02",1,0
"706","Murphy","Greg",NA,NA,NA,NA,NA,"-","R","NC","NC-03",1,0
"707","Manning","Kathy",NA,NA,NA,NA,NA,"+","D","NC","NC-06",1,0
"708","Bishop","Dan",NA,NA,NA,NA,NA,"-","R","NC","NC-09",1,0
"709","Cawthorn","Madison",NA,NA,NA,NA,NA,"-","R","NC","NC-11",1,0
"710","Bice","Stephanie",NA,NA,NA,NA,NA,"-","R","OK","OK-05",1,0
"711","Bentz","Cliff",NA,NA,NA,NA,NA,"-","R","OR","OR-02",1,0
"712","Mace","Nancy",NA,NA,NA,NA,NA,"+","R","SC","SC-01",1,0
"713","Harshbarger","Diana",NA,NA,NA,NA,NA,"-","R","TN","TN-01",1,0
"714","Fallon","Pat",NA,NA,NA,NA,NA,"-","R","TX","TX-04",1,0
"715","Pfluger","August",NA,NA,NA,NA,NA,"-","R","TX","TX-11",1,0
"716","Jackson","Ronny",NA,NA,NA,NA,NA,"-","R","TX","TX-13",1,0
"717","Nehls","Troy",NA,NA,NA,NA,NA,"-","R","TX","TX-22",1,0
"718","Gonzales","Tony",NA,NA,NA,NA,NA,"-","R","TX","TX-23",1,0
"719","Van Duyne","Beth",NA,NA,NA,NA,NA,"-","R","TX","TX-24",1,0
"720","Moore","Blake",NA,NA,NA,NA,NA,"-","R","UT","UT-01",1,0
"721","Owens","Burgess",NA,NA,NA,NA,NA,"-","R","UT","UT-04",1,0
"722","Good","Robert",NA,NA,NA,NA,NA,"-","R","VA","VA-05",1,0
"723","Strickland","Marilyn",NA,NA,NA,NA,NA,"+","D","WA","WA-10",1,0
"724","Fitzgerald","Scott",NA,NA,NA,NA,NA,"-","R","WI","WI-05",1,0
"725","Tiffany","Tom",NA,NA,NA,NA,NA,"-","R","WI","WI-07",1,0
