"","LastName","FirstName","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alternative_en","Party","StateAbbreviation"
"167","Frelinghuysen","Rodney",23000,2000,5000,5500,0,0,"R","NJ"
"168","Pallone","Frank Jr",22900,0,500,13400,4090,12000,"D","NJ"
"169","Beyer","Don",22850,0,0,11600,5218,8400,"D","VA"
"170","Amash","Justin",22650,0,0,0,0,0,"R","MI"
"171","Duffy","Sean P",22495,0,1000,2000,0,2500,"R","WI"
"172","Grothman","Glenn",22150,0,0,0,0,500,"R","WI"
"173","Price","Tom",22000,0,0,2500,0,0,"R","GA"
"174","Roby","Martha",21950,7500,7500,2000,0,0,"R","AL"
"175","Blum","Rod",21900,0,0,900,0,14050,"R","IA"
"176","Rogers","Hal",21800,21400,38400,0,0,0,"R","KY"
"177","Norcross","Don",21700,0,2700,7000,1000,0,"D","NJ"
"178","Capuano","Michael E",21500,0,1000,2100,1500,0,"D","MA"
"179","McClintock","Tom",20900,0,0,4000,0,0,"R","CA"
"180","Benishek","Dan",20525,2000,4000,0,1000,0,"R","MI"
"181","Harris","Andy",20500,2000,5000,2000,250,0,"R","MD"
"182","Bishop","Mike",20400,0,1000,0,0,0,"R","MI"
"183","Welch","Peter",20052,0,0,7000,4650,8525,"D","VT"
"184","Foster","Bill",19350,0,0,5400,28519,4200,"D","IL"
"185","Foxx","Virginia",19250,2000,4500,5000,0,0,"R","NC"
"186","Aderholt","Robert B",19200,8000,9000,0,0,0,"R","AL"
"187","Pittenger","Robert",18900,0,0,13900,0,0,"R","NC"
"188","Lummis","Cynthia",18700,13500,20500,1000,0,0,"R","WY"
"189","Mulvaney","Mick",18500,0,0,0,0,0,"R","SC"
"190","Woodall","Rob",18500,0,0,2000,0,0,"R","GA"
"191","Ribble","Reid",18400,0,0,1000,0,0,"R","WI"
"192","Cook","Paul",18000,0,2750,13500,0,5400,"R","CA"
"193","Crowley","Joseph",18000,0,500,6000,3500,1285,"D","NY"
"194","Hultgren","Randy",18000,1000,1000,11000,0,0,"R","IL"
"195","Thompson","Bennie G",18000,0,0,10000,500,0,"D","MS"
"196","Huizenga","Bill",17750,0,1000,0,0,0,"R","MI"
"197","Marino","Tom",17750,2950,2950,4250,0,10000,"R","PA"
"198","Palmer","Gary",17300,13300,13300,0,0,0,"R","AL"
"199","Fleischmann","Chuck",17200,3000,5000,4500,0,0,"R","TN"
"200","Bucshon","Larry",17000,19000,22500,0,0,5000,"R","IN"
"201","Carter","John",16700,0,0,0,0,0,"R","TX"
"202","Graves","Sam",16500,1000,1000,3000,0,7000,"R","MO"
"203","Womack","Steve",16500,0,0,3000,0,0,"R","AR"
"204","Jordan","Jim",16000,0,2000,1000,0,0,"R","OH"
