"","LastName","FirstName","Party","District","State","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change","member_id","Alias"
"334","Barletta","Lou","R","PA-11","PA","-","-",NA,2,0,"B001269",NA
"335","Rothfus","Keith J.","R","PA-12","PA","-","-",NA,2,0,"R000598",NA
"336","Boyle","Brendan","D","PA-13","PA","+","+","+",3,0,"B001296",NA
"337","Doyle","Mike","D","PA-14","PA","+","+","+",3,0,"D000482",NA
"338","Dent","Charlie","R","PA-15","PA","-","-",NA,2,0,"D000604",NA
"339","Pitts","Joe","R","PA-16","PA","-",NA,NA,1,0,"P000373",NA
"340","Cartwright","Matt A.","D","PA-17","PA","+","+","+",3,0,"C001090",NA
"341","Murphy","Tim","R","PA-18","PA","-","-",NA,2,0,"M001151",NA
"342","Cicilline","David","D","RI-01","RI","+","+","+",3,0,"C001084",NA
"343","Langevin","Jim","D","RI-02","RI","+","+","+",3,0,"L000559",NA
"344","Sanford","Mark","R","SC-01","SC","-","+",NA,2,1,"S000051",NA
"345","Wilson","Joe","R","SC-02","SC","-","-","-",3,0,"W000795",NA
"346","Duncan","Jeff","R","SC-03","SC","-","-","-",3,0,"D000615",NA
"347","Gowdy","Trey","R","SC-04","SC","-","-",NA,2,0,"G000566",NA
"348","Mulvaney","Mick","R","SC-05","SC","-",NA,NA,1,0,"M001182",NA
"349","Clyburn","James E.","D","SC-06","SC","+",NA,"+",2,0,"C000537",NA
"350","Rice","Tom","R","SC-07","SC","-","-","-",3,0,"R000597",NA
"351","Noem","Kristi","R","SD-AL","SD","-","-",NA,2,0,"N000184",NA
"352","Roe","Phil","R","TN-01","TN","-","-","-",3,0,"R000582",NA
"353","Duncan","Jr.","R","TN-02","TN","-","-",NA,2,0,"D000533","Jr."
"354","Fleischmann","Chuck","R","TN-03","TN","-","-","-",3,0,"F000459",NA
"355","DesJarlais","Scott","R","TN-04","TN","-","-","-",3,0,"D000616",NA
"356","Cooper","Jim","D","TN-05","TN","+","+","+",3,0,"C000754",NA
"357","Black","Diane","R","TN-06","TN","-","-",NA,2,0,"B001273",NA
"358","Blackburn","Marsha","R","TN-07","TN","-","-",NA,2,0,"B001243",NA
"359","Fincher","Stephen","R","TN-08","TN","-",NA,NA,1,0,"F000458",NA
"360","Cohen","Steve","D","TN-09","TN","+","+","+",3,0,"C001068",NA
"361","Gohmert","Louie","R","TX-01","TX","-","-","-",3,0,"G000552",NA
"362","Poe","Ted","R","TX-02","TX",NA,NA,NA,0,0,"P000592",NA
"363","Johnson","Sam","R","TX-03","TX","-","-",NA,2,0,"J000174",NA
"364","Ratcliffe","John","R","TX-04","TX","-","-","-",3,0,"R000601",NA
"365","Hensarling","Jeb","R","TX-05","TX","-","-",NA,2,0,"H001036",NA
"366","Barton","Joe","R","TX-06","TX","-","-",NA,2,0,"B000213",NA
"367","Culberson","John A.","R","TX-07","TX","-","-",NA,2,0,"C001048",NA
"368","Brady","Kevin P.","R","TX-08","TX",NA,"-","-",2,0,"B000755",NA
"369","Green","Al","D","TX-09","TX","+","+","+",3,0,"G000553",NA
"370","McCaul","Michael T.","R","TX-10","TX","-","-","-",3,0,"M001157",NA
"371","Conaway","K. Michael","R","TX-11","TX","-","-","-",3,0,"C001062",NA
"372","Granger","Kay","R","TX-12","TX","-","-","-",3,0,"G000377",NA
"373","Thornberry","Mac","R","TX-13","TX","-","-","-",3,0,"T000238",NA
"374","Weber","Randy K.","R","TX-14","TX","-","-","-",3,0,"W000814",NA
"375","Hinojosa","Ruben","D","TX-15","TX","+",NA,NA,1,0,"H000636",NA
"376","O'Rourke","Beto","D","TX-16","TX","+","+",NA,2,0,"O000170",NA
"377","Flores","Bill","R","TX-17","TX","-","-","-",3,0,"F000461",NA
"378","Jackson Lee","Sheila","D","TX-18","TX","+","+","+",3,0,"J000032",NA
"379","Neugebauer","Randy","R","TX-19","TX","-",NA,NA,1,0,"N000182",NA
"380","Castro","Joaquin","D","TX-20","TX","+","+","+",3,0,"C001091",NA
"381","Smith","Lamar S.","R","TX-21","TX","-","-",NA,2,0,"S000583",NA
"382","Olson","Pete","R","TX-22","TX","-","-","-",3,0,"O000168",NA
"383","Hurd","Will","R","TX-23","TX","-","-","-",3,0,"H001073",NA
"384","Marchant","Kenny E.","R","TX-24","TX","-","-","-",3,0,"M001158",NA
"385","Williams","Roger","R","TX-25","TX","-","-","-",3,0,"W000816",NA
"386","Burgess","Michael C.","R","TX-26","TX","-","-","-",3,0,"B001248",NA
"387","Farenthold","Blake","R","TX-27","TX","-","-",NA,2,0,"F000460",NA
"388","Cuellar","Henry","D","TX-28","TX","-","-","+",3,1,"C001063",NA
"389","Green","Gene","D","TX-29","TX","+","+",NA,2,0,"G000410",NA
"390","Johnson","Eddie Bernice","D","TX-30","TX","+","+","+",3,0,"J000126",NA
"391","Carter","John R.","R","TX-31","TX","-","-","-",3,0,"C001051",NA
"392","Sessions","Pete","R","TX-32","TX","-","-",NA,2,0,"S000250",NA
"393","Veasey","Marc A.","D","TX-33","TX","-","+","+",3,1,"V000131",NA
"394","Vela","Filemon","D","TX-34","TX","+","+","+",3,0,"V000132",NA
"395","Doggett","Lloyd A.","D","TX-35","TX","+","+","+",3,0,"D000399",NA
"396","Babin","Brian","R","TX-36","TX","-","-","-",3,0,"B001291",NA
"397","Bishop","Rob","R","UT-01","UT","-","-","-",3,0,"B001250",NA
"398","Stewart","Chris","R","UT-02","UT","-","-","-",3,0,"S001192",NA
"399","Chaffetz","Jason","R","UT-03","UT","-",NA,NA,1,0,"C001076",NA
"400","Love","Mia","R","UT-04","UT","-","-",NA,2,0,"L000584",NA
"401","Welch","Peter F.","D","VT-AL","VT","+","+","+",3,0,"W000800",NA
"402","Wittman","Rob","R","VA-01","VA","-","-","-",3,0,"W000804",NA
"403","Rigell","Scott","R","VA-02","VA","-",NA,NA,1,0,"R000589",NA
"404","Scott","Robert C.","D","VA-03","VA","+","+","+",3,0,"S000185",NA
"405","Forbes","J. Randy","R","VA-04","VA","-",NA,NA,1,0,"F000445",NA
"406","Hurt","Robert","R","VA-05","VA","-",NA,NA,1,0,"H001060",NA
"407","Goodlatte","Bob","R","VA-06","VA","-","-",NA,2,0,"G000289",NA
"408","Brat","David Alan","R","VA-07","VA","-","-",NA,2,0,"B001290",NA
"409","Beyer","Donald","D","VA-08","VA","+","+","+",3,0,"B001292",NA
"410","Griffith","Morgan","R","VA-09","VA","-","-","-",3,0,"G000568",NA
"411","Comstock","Barbara","R","VA-10","VA","-","-",NA,2,0,"C001105",NA
"412","Connolly","Gerald E.","D","VA-11","VA","+","+","+",3,0,"C001078",NA
"413","DelBene","Suzan K.","D","WA-01","WA","+","+","+",3,0,"D000617",NA
"414","Larsen","Rick","D","WA-02","WA","+","+","+",3,0,"L000560",NA
"415","Herrera-Beutler","Jaime","R","WA-03","WA","-","-",NA,2,0,"H001056",NA
"416","Newhouse","Dan","R","WA-04","WA","-","-","-",3,0,"N000189",NA
"417","McMorris Rodgers","Cathy","R","WA-05","WA","-","-","-",3,0,"M001159",NA
"418","Kilmer","Derek","D","WA-06","WA","+","+","+",3,0,"K000381",NA
"419","McDermott","Jim","D","WA-07","WA","+",NA,NA,1,0,"M000404",NA
"420","Reichert","Dave","R","WA-08","WA","-","+",NA,2,1,"R000578",NA
"421","Smith","Adam","D","WA-09","WA","+","+","+",3,0,"S000510",NA
"422","Heck","Denny","D","WA-10","WA","+","+","+",3,0,"H001064",NA
"423","McKinley","David","R","WV-01","WV","-","-","-",3,0,"M001180",NA
"424","Mooney","Alex","R","WV-02","WV","-","-","-",3,0,"M001195",NA
"425","Jenkins","Evan","R","WV-03","WV","-","-",NA,2,0,"J000297",NA
"426","Ryan","Paul","R","WI-01","WI",NA,NA,NA,0,0,"R000570",NA
"427","Pocan","Mark","D","WI-02","WI","+","+","+",3,0,"P000607",NA
"428","Kind","Ron","D","WI-03","WI","+","+","+",3,0,"K000188",NA
"429","Moore","Gwen","D","WI-04","WI","+","+","+",3,0,"M001160",NA
"430","Sensenbrenner","James F.","R","WI-05","WI","-","-","-",3,0,"S000244","Jr."
"431","Grothman","Glenn","R","WI-06","WI","-","-","-",3,0,"G000576",NA
"432","Duffy","Sean","R","WI-07","WI","-","-","-",3,0,"D000614",NA
"433","Ribble","Reid","R","WI-08","WI","-",NA,NA,1,0,"R000587",NA
"434","Lummis","Cynthia M.","R","WY-AL","WY","-",NA,NA,1,0,"L000571",NA
"435","O'Halleran","Tom","D","AZ-01","AZ",NA,"+","+",2,0,"O000171",NA
"436","Biggs","Andy","R","AZ-05","AZ",NA,"-","-",2,0,"B001302",NA
"437","Khanna","Ro","D","CA-17","CA",NA,"+","+",2,0,"K000389",NA
"438","Panetta","Jimmy","D","CA-20","CA",NA,"+","+",2,0,"P000613",NA
"439","Carbajal","Salud","D","CA-24","CA",NA,"+","+",2,0,"C001112",NA
"440","Gomez","Jimmy","D","CA-34","CA",NA,"+","+",2,0,"G000585",NA
"441","Barragán","Nanette","D","CA-44","CA",NA,"+","+",2,0,"B001300",NA
"442","Correa","J.","D","CA-46","CA",NA,"+","+",2,0,"C001110",NA
"443","Blunt Rochester","Lisa","D","DE-AL","DE",NA,"+","+",2,0,"B001303",NA
"444","Gaetz","Matt","R","FL-01","FL",NA,"-","-",2,0,"G000578",NA
"445","Dunn","Neal","R","FL-02","FL",NA,"-","-",2,0,"D000628",NA
"446","Rutherford","John","R","FL-04","FL",NA,"-","-",2,0,"R000609",NA
"447","Lawson","Al","D","FL-05","FL",NA,NA,"+",1,0,"L000586","Jr."
"448","Murphy","Stephanie","D","FL-07","FL",NA,"+","+",2,0,"M001202",NA
"449","Soto","Darren","D","FL-09","FL",NA,"+","+",2,0,"S001200",NA
"450","Demings","Val","D","FL-10","FL",NA,"+","+",2,0,"D000627",NA
"451","Crist","Charlie","D","FL-13","FL",NA,"+","+",2,0,"C001111",NA
"452","Mast","Brian","R","FL-18","FL",NA,"+","+",2,0,"M001199",NA
"453","Rooney","Francis","R","FL-19","FL",NA,NA,"+",1,0,"R000607",NA
"454","Ferguson","A. Drew","R","GA-03","GA",NA,"-","-",2,0,"F000465",NA
"455","Handel","Karen","R","GA-06","GA",NA,"-",NA,1,0,"H001078",NA
"456","Hanabusa","Colleen","D","HI-01","HI",NA,"+",NA,1,0,"H001050",NA
"457","Krishnamoorthi","Raja","D","IL-08","IL",NA,"+","+",2,0,"K000391",NA
"458","Schneider","Brad","D","IL-10","IL",NA,"+","+",2,0,"S001190",NA
"459","Banks","Jim","R","IN-03","IN",NA,"-","-",2,0,"B001299",NA
"460","Hollingsworth","Trey","R","IN-09","IN",NA,"-","-",2,0,"H001074",NA
"461","Marshall","Roger","R","KS-01","KS",NA,"-","-",2,0,"M001198",NA
"462","Estes","Ron","R","KS-04","KS",NA,"-","-",2,0,"E000298",NA
"463","Comer","James","R","KY-01","KY",NA,"-","-",2,0,"C001108",NA
"464","Higgins","Clay","R","LA-03","LA",NA,"-","-",2,0,"H001077",NA
"465","Johnson","Mike","R","LA-04","LA",NA,"-","-",2,0,"J000299",NA
"466","Brown","Anthony","D","MD-04","MD",NA,"+","+",2,0,"B001304",NA
"467","Raskin","Jamie","D","MD-08","MD",NA,"+","+",2,0,"R000606",NA
"468","Bergman","Jack","R","MI-01","MI",NA,"-","-",2,0,"B001301",NA
"469","Mitchell","Paul","R","MI-10","MI",NA,"-","-",2,0,"M001201",NA
"470","Lewis","Jason","R","MN-02","MN",NA,"-",NA,1,0,"L000587",NA
"471","Gianforte","Greg","R","MT-AL","MT",NA,"-","-",2,0,"G000584",NA
"472","Bacon","Don","R","NE-02","NE",NA,"-","-",2,0,"B001298",NA
"473","Rosen","Jacky","D","NV-03","NV",NA,"+",NA,1,0,"R000608",NA
"474","Kihuen","Ruben","D","NV-04","NV",NA,"+",NA,1,0,"K000390",NA
"475","Shea-Porter","Carol","D","NH-01","NH",NA,"+",NA,1,0,"S001170",NA
"476","Gottheimer","Josh","D","NJ-05","NJ",NA,"+","+",2,0,"G000583",NA
"477","Suozzi","Thomas","D","NY-03","NY",NA,"+","+",2,0,"S001201",NA
"478","Espaillat","Adriano","D","NY-13","NY",NA,"+","+",2,0,"E000297",NA
"479","Faso","John","R","NY-19","NY",NA,"+",NA,1,0,"F000464",NA
"480","Tenney","Claudia","R","NY-22","NY",NA,"-",NA,1,0,"T000478",NA
"481","Budd","Ted","R","NC-13","NC",NA,"-","-",2,0,"B001305",NA
"482","Evans","Dwight","D","PA-02","PA",NA,"+","+",2,0,"E000296",NA
"483","Fitzpatrick","Brian","R","PA-08","PA",NA,"+","+",2,0,"F000466",NA
"484","Smucker","Lloyd","R","PA-16","PA",NA,"-","-",2,0,"S001199",NA
"485","Norman","Ralph","R","SC-05","SC",NA,"-","-",2,0,"N000190",NA
"486","Kustoff","David","R","TN-08","TN",NA,"-","-",2,0,"K000392",NA
"487","Gonzalez","Vicente","D","TX-15","TX",NA,"-","+",2,1,"G000581",NA
"488","Arrington","Jodey","R","TX-19","TX",NA,"-","-",2,0,"A000375",NA
"489","Taylor","Scott","R","VA-02","VA",NA,"-",NA,1,0,"T000477",NA
"490","McEachin","A. Donald","D","VA-04","VA",NA,NA,"+",1,0,"M001200",NA
"491","Garrett","Thomas","R","VA-05","VA",NA,NA,NA,0,0,"G000580","Jr."
"492","Jayapal","Pramila","D","WA-07","WA",NA,"+","+",2,0,"J000298",NA
"493","Gallagher","Mike","R","WI-08","WI",NA,"-","-",2,0,"G000579",NA
"494","Cheney","Liz","R","WY-AL","WY",NA,"-","-",2,0,"C001109",NA
"495","Radewagen","Amata Coleman","R","AS-AL","AS",NA,NA,"-",1,0,"R000600",NA
"496","Lesko","Debbie","R","AZ-08","AZ",NA,NA,"-",1,0,"L000589",NA
"497","Stanton","Greg","D","AZ-09","AZ",NA,NA,"+",1,0,"S001211",NA
"498","Harder","Josh","D","CA-10","CA",NA,NA,"+",1,0,"H001090",NA
"499","Cox","TJ","D","CA-21","CA",NA,NA,"+",1,0,"C001124",NA
"500","Hill","Katie","D","CA-25","CA",NA,NA,"+",1,0,"H001087",NA
"501","Cisneros","Gilbert","D","CA-39","CA",NA,NA,"+",1,0,"C001123","Jr."
"502","Porter","Katie","D","CA-45","CA",NA,NA,"+",1,0,"P000618",NA
"503","Rouda","Harley","D","CA-48","CA",NA,NA,"+",1,0,"R000616",NA
"504","Levin","Mike","D","CA-49","CA",NA,NA,"+",1,0,"L000593",NA
"505","Neguse","Joe","D","CO-02","CO",NA,NA,"+",1,0,"N000191",NA
"506","Crow","Jason","D","CO-06","CO",NA,NA,"+",1,0,"C001121",NA
"507","Hayes","Jahana","D","CT-05","CT",NA,NA,"+",1,0,"H001081",NA
"508","Norton","Eleanor Holmes","D","DC-AL","DC",NA,NA,"+",1,0,"N000147",NA
"509","Waltz","Michael","R","FL-06","FL",NA,NA,"+",1,0,"W000823",NA
"510","Spano","Ross","R","FL-15","FL",NA,NA,"-",1,0,"S001210",NA
"511","Steube","Greg","R","FL-17","FL",NA,NA,"-",1,0,"S001214",NA
"512","Mucarsel-Powell","Debbie","D","FL-26","FL",NA,NA,"+",1,0,"M001207","Debbie"
"513","Shalala","Donna","D","FL-27","FL",NA,NA,"+",1,0,"S001206",NA
"514","McBath","Lucy","D","GA-06","GA",NA,NA,"+",1,0,"M001208",NA
"515","San Nicolas","Michael","D","GU-AL","GU",NA,NA,"+",1,0,"S001204",NA
"516","Case","Ed","D","HI-01","HI",NA,NA,"+",1,0,"C001055",NA
"517","Fulcher","Russ","R","ID-01","ID",NA,NA,"-",1,0,"F000469",NA
"518","García","Jesús","D","IL-04","IL",NA,NA,"+",1,0,"G000586",NA
"519","Casten","Sean","D","IL-06","IL",NA,NA,"+",1,0,"C001117",NA
"520","Underwood","Lauren","D","IL-14","IL",NA,NA,"+",1,0,"U000040",NA
"521","Baird","James","R","IN-04","IN",NA,NA,"-",1,0,"B001307",NA
"522","Pence","Greg","R","IN-06","IN",NA,NA,"-",1,0,"P000615",NA
"523","Finkenauer","Abby","D","IA-01","IA",NA,NA,"+",1,0,"F000467",NA
"524","Axne","Cynthia","D","IA-03","IA",NA,NA,"+",1,0,"A000378",NA
"525","Watkins","Steven","R","KS-02","KS",NA,NA,"-",1,0,"W000824",NA
"526","Davids","Sharice","D","KS-03","KS",NA,NA,"+",1,0,"D000629",NA
"527","Golden","Jared","D","ME-02","ME",NA,NA,"+",1,0,"G000592",NA
"528","Trone","David","D","MD-06","MD",NA,NA,"+",1,0,"T000483",NA
"529","Trahan","Lori","D","MA-03","MA",NA,NA,"+",1,0,"T000482",NA
"530","Pressley","Ayanna","D","MA-07","MA",NA,NA,"+",1,0,"P000617",NA
"531","Slotkin","Elissa","D","MI-08","MI",NA,NA,"+",1,0,"S001208",NA
"532","Levin","Andy","D","MI-09","MI",NA,NA,"+",1,0,"L000592",NA
"533","Stevens","Haley","D","MI-11","MI",NA,NA,"+",1,0,"S001215",NA
"534","Tlaib","Rashida","D","MI-13","MI",NA,NA,"+",1,0,"T000481",NA
"535","Hagedorn","Jim","R","MN-01","MN",NA,NA,"-",1,0,"H001088",NA
"536","Craig","Angie","D","MN-02","MN",NA,NA,"+",1,0,"C001119",NA
"537","Phillips","Dean","D","MN-03","MN",NA,NA,"+",1,0,"P000616",NA
"538","Omar","Ilhan","D","MN-05","MN",NA,NA,"+",1,0,"O000173",NA
"539","Stauber","Pete","R","MN-08","MN",NA,NA,"-",1,0,"S001212",NA
"540","Guest","Michael","R","MS-03","MS",NA,NA,"-",1,0,"G000591",NA
"541","Lee","Susie","D","NV-03","NV",NA,NA,"+",1,0,"L000590",NA
"542","Horsford","Steven A.","D","NV-04","NV",NA,NA,"+",1,0,"H001066",NA
"543","Pappas","Chris","D","NH-01","NH",NA,NA,"+",1,0,"P000614",NA
"544","Van Drew","Jefferson","R","NJ-02","NJ",NA,NA,"+",1,0,"V000133",NA
"545","Kim","Andy","D","NJ-03","NJ",NA,NA,"+",1,0,"K000394",NA
"546","Malinowski","Tom","D","NJ-07","NJ",NA,NA,"+",1,0,"M001203",NA
"547","Sherrill","Mikie","D","NJ-11","NJ",NA,NA,"+",1,0,"S001207",NA
"548","Haaland","Debra","D","NM-01","NM",NA,NA,"+",1,0,"H001080",NA
"549","Torres Small","Xochitl","D","NM-02","NM",NA,NA,"+",1,0,"T000484",NA
"550","Rose","Max","D","NY-11","NY",NA,NA,"+",1,0,"R000613",NA
"551","Ocasio-Cortez","Alexandria","D","NY-14","NY",NA,NA,"+",1,0,"O000172","Alexandria"
"552","Delgado","Antonio","D","NY-19","NY",NA,NA,"+",1,0,"D000630",NA
"553","Brindisi","Anthony","D","NY-22","NY",NA,NA,"+",1,0,"B001308",NA
"554","Morelle","Joe","D","NY-25","NY",NA,NA,"+",1,0,"M001206",NA
"555","Armstrong","Kelly","R","ND-AL","ND",NA,NA,"-",1,0,"A000377",NA
"556","Sablan","Gregorio Kilili Camacho","D","MP-AL","MP",NA,NA,"+",1,0,"S001177",NA
"557","Balderson","Troy","R","OH-12","OH",NA,NA,"-",1,0,"B001306",NA
"558","Gonzalez","Anthony","R","OH-16","OH",NA,NA,"-",1,0,"G000588",NA
"559","Hern","Kevin","R","OK-01","OK",NA,NA,"-",1,0,"H001082",NA
"560","Horn","Kendra","D","OK-05","OK",NA,NA,"+",1,0,"H001083",NA
"561","Dean","Madeleine","D","PA-04","PA",NA,NA,"+",1,0,"D000631",NA
"562","Scanlon","Mary Gay","D","PA-05","PA",NA,NA,"+",1,0,"S001205",NA
"563","Houlahan","Chrissy","D","PA-06","PA",NA,NA,"+",1,0,"H001085",NA
"564","Wild","Susan","D","PA-07","PA",NA,NA,"+",1,0,"W000826",NA
"565","Meuser","Daniel","R","PA-09","PA",NA,NA,"-",1,0,"M001204",NA
"566","Keller","Fred","R","PA-12","PA",NA,NA,"-",1,0,"K000395",NA
"567","Joyce","John","R","PA-13","PA",NA,NA,"-",1,0,"J000302",NA
"568","Reschenthaler","Guy","R","PA-14","PA",NA,NA,"-",1,0,"R000610",NA
"569","Lamb","Conor","D","PA-17","PA",NA,NA,"+",1,0,"L000588",NA
"570","González-Colón","Jenniffer","R","PR-AL","PR",NA,NA,"-",1,0,"G000582",NA
"571","Cunningham","Joe","D","SC-01","SC",NA,NA,"+",1,0,"C001122",NA
"572","Timmons","William","R","SC-04","SC",NA,NA,"-",1,0,"T000480",NA
"573","Johnson","Dusty","R","SD-AL","SD",NA,NA,"-",1,0,"J000301",NA
"574","Burchett","Tim","R","TN-02","TN",NA,NA,"-",1,0,"B001309",NA
"575","Rose","John","R","TN-06","TN",NA,NA,"-",1,0,"R000612",NA
"576","Green","Mark","R","TN-07","TN",NA,NA,"-",1,0,"G000590",NA
"577","Crenshaw","Dan","R","TX-02","TX",NA,NA,"-",1,0,"C001120",NA
"578","Taylor","Van","R","TX-03","TX",NA,NA,"-",1,0,"T000479",NA
"579","Gooden","Lance","R","TX-05","TX",NA,NA,"-",1,0,"G000589",NA
"580","Wright","Ron","R","TX-06","TX",NA,NA,"-",1,0,"W000827",NA
"581","Fletcher","Lizzie","D","TX-07","TX",NA,NA,"+",1,0,"F000468",NA
"582","Escobar","Veronica","D","TX-16","TX",NA,NA,"+",1,0,"E000299",NA
"583","Roy","Chip","R","TX-21","TX",NA,NA,"-",1,0,"R000614",NA
"584","Cloud","Michael","R","TX-27","TX",NA,NA,"-",1,0,"C001115",NA
"585","Garcia","Sylvia","D","TX-29","TX",NA,NA,"+",1,0,"G000587",NA
"586","Allred","Colin","D","TX-32","TX",NA,NA,"+",1,0,"A000376",NA
"587","Curtis","John","R","UT-03","UT",NA,NA,"-",1,0,"C001114",NA
"588","McAdams","Ben","D","UT-04","UT",NA,NA,"+",1,0,"M001209",NA
"589","Plaskett","Stacey","D","VI-AL","VI",NA,NA,"+",1,0,"P000610",NA
"590","Luria","Elaine","D","VA-02","VA",NA,NA,"+",1,0,"L000591",NA
"591","Riggleman","Denver","R","VA-05","VA",NA,NA,"-",1,0,"R000611",NA
"592","Cline","Ben","R","VA-06","VA",NA,NA,"-",1,0,"C001118",NA
"593","Spanberger","Abigail","D","VA-07","VA",NA,NA,"+",1,0,"S001209",NA
"594","Wexton","Jennifer","D","VA-10","VA",NA,NA,"+",1,0,"W000825",NA
"595","Schrier","Kim","D","WA-08","WA",NA,NA,"+",1,0,"S001216",NA
"596","Miller","Carol","R","WV-03","WV",NA,NA,"-",1,0,"M001205",NA
"597","Steil","Bryan","R","WI-01","WI",NA,NA,"-",1,0,"S001213",NA
