"","LastName","FirstName","Party","District","State","Vote.114","Vote.115","Vote.116","Vote_count","Vote_change"
"415","Herrera-Beutler","Jaime","R","WA-03","WA","-","-",NA,2,0
"416","Newhouse","Dan","R","WA-04","WA","-","-","-",3,0
"417","McMorris Rodgers","Cathy","R","WA-05","WA","-","-","-",3,0
"418","Kilmer","Derek","D","WA-06","WA","+","+","+",3,0
"419","McDermott","Jim","D","WA-07","WA","+",NA,NA,1,0
"420","Reichert","Dave","R","WA-08","WA","-","+",NA,2,1
"421","Smith","Adam","D","WA-09","WA","+","+","+",3,0
"422","Heck","Denny","D","WA-10","WA","+","+","+",3,0
"423","McKinley","David","R","WV-01","WV","-","-","-",3,0
"424","Mooney","Alex","R","WV-02","WV","-","-","-",3,0
"425","Jenkins","Evan","R","WV-03","WV","-","-",NA,2,0
"426","Ryan","Paul","R","WI-01","WI",NA,NA,NA,0,0
"427","Pocan","Mark","D","WI-02","WI","+","+","+",3,0
"428","Kind","Ron","D","WI-03","WI","+","+","+",3,0
"429","Moore","Gwen","D","WI-04","WI","+","+","+",3,0
"430","Sensenbrenner","James F.","R","WI-05","WI","-","-","-",3,0
"431","Grothman","Glenn","R","WI-06","WI","-","-","-",3,0
"432","Duffy","Sean","R","WI-07","WI","-","-","-",3,0
"433","Ribble","Reid","R","WI-08","WI","-",NA,NA,1,0
"434","Lummis","Cynthia M.","R","WY-AL","WY","-",NA,NA,1,0
"435","O'Halleran","Tom","D","AZ-01","AZ",NA,"+","+",2,0
"436","Biggs","Andy","R","AZ-05","AZ",NA,"-","-",2,0
"437","Khanna","Ro","D","CA-17","CA",NA,"+","+",2,0
"438","Panetta","Jimmy","D","CA-20","CA",NA,"+","+",2,0
"439","Carbajal","Salud","D","CA-24","CA",NA,"+","+",2,0
"440","Gomez","Jimmy","D","CA-34","CA",NA,"+","+",2,0
"441","Barragán","Nanette","D","CA-44","CA",NA,"+","+",2,0
"442","Correa","J.","D","CA-46","CA",NA,"+","+",2,0
"443","Blunt Rochester","Lisa","D","DE-AL","DE",NA,"+","+",2,0
"444","Gaetz","Matt","R","FL-01","FL",NA,"-","-",2,0
"445","Dunn","Neal","R","FL-02","FL",NA,"-","-",2,0
"446","Rutherford","John","R","FL-04","FL",NA,"-","-",2,0
"447","Lawson","Al","D","FL-05","FL",NA,NA,"+",1,0
"448","Murphy","Stephanie","D","FL-07","FL",NA,"+","+",2,0
"449","Soto","Darren","D","FL-09","FL",NA,"+","+",2,0
"450","Demings","Val","D","FL-10","FL",NA,"+","+",2,0
"451","Crist","Charlie","D","FL-13","FL",NA,"+","+",2,0
"452","Mast","Brian","R","FL-18","FL",NA,"+","+",2,0
"453","Rooney","Francis","R","FL-19","FL",NA,NA,"+",1,0
"454","Ferguson","A. Drew","R","GA-03","GA",NA,"-","-",2,0
"455","Handel","Karen","R","GA-06","GA",NA,"-",NA,1,0
"456","Hanabusa","Colleen","D","HI-01","HI",NA,"+",NA,1,0
"457","Krishnamoorthi","Raja","D","IL-08","IL",NA,"+","+",2,0
"458","Schneider","Brad","D","IL-10","IL",NA,"+","+",2,0
"459","Banks","Jim","R","IN-03","IN",NA,"-","-",2,0
"460","Hollingsworth","Trey","R","IN-09","IN",NA,"-","-",2,0
"461","Marshall","Roger","R","KS-01","KS",NA,"-","-",2,0
"462","Estes","Ron","R","KS-04","KS",NA,"-","-",2,0
"463","Comer","James","R","KY-01","KY",NA,"-","-",2,0
"464","Higgins","Clay","R","LA-03","LA",NA,"-","-",2,0
"465","Johnson","Mike","R","LA-04","LA",NA,"-","-",2,0
"466","Brown","Anthony","D","MD-04","MD",NA,"+","+",2,0
"467","Raskin","Jamie","D","MD-08","MD",NA,"+","+",2,0
"468","Bergman","Jack","R","MI-01","MI",NA,"-","-",2,0
"469","Mitchell","Paul","R","MI-10","MI",NA,"-","-",2,0
"470","Lewis","Jason","R","MN-02","MN",NA,"-",NA,1,0
"471","Gianforte","Greg","R","MT-AL","MT",NA,"-","-",2,0
"472","Bacon","Don","R","NE-02","NE",NA,"-","-",2,0
"473","Rosen","Jacky","D","NV-03","NV",NA,"+",NA,1,0
"474","Kihuen","Ruben","D","NV-04","NV",NA,"+",NA,1,0
"475","Shea-Porter","Carol","D","NH-01","NH",NA,"+",NA,1,0
"476","Gottheimer","Josh","D","NJ-05","NJ",NA,"+","+",2,0
"477","Suozzi","Thomas","D","NY-03","NY",NA,"+","+",2,0
"478","Espaillat","Adriano","D","NY-13","NY",NA,"+","+",2,0
"479","Faso","John","R","NY-19","NY",NA,"+",NA,1,0
"480","Tenney","Claudia","R","NY-22","NY",NA,"-",NA,1,0
"481","Budd","Ted","R","NC-13","NC",NA,"-","-",2,0
"482","Evans","Dwight","D","PA-02","PA",NA,"+","+",2,0
"483","Fitzpatrick","Brian","R","PA-08","PA",NA,"+","+",2,0
"484","Smucker","Lloyd","R","PA-16","PA",NA,"-","-",2,0
"485","Norman","Ralph","R","SC-05","SC",NA,"-","-",2,0
"486","Kustoff","David","R","TN-08","TN",NA,"-","-",2,0
"487","Gonzalez","Vicente","D","TX-15","TX",NA,"-","+",2,1
"488","Arrington","Jodey","R","TX-19","TX",NA,"-","-",2,0
"489","Taylor","Scott","R","VA-02","VA",NA,"-",NA,1,0
"490","McEachin","A. Donald","D","VA-04","VA",NA,NA,"+",1,0
"491","Garrett","Thomas","R","VA-05","VA",NA,NA,NA,0,0
"492","Jayapal","Pramila","D","WA-07","WA",NA,"+","+",2,0
"493","Gallagher","Mike","R","WI-08","WI",NA,"-","-",2,0
"494","Cheney","Liz","R","WY-AL","WY",NA,"-","-",2,0
"495","Radewagen","Amata Coleman","R","AS-AL","AS",NA,NA,"-",1,0
"496","Lesko","Debbie","R","AZ-08","AZ",NA,NA,"-",1,0
"497","Stanton","Greg","D","AZ-09","AZ",NA,NA,"+",1,0
"498","Harder","Josh","D","CA-10","CA",NA,NA,"+",1,0
"499","Cox","TJ","D","CA-21","CA",NA,NA,"+",1,0
"500","Hill","Katie","D","CA-25","CA",NA,NA,"+",1,0
"501","Cisneros","Gilbert","D","CA-39","CA",NA,NA,"+",1,0
"502","Porter","Katie","D","CA-45","CA",NA,NA,"+",1,0
"503","Rouda","Harley","D","CA-48","CA",NA,NA,"+",1,0
"504","Levin","Mike","D","CA-49","CA",NA,NA,"+",1,0
"505","Neguse","Joe","D","CO-02","CO",NA,NA,"+",1,0
"506","Crow","Jason","D","CO-06","CO",NA,NA,"+",1,0
"507","Hayes","Jahana","D","CT-05","CT",NA,NA,"+",1,0
"508","Norton","Eleanor Holmes","D","DC-AL","DC",NA,NA,"+",1,0
"509","Waltz","Michael","R","FL-06","FL",NA,NA,"+",1,0
"510","Spano","Ross","R","FL-15","FL",NA,NA,"-",1,0
"511","Steube","Greg","R","FL-17","FL",NA,NA,"-",1,0
"512","Mucarsel-Powell","Debbie","D","FL-26","FL",NA,NA,"+",1,0
"513","Shalala","Donna","D","FL-27","FL",NA,NA,"+",1,0
"514","McBath","Lucy","D","GA-06","GA",NA,NA,"+",1,0
"515","San Nicolas","Michael","D","GU-AL","GU",NA,NA,"+",1,0
"516","Case","Ed","D","HI-01","HI",NA,NA,"+",1,0
"517","Fulcher","Russ","R","ID-01","ID",NA,NA,"-",1,0
"518","García","Jesús","D","IL-04","IL",NA,NA,"+",1,0
"519","Casten","Sean","D","IL-06","IL",NA,NA,"+",1,0
"520","Underwood","Lauren","D","IL-14","IL",NA,NA,"+",1,0
"521","Baird","James","R","IN-04","IN",NA,NA,"-",1,0
"522","Pence","Greg","R","IN-06","IN",NA,NA,"-",1,0
"523","Finkenauer","Abby","D","IA-01","IA",NA,NA,"+",1,0
"524","Axne","Cynthia","D","IA-03","IA",NA,NA,"+",1,0
"525","Watkins","Steven","R","KS-02","KS",NA,NA,"-",1,0
"526","Davids","Sharice","D","KS-03","KS",NA,NA,"+",1,0
"527","Golden","Jared","D","ME-02","ME",NA,NA,"+",1,0
"528","Trone","David","D","MD-06","MD",NA,NA,"+",1,0
"529","Trahan","Lori","D","MA-03","MA",NA,NA,"+",1,0
"530","Pressley","Ayanna","D","MA-07","MA",NA,NA,"+",1,0
"531","Slotkin","Elissa","D","MI-08","MI",NA,NA,"+",1,0
"532","Levin","Andy","D","MI-09","MI",NA,NA,"+",1,0
"533","Stevens","Haley","D","MI-11","MI",NA,NA,"+",1,0
"534","Tlaib","Rashida","D","MI-13","MI",NA,NA,"+",1,0
"535","Hagedorn","Jim","R","MN-01","MN",NA,NA,"-",1,0
"536","Craig","Angie","D","MN-02","MN",NA,NA,"+",1,0
"537","Phillips","Dean","D","MN-03","MN",NA,NA,"+",1,0
"538","Omar","Ilhan","D","MN-05","MN",NA,NA,"+",1,0
"539","Stauber","Pete","R","MN-08","MN",NA,NA,"-",1,0
"540","Guest","Michael","R","MS-03","MS",NA,NA,"-",1,0
"541","Lee","Susie","D","NV-03","NV",NA,NA,"+",1,0
"542","Horsford","Steven A.","D","NV-04","NV",NA,NA,"+",1,0
"543","Pappas","Chris","D","NH-01","NH",NA,NA,"+",1,0
"544","Van Drew","Jefferson","R","NJ-02","NJ",NA,NA,"+",1,0
"545","Kim","Andy","D","NJ-03","NJ",NA,NA,"+",1,0
"546","Malinowski","Tom","D","NJ-07","NJ",NA,NA,"+",1,0
"547","Sherrill","Mikie","D","NJ-11","NJ",NA,NA,"+",1,0
"548","Haaland","Debra","D","NM-01","NM",NA,NA,"+",1,0
"549","Torres Small","Xochitl","D","NM-02","NM",NA,NA,"+",1,0
"550","Rose","Max","D","NY-11","NY",NA,NA,"+",1,0
"551","Ocasio-Cortez","Alexandria","D","NY-14","NY",NA,NA,"+",1,0
"552","Delgado","Antonio","D","NY-19","NY",NA,NA,"+",1,0
"553","Brindisi","Anthony","D","NY-22","NY",NA,NA,"+",1,0
"554","Morelle","Joe","D","NY-25","NY",NA,NA,"+",1,0
"555","Armstrong","Kelly","R","ND-AL","ND",NA,NA,"-",1,0
"556","Sablan","Gregorio Kilili Camacho","D","MP-AL","MP",NA,NA,"+",1,0
"557","Balderson","Troy","R","OH-12","OH",NA,NA,"-",1,0
"558","Gonzalez","Anthony","R","OH-16","OH",NA,NA,"-",1,0
"559","Hern","Kevin","R","OK-01","OK",NA,NA,"-",1,0
"560","Horn","Kendra","D","OK-05","OK",NA,NA,"+",1,0
"561","Dean","Madeleine","D","PA-04","PA",NA,NA,"+",1,0
"562","Scanlon","Mary Gay","D","PA-05","PA",NA,NA,"+",1,0
"563","Houlahan","Chrissy","D","PA-06","PA",NA,NA,"+",1,0
"564","Wild","Susan","D","PA-07","PA",NA,NA,"+",1,0
"565","Meuser","Daniel","R","PA-09","PA",NA,NA,"-",1,0
"566","Keller","Fred","R","PA-12","PA",NA,NA,"-",1,0
"567","Joyce","John","R","PA-13","PA",NA,NA,"-",1,0
"568","Reschenthaler","Guy","R","PA-14","PA",NA,NA,"-",1,0
"569","Lamb","Conor","D","PA-17","PA",NA,NA,"+",1,0
"570","González-Colón","Jenniffer","R","PR-AL","PR",NA,NA,"-",1,0
"571","Cunningham","Joe","D","SC-01","SC",NA,NA,"+",1,0
"572","Timmons","William","R","SC-04","SC",NA,NA,"-",1,0
"573","Johnson","Dusty","R","SD-AL","SD",NA,NA,"-",1,0
"574","Burchett","Tim","R","TN-02","TN",NA,NA,"-",1,0
"575","Rose","John","R","TN-06","TN",NA,NA,"-",1,0
"576","Green","Mark","R","TN-07","TN",NA,NA,"-",1,0
"577","Crenshaw","Dan","R","TX-02","TX",NA,NA,"-",1,0
"578","Taylor","Van","R","TX-03","TX",NA,NA,"-",1,0
"579","Gooden","Lance","R","TX-05","TX",NA,NA,"-",1,0
"580","Wright","Ron","R","TX-06","TX",NA,NA,"-",1,0
"581","Fletcher","Lizzie","D","TX-07","TX",NA,NA,"+",1,0
"582","Escobar","Veronica","D","TX-16","TX",NA,NA,"+",1,0
"583","Roy","Chip","R","TX-21","TX",NA,NA,"-",1,0
"584","Cloud","Michael","R","TX-27","TX",NA,NA,"-",1,0
"585","Garcia","Sylvia","D","TX-29","TX",NA,NA,"+",1,0
"586","Allred","Colin","D","TX-32","TX",NA,NA,"+",1,0
"587","Curtis","John","R","UT-03","UT",NA,NA,"-",1,0
"588","McAdams","Ben","D","UT-04","UT",NA,NA,"+",1,0
"589","Plaskett","Stacey","D","VI-AL","VI",NA,NA,"+",1,0
"590","Luria","Elaine","D","VA-02","VA",NA,NA,"+",1,0
"591","Riggleman","Denver","R","VA-05","VA",NA,NA,"-",1,0
"592","Cline","Ben","R","VA-06","VA",NA,NA,"-",1,0
"593","Spanberger","Abigail","D","VA-07","VA",NA,NA,"+",1,0
"594","Wexton","Jennifer","D","VA-10","VA",NA,NA,"+",1,0
"595","Schrier","Kim","D","WA-08","WA",NA,NA,"+",1,0
"596","Miller","Carol","R","WV-03","WV",NA,NA,"-",1,0
"597","Steil","Bryan","R","WI-01","WI",NA,NA,"-",1,0
