LastName,FirstName,StateAbbreviation.x.114,Party.x.114,Amount.oil.114,Amount.coal.114,Amount.mining.114,Amount.gas.114,Amount.env.114,Amount.alt_en.114,Amount.oil.115,Amount.coal.115,Amount.mining.115,Amount.gas.115,Amount.env.115,Amount.alt_en.115,Amount.oil.116,Amount.coal.116,Amount.mining.116,Amount.gas.116,Amount.env.116,Amount.alt_en.116
Kelly,Robin,IL,D,1750,0,0,0,1000,0,5500,0,0,0,2000,0,3000,0,0,0,0,0
Kelly,Trent,MS,R,0,0,0,0,0,0,27450,2700,2700,3000,0,0,29087,350,350,1000,0,0
Kennedy,Joe III,MA,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kildee,Dan,MI,D,3500,0,0,0,4235,800,500,0,0,0,3573,0,0,0,0,0,4000,0
Kilmer,Derek,WA,D,7500,0,0,0,43767,4050,5950,0,0,0,38079,0,12375,0,0,0,25613,0
Kind,Ron,WI,D,5500,0,0,1000,3500,13000,7500,0,0,1000,4775,12375,7500,0,0,3000,1800,12375
King,Pete,NY,R,4000,0,0,2000,0,3000,8400,0,0,0,0,0,12900,0,0,2500,0,0
King,Steven A,IA,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinzinger,Adam,IL,R,80600,3000,6000,16000,0,11500,67250,1000,4000,16500,0,12500,45500,0,12500,15500,0,12500
Kirkpatrick,Ann,AZ,D,6700,0,7500,0,7000,1000,NA,NA,NA,NA,NA,NA,3746,0,5,22,15743,3022
Kline,John,MN,R,28300,48050,83000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knight,Steve,CA,R,0,0,250,0,0,0,50400,0,850,0,0,1000,NA,NA,NA,NA,NA,NA
Kuster,Ann,NH,D,3750,0,0,0,61095,9500,5,0,0,0,42911,4600,1260,0,0,250,30532,4600
Labrador,Raul,ID,R,13100,0,5000,3000,1000,0,14900,250,3750,5500,2000,0,NA,NA,NA,NA,NA,NA
LaHood,Darin,IL,R,0,0,0,0,0,0,56050,5050,7050,14700,0,33600,64600,3400,8400,7500,0,33600
LaMalfa,Doug,CA,R,42500,0,5600,12000,0,0,27550,0,0,10250,0,2250,21980,2700,2700,9630,0,2250
Lamborn,Doug,CO,R,59000,9000,17500,4000,1000,0,67377,15500,38000,8500,1000,0,22791,6000,15000,1000,0,0
Lance,Leonard,NJ,R,30500,0,0,9500,1000,0,26200,0,0,7000,0,250,NA,NA,NA,NA,NA,NA
