member_id,first_name,last_name,party,state,name.x,member,alias,name.y
NA,John,Shimkus,R,IL,john shimkus,NA,NA,NA
NA,Jon,Runyan,R,NJ,jon runyan,NA,NA,NA
NA,Joseph,Crowley,D,NY,joseph crowley,NA,NA,NA
NA,Joseph,Heck,R,NV,joseph heck,NA,NA,NA
NA,Joseph,Kennedy,D,MA,joseph kennedy,NA,NA,NA
NA,Joseph,Pitts,R,PA,joseph pitts,NA,NA,NA
NA,José,Serrano,D,NY,jos serrano,NA,NA,NA
NA,Joyce,Beatty,D,OH,joyce beatty,NA,NA,NA
NA,Juan,Vargas,D,CA,juan vargas,NA,NA,NA
NA,Judy,Chu,D,CA,judy chu,NA,NA,NA
NA,Julia,Brownley,D,CA,julia brownley,NA,NA,NA
NA,Justin,Amash,R,MI,justin amash,NA,NA,NA
NA,K.,Conaway,R,TX,k conaway,NA,NA,NA
NA,Karen,Bass,D,CA,karen bass,NA,NA,NA
NA,Katherine,Clark,D,MA,katherine clark,NA,NA,NA
NA,Kathy,Castor,D,FL,kathy castor,NA,NA,NA
NA,Kay,Granger,R,TX,kay granger,NA,NA,NA
NA,Keith,Ellison,D,MN,keith ellison,NA,NA,NA
NA,Keith,Rothfus,R,PA,keith rothfus,NA,NA,NA
NA,Ken,Calvert,R,CA,ken calvert,NA,NA,NA
NA,Kenny,Marchant,R,TX,kenny marchant,NA,NA,NA
NA,Kerry,Bentivolio,R,MI,kerry bentivolio,NA,NA,NA
NA,Kevin,Brady,R,TX,kevin brady,NA,NA,NA
NA,Kevin,Cramer,R,ND,kevin cramer,NA,NA,NA
NA,Kevin,McCarthy,R,CA,kevin mccarthy,NA,NA,NA
NA,Kevin,Yoder,R,KS,kevin yoder,NA,NA,NA
NA,Kristi,Noem,R,SD,kristi noem,NA,NA,NA
NA,Kurt,Schrader,D,OR,kurt schrader,NA,NA,NA
NA,Kyrsten,Sinema,D,AZ,kyrsten sinema,NA,NA,NA
NA,Lamar,Smith,R,TX,lamar smith,NA,NA,NA
NA,Larry,Bucshon,R,IN,larry bucshon,NA,NA,NA
NA,Lee,Terry,R,NE,lee terry,NA,NA,NA
NA,Leonard,Lance,R,NJ,leonard lance,NA,NA,NA
NA,Linda,Sánchez,D,CA,linda s nchez,NA,NA,NA
NA,Lloyd,Doggett,D,TX,lloyd doggett,NA,NA,NA
NA,Lois,Capps,D,CA,lois capps,NA,NA,NA
NA,Lois,Frankel,D,FL,lois frankel,NA,NA,NA
NA,Loretta,Sanchez,D,CA,loretta sanchez,NA,NA,NA
NA,Lou,Barletta,R,PA,lou barletta,NA,NA,NA
NA,Louie,Gohmert,R,TX,louie gohmert,NA,NA,NA
NA,Louise,Slaughter,D,NY,louise slaughter,NA,NA,NA
NA,Lucille,Roybal-Allard,D,CA,lucille roybal allard,NA,NA,NA
NA,Luis,Gutiérrez,D,IL,luis guti rrez,NA,NA,NA
NA,Luke,Messer,R,IN,luke messer,NA,NA,NA
NA,Lynn,Westmoreland,R,GA,lynn westmoreland,NA,NA,NA
NA,Lynn,Jenkins,R,KS,lynn jenkins,NA,NA,NA
NA,Mac,Thornberry,R,TX,mac thornberry,NA,NA,NA
NA,Madeleine,Bordallo,D,GU,madeleine bordallo,NA,NA,NA
NA,Marc,Veasey,D,TX,marc veasey,NA,NA,NA
NA,Marcia,Fudge,D,OH,marcia fudge,NA,NA,NA
NA,Marcy,Kaptur,D,OH,marcy kaptur,NA,NA,NA
NA,Mario,Diaz-Balart,R,FL,mario diaz balart,NA,NA,NA
NA,Mark,Amodei,R,NV,mark amodei,NA,NA,NA
NA,Mark,Meadows,R,NC,mark meadows,NA,NA,NA
NA,Mark,Pocan,D,WI,mark pocan,NA,NA,NA
NA,Marshall,Sanford,R,SC,marshall sanford,NA,NA,NA
NA,Mark,Takano,D,CA,mark takano,NA,NA,NA
NA,Markwayne,Mullin,R,OK,markwayne mullin,NA,NA,NA
NA,Marlin,Stutzman,R,IN,marlin stutzman,NA,NA,NA
NA,Marsha,Blackburn,R,TN,marsha blackburn,NA,NA,NA
NA,Martha,Roby,R,AL,martha roby,NA,NA,NA
NA,Matthew,Cartwright,D,PA,matthew cartwright,NA,NA,NA
NA,Matt,Salmon,R,AZ,matt salmon,NA,NA,NA
NA,Maxine,Waters,D,CA,maxine waters,NA,NA,NA
NA,Melvin,Watt,D,NC,melvin watt,NA,NA,NA
NA,Michael,Burgess,R,TX,michael burgess,NA,NA,NA
NA,Michael,Capuano,D,MA,michael capuano,NA,NA,NA
NA,Michael,Doyle,D,PA,michael doyle,NA,NA,NA
NA,Michael,Fitzpatrick,R,PA,michael fitzpatrick,NA,NA,NA
NA,Michael,Grimm,R,NY,michael grimm,NA,NA,NA
NA,Michael,Michaud,D,ME,michael michaud,NA,NA,NA
NA,Michael,Simpson,R,ID,michael simpson,NA,NA,NA
NA,Michael,Honda,D,CA,michael honda,NA,NA,NA
