"","LastName","FirstName","Party","State","Member ID","Alias"
"74","Bachus","Spencer","Republican","Alabama","B000013",NA
"75","Bacon","Don","Republican","Nebraska","B001298",NA
"76","Badham","Robert E.","Republican","California","B000024",NA
"77","Badillo","Herman","Democratic","New York","B000025",NA
"78","Baesler","Scotty","Democratic","Kentucky","B000028",NA
"79","Bafalis","L. A.","Republican"," Florida","	B000029","Skip"
"80","Bailey","Donald A.","Democratic","Pennsylvania","B000037",NA
"81","Bailey","Wendell","Republican","Missouri","B000047",NA
"82","Baird","Brian","Democratic","Washington","B001229",NA
"83","Baird","James R.","Republican","Indiana","B001307",NA
"84","Baker","Bill","Republican","California","B000078",NA
"85","Baker","Howard H.","Republican","Tennessee","	B000063","Jr."
"86","Baker","LaMar","Republican","Tennessee","B000069",NA
"87","Baker","Richard H.","Republican","Louisiana","B000072",NA
"88","Baldacci","John Elias","Democratic","Maine","B000081",NA
"89","Balderson","Troy","Republican","Ohio","B001306",NA
"90","Baldus","Alvin J.","Democratic","Wisconsin","B000083",NA
"91","Baldwin","Tammy","Democratic","Wisconsin","B001230",NA
"92","Balint","Becca","Democratic","Vermont","B001318",NA
"93","Ballance","Frank W.","Democratic","North Carolina","	B001238","Jr."
"94","Ballenger","Cass","Republican","North Carolina","B000104",NA
"95","Banks","Jim","Republican","Indiana","B001299",NA
"96","Barber","Ron","Democratic","Arizona","B001279",NA
"97","Barca","Peter","Democratic","Wisconsin","B001226",NA
"98","Barcia","James A.","Democratic","Michigan","B000134",NA
"99","Barkley","Dean M.","Independent","Minnesota","B001237",NA
"100","Barletta","Lou","Republican","Pennsylvania","B001269",NA
"101","Barlow","Tom","Democratic","Kentucky","B000151",NA
"102","Barnard","Doug","Democratic","Georgia","	B000153","Jr."
"103","Barnes","Michael D.","Democratic","Maryland","B000160",NA
"104","Barr","Andy","Republican","Kentucky","B001282",NA
"105","Barr","Bob","Republican","Georgia","B000169",NA
"106","Barragán","Nanette Diaz","Democratic","California","B001300",NA
"107","Barrasso","John","Republican","Wyoming","B001261",NA
"108","Barrett","Bill","Republican","Nebraska","B000179",NA
"109","Barrett","J. Gresham","Republican","South Carolina","B001239",NA
"110","Barrett","Thomas M.","Democratic","Wisconsin","B000177",NA
"111","Barrett","William A.","Democratic","Pennsylvania","B000178",NA
"112","Barrow","John","Democratic","Georgia","B001252",NA
"113","Bartlett","Dewey F.","Republican","Oklahoma","B000200",NA
"114","Bartlett","Roscoe G.","Republican","Maryland","B000208",NA
"115","Bartlett","Steve","Republican","Texas","B000204",NA
"116","Barton","Joe","Republican","Texas","B000213",NA
"117","Bass","Charles F.","Republican","New Hampshire","B000220",NA
"118","Bass","Karen","Democratic","California","B001270",NA
"119","Bateman","Herbert H.","Republican","Virginia","B000229",NA
"120","Bates","Jim","Democratic","California","B000236",NA
"121","Baucus","Max","Democratic","Montana","B000243",NA
"122","Bauman","Robert E.","Republican","Maryland","B000244",NA
"123","Bayh","Birch","Democratic","Indiana","B000254",NA
"124","Bayh","Evan","Democratic","Indiana","B001233",NA
"125","Beall","J. Glenn","Republican","Maryland","	B000272","Jr."
"126","Bean","Aaron","Republican","Florida","B001314",NA
"127","Bean","Melissa L.","Democratic","Illinois","B001253",NA
"128","Beard","Edward","Democratic","Rhode Island","B000279",NA
"129","Beard","Robin","Republican","Tennessee","B000280",NA
"130","Beatty","Joyce","Democratic","Ohio","B001281",NA
"131","Beauprez","Bob","Republican","Colorado","B001240",NA
"132","Becerra","Xavier","Democratic","California","B000287",NA
"133","Bedell","Berkley W.","Democratic","Iowa","B000298",NA
"134","Begich","Mark","Democratic","Alaska","B001265",NA
"135","Beilenson","Anthony C.","Democratic","California","B000318",NA
"136","Bell","Alphonzo","Republican","California","B000330",NA
"137","Bell","Chris","Democratic","Texas","B001241",NA
"138","Bellmon","Henry L.","Republican","Oklahoma","B000351",NA
"139","Benedict","Cleve","Republican","West Virginia","B000358",NA
"140","Benishek","Dan","Republican","Michigan","B001271",NA
"141","Benitez","Jamie","Democratic","Puerto Rico","B000362",NA
"142","Benjamin","Adam","Democratic","Indiana","	B000363","Jr."
"143","Bennet","Michael F.","Democratic","Colorado","B001267",NA
"144","Bennett","Charles E.","Democratic","Florida","B000371",NA
"145","Bennett","Robert F.","Republican","Utah","B000382",NA
"146","Bennett","Wallace F.","Republican","Utah","B000384",NA
"147","Bentivolio","Kerry L.","Republican","Michigan","B001280",NA
"148","Bentley","Helen Delich","Republican","Maryland","B000392",NA
"149","Bentsen","Ken","Democratic","Texas","B000400",NA
"150","Bentsen","Lloyd M.","Democratic","Texas","B000401",NA
"151","Bentz","Cliff","Republican","Oregon","B000668",NA
"152","Bera","Ami","Democratic","California","B001287",NA
"153","Bereuter","Doug","Republican","Nebraska","B000403",NA
"154","Berg","Rick","Republican","North Dakota","B001272",NA
"155","Bergland","Bob","Republican","Minnesota","B000408",NA
"156","Bergman","Jack","Republican","Michigan","B001301",NA
"157","Berkley","Shelley","Democratic","Nevada","B001231",NA
"158","Berman","Howard L.","Democratic","California","B000410",NA
"159","Berry","Marion","Democratic","Arkansas","B000420",NA
"160","Bethune","Ed","Republican","Arkansas","B000422",NA
"161","Bevill","Tom","Democratic","Alabama","B000431",NA
"162","Beyer","Donald S.","Democratic","Virginia","B001292",NA
"163","Biaggi","Mario","Democratic","New York","B000432",NA
"164","Bible","Alan","Democratic","Nevada","B000436",NA
"165","Bice","Stephanie I.","Republican","Oklahoma","B000740",NA
"166","Biden","Joseph R.","Democratic","Delaware","	B000444","Jr."
"167","Biester","Edward G.","Republican","Pennsylvania","	B000451","Jr."
"168","Biggert","Judy","Republican","Illinois","B001232",NA
"169","Biggs","Andy","Republican","Arizona","B001302",NA
"170","Bilbray","Brian P.","Republican","California","B000461",NA
"171","Bilbray","James H.","Democratic","Nevada","B000462",NA
"172","Bilirakis","Gus M.","Republican","Florida","B001257",NA
"173","Bilirakis","Michael","Republican","Florida","B000463",NA
"174","Bingaman","Jeff","Democratic","New Mexico","B000468",NA
"175","Bingham","Jonathan B.","Democratic","New York","B000472",NA
"176","Bishop","Dan","Republican","North Carolina","B001311",NA
"177","Bishop","Mike","Republican","Michigan","B001293",NA
"178","Bishop","Rob","Republican","Utah","B001250",NA
"179","Bishop","Sanford D.","Democratic","Georgia","B000490",NA
"180","Bishop","Timothy H.","Democratic","New York","B001242",NA
"181","Black","Diane","Republican","Tennessee","B001273",NA
"182","Blackburn","Ben","Republican","Georgia","B000506",NA
"183","Blackburn","Marsha","Republican","Tennessee","B001243",NA
"184","Blackwell","Lucien E.","Democratic","Pennsylvania","B000517",NA
"185","Blagojevich","Rod R.","Democratic","Illinois","B000518",NA
"186","Blanchard","James","Democratic","Michigan","B000538",NA
"187","Blatnik","John Anton","Democratic","Minnesota","B000550",NA
"188","Blaz","Ben G.","Republican","Guam","B000551",NA
"189","Bliley","Tom","Republican","Virginia","B000556",NA
"190","Blouin","Michael","Democratic","Iowa","B000567",NA
"191","Blum","Rod","Republican","Iowa","B001294",NA
"192","Blumenauer","Earl","Democratic","Oregon","B000574",NA
"193","Blumenthal","Richard","Democratic","Connecticut","B001277",NA
"194","Blunt Rochester","Lisa","Democratic","Delaware","B001303",NA
"195","Blunt","Roy","Republican","Missouri","B000575",NA
"196","Blute","Peter I.","Republican","Massachusetts","B000576",NA
"197","Boccieri","John A.","Democratic","Ohio","B001263",NA
"198","Boebert","Lauren","Republican","Colorado","B000825",NA
"199","Boehlert","Sherwood","Republican","New York","B000586",NA
"200","Boehner","John A.","Republican","Ohio","B000589",NA
"201","Boggs","Corinne C.","Democratic"," Louisiana","	B000592","Lindy"
"202","Boland","Edward P.","Democratic","Massachusetts","B000600",NA
"203","Bolling","Richard","Democratic","Missouri","B000605",NA
"204","Bonamici","Suzanne","Democratic","Oregon","B001278",NA
"205","Bond","Christopher S.","Republican","Missouri","B000611",NA
"206","Boner","William H.","Democratic","Tennessee","B000615",NA
"207","Bonilla","Henry","Republican","Texas","B000617",NA
"208","Bonior","David E.","Democratic","Michigan","B000619",NA
"209","Bonker","Don","Democratic","Washington","B000620",NA
"210","Bonner","Jo","Republican","Alabama","B001244",NA
"211","Bono Mack","Mary","Republican","California","B001228",NA
"212","Bono","Sonny","Republican","California","B000622",NA
"213","Booker","Cory A.","Democratic","New Jersey","B001288",NA
"214","Boozman","John","Republican","Arkansas","B001236",NA
"215","Bordallo","Madeleine Z.","Democratic","Guam","B001245",NA
"216","Boren","Dan","Democratic","Oklahoma","B001254",NA
"217","Boren","David L.","Democratic","Oklahoma","B000639",NA
"218","Borski","Robert A.","Democratic","Pennsylvania","B000644",NA
"219","Boschwitz","Rudy","Republican","Minnesota","B000647",NA
"220","Bosco","Douglas H.","Democratic","California","B000648",NA
"221","Bost","Mike","Republican","Illinois","B001295",NA
"222","Boswell","Leonard L.","Democratic","Iowa","B000652",NA
"223","Boucher","Rick","Democratic","Virginia","B000657",NA
"224","Boulter","Beau","Republican","Texas","B000666",NA
"225","Bourdeaux","Carolyn","Democratic","Georgia","B001312",NA
"226","Boustany","Charles W.","Republican","Louisiana","	B001255","Jr."
"227","Bowen","David R.","Democratic","Mississippi","B000682",NA
"228","Bowman","Jamaal","Democratic","New York","B001223",NA
"229","Boxer","Barbara","Democratic","California","B000711",NA
"230","Boyd","Allen","Democratic","Florida","B000716",NA
"231","Boyda","Nancy E.","Democratic","Kansas","B001258",NA
"232","Boyle","Brendan F.","Democratic","Pennsylvania","B001296",NA
"233","Brademas","John","Democratic","Indiana","B000736",NA
"234","Bradley","Bill","Democratic","New Jersey","B001225",NA
"235","Bradley","Jeb","Republican","New Hampshire","B001246",NA
"236","Brady","Kevin","Republican","Texas","B000755",NA
"237","Brady","Nicholas","Republican","New Jersey","B000756",NA
"238","Brady","Robert A.","Democratic","Pennsylvania","B001227",NA
"239","Braley","Bruce L.","Democratic","Iowa","B001259",NA
"240","Brasco","Frank","Democratic","New York","B000771",NA
"241","Brat","Dave","Republican","Virginia","B001290",NA
"242","Braun","Mike","Republican","Indiana","B001310",NA
"243","Bray","William G.","Republican","Indiana","B000778",NA
"244","Breaux","John B.","Democratic","Louisiana","B000780",NA
"245","Brecheen","Josh","Republican","Oklahoma","B001317",NA
"246","Breckinridge","John B.","Democratic","Kentucky","B000788",NA
"247","Brennan","Joseph E.","Democratic","Maine","B000798",NA
"248","Brewster","Bill K.","Democratic","Oklahoma","B000817",NA
"249","Bridenstine","Jim","Republican","Oklahoma","B001283",NA
"250","Bright","Bobby","Democratic","Alabama","B001264",NA
"251","Brindisi","Anthony","Democratic","New York","B001308",NA
"252","Brinkley","Jack","Democratic","Georgia","B000839",NA
"253","Britt","Katie Boyd","Republican","Alabama","B001319",NA
"254","Britt","Robin","Democratic","North Carolina","B000845",NA
"255","Brock","Bill","Republican","Tennessee","B000851",NA
"256","Brodhead","William","Democratic","Michigan","B000862",NA
"257","Brooke","Edward W.","Republican","Massachusetts","B000871",NA
"258","Brooks","Jack B.","Democratic","Texas","B000880",NA
"259","Brooks","Mo","Republican","Alabama","B001274",NA
"260","Brooks","Susan W.","Republican","Indiana","B001284",NA
"261","Broomfield","William S.","Republican","Michigan","B000890",NA
"262","Brotzman","Donald G.","Republican","Colorado","B000893",NA
"263","Broun","Paul C.","Republican","Georgia","B001262",NA
"264","Browder","Glen","Democratic","Alabama","B000897",NA
"265","Brown","Anthony G.","Democratic","Maryland","B001304",NA
"266","Brown","Clarence","Republican","Ohio","	B000910","Jr."
"267","Brown","Corrine","Democratic","Florida","B000911",NA
"268","Brown","Garry E.","Republican","Michigan","B000917",NA
"269","Brown","George E.","Democratic","California","	B000918","Jr."
"270","Brown","Hank","Republican","Colorado","B000919",NA
"271","Brown","Henry E.","Republican","South Carolina","	B001235","Jr."
"272","Brown","Scott P.","Republican","Massachusetts","B001268",NA
"273","Brown","Sherrod","Democratic","Ohio","B000944",NA
"274","Brown","Shontel M.","Democratic","Ohio","B001313",NA
"275","Brow","Waite","Republican","Florida","	B001247","Ginny"
"276","Brownback","Sam","Republican","Kansas","B000953",NA
"277","Brownley","Julia","Democratic","California","B001285",NA
"278","Broyhill","James T.","Republican","North Carolina","B000966",NA
"279","Broyhill","Joel T.","Republican","Virginia","B000967",NA
"280","Bruce","Terry L.","Democratic","Illinois","B000971",NA
"281","Bryan","Richard H.","Democratic","Nevada","B000993",NA
"282","Bryant","Ed","Republican","Tennessee","B000996",NA
"283","Bryant","John W.","Democratic","Texas","B000997",NA
"284","Buchanan","John","Republican","Alabama","B001008",NA
"285","Buchanan","Vern","Republican","Florida","B001260",NA
"286","Buck","Ken","Republican","Colorado","B001297",NA
"287","Buckley","James L.","Republican","New York","B001026",NA
"288","Bucshon","Larry","Republican","Indiana","B001275",NA
"289","Budd","Ted","Republican","North Carolina","B001305",NA
"290","Budzinski","Nikki","Democratic","Illinois","B001315",NA
"291","Buechner","Jack","Republican","Missouri","B001036",NA
"292","Buerkle","Ann Marie","Republican","New York","B001276",NA
"293","Bumpers","Dale","Democratic","Arkansas","B001057",NA
"294","Bunn","Jim","Republican","Oregon","B001063",NA
"295","Bunning","Jim","Republican","Kentucky","B001066",NA
"296","Burchett","Tim","Republican","Tennessee","B001309",NA
"297","Burdick","Jocelyn","Democratic","North Dakota","B001076",NA
"298","Burdick","Quentin N.","Democratic","North Dakota","B001077",NA
"299","Burgener","Clair W.","Republican","California","B001080",NA
"300","Burgess","Michael C.","Republican","Texas","B001248",NA
"301","Burke","J. Herbert","Republican","Florida","B001091",NA
"302","Burke","James A.","Democratic","Massachusetts","B001092",NA
"303","Burke","Yvonne B.","Democratic","California","B001102",NA
"304","Burleson","Omar","Democratic","Texas","B001111",NA
"305","Burlison","Bill D.","Democratic","Missouri","B001113",NA
"306","Burlison","Eric","Republican","Missouri","B001316",NA
"307","Burns","Conrad R.","Republican","Montana","B001126",NA
"308","Burns","Max","Republican","Georgia","B001249",NA
"309","Burr","Richard","Republican","North Carolina","B001135",NA
"310","Burris","Roland","Democratic","Illinois","B001266",NA
"311","Burton","Dan","Republican","Indiana","B001149",NA
"312","Burton","John","Democratic","California","B001153",NA
"313","Burton","Phillip","Democratic","California","B001156",NA
"314","Burton","Sala","Democratic","California","B001158",NA
"315","Bush","Cori","Democratic","Missouri","B001224",NA
"316","Bustamante","Albert G.","Democratic","Texas","B001172",NA
"317","Bustos","Cheri","Democratic","Illinois","B001286",NA
"318","Butler","Laphonza R.","Democratic","California","B001320",NA
"319","Butler","M. Caldwell","Republican","Virginia","B001182",NA
"320","Butterfield","G. K.","Democratic","North Carolina","B001251",NA
"321","Buyer","Steve","Republican","Indiana","B001203",NA
"322","Byrd","Harry F.","Independent","Virginia","	B001209","Jr."
"323","Byrd","Robert C.","Democratic","West Virginia","B001210",NA
"324","Byrne","Bradley","Republican","Alabama","B001289",NA
"325","Byrne","Leslie L.","Democratic","Virginia","B001213",NA
"326","Byron","Beverly B.","Democratic","Maryland","B001220",NA
"327","Byron","Goodloe E.","Democratic","Maryland","B001221",NA
"328","Callahan","Sonny","Republican","Alabama","C000052",NA
"329","Calvert","Ken","Republican","California","C000059",NA
"330","Cammack","Kat","Republican","Florida","C001039",NA
"331","Camp","Dave","Republican","Michigan","C000071",NA
"332","Camp","John N. Happy","Republican","Oklahoma","C000073",NA
"333","Campbell","Ben Nighthorse","Republican","Colorado","C000077",NA
"334","Campbell","Carroll A.","Republican","South Carolina","	C000079","Jr."
"335","Campbell","John","Republican","California","C001064",NA
"336","Campbell","Tom","Republican","California","C000100",NA
"337","Canady","Charles T.","Republican","Florida","C000107",NA
"338","Cannon","Chris","Republican","Utah","C000116",NA
"339","Cannon","Howard W.","Democratic","Nevada","C000120",NA
"340","Canseco","Francisco ""Quico""","Republican","Texas","C001082",NA
"341","Cantor","Eric","Republican","Virginia","C001046",NA
"342","Cantwell","Maria","Democratic","Washington","C000127",NA
"343","Cao","Anh ""Joseph""","Republican","Louisiana","C001079",NA
"344","Capito","Shelley Moore","Republican","West Virginia","C001047",NA
"345","Capps","Lois","Democratic","California","C001036",NA
"346","Capps","Walter","Democratic","California","C000134",NA
"347","Capuano","Michael E.","Democratic","Massachusetts","C001037",NA
"348","Caputo","Bruce F.","Republican","New York","C000137",NA
"349","Caraveo","Yadira","Democratic","Colorado","C001134",NA
"350","Carbajal","Salud O.","Democratic","California","C001112",NA
"351","Cárdenas","Tony","Democratic","California","C001097",NA
"352","Cardin","Benjamin L.","Democratic","Maryland","C000141",NA
"353","Cardoza","Dennis A.","Democratic","California","C001050",NA
"354","Carey","Hugh L.","Democratic","New York","C000143",NA
"355","Carey","Mike","Republican","Ohio","C001126",NA
"356","Carl","Jerry L.","Republican","Alabama","C001054",NA
"357","Carman","Gregory W.","Republican","New York","C000158",NA
"358","Carnahan","Jean","Democratic","Missouri","C001043",NA
"359","Carnahan","Russ","Democratic","Missouri","C001060",NA
"360","Carney","Charles J.","Democratic","Ohio","C000164",NA
"361","Carney","Christopher P.","Democratic","Pennsylvania","C001065",NA
"362","Carney","John C.","Democratic","Delaware","	C001083","Jr."
"363","Carney","William","Republican","New York","C000165",NA
"364","Carper","Thomas R.","Democratic","Delaware","C000174",NA
"365","Carr","Bob","Democratic","Michigan","C000178",NA
"366","Carson","André","Democratic","Indiana","C001072",NA
"367","Carson","Brad","Democratic","Oklahoma","C001044",NA
"368","Carson","Julia","Democratic","Indiana","C000191",NA
"369","Carter","Earl L. ""Buddy""","Republican","Georgia","C001103",NA
"370","Carter","John R.","Republican","Texas","C001051",NA
"371","Carter","Tim Lee","Republican","Kentucky","C000201",NA
"372","Carter","Troy A.","Democratic","Louisiana","C001125",NA
"373","Cartwright","Matt","Democratic","Pennsylvania","C001090",NA
"374","Casar","Greg","Democratic","Texas","C001131",NA
"375","Case","Clifford P.","Republican","New Jersey","C000220",NA
"376","Case","Ed","Democratic","Hawaii","C001055",NA
"377","Casey","Bob","Democratic","Texas","C000228",NA
"378","Casey","Robert P.","Democratic","Pennsylvania","	C001070","Jr."
"379","Cassidy","Bill","Republican","Louisiana","C001075",NA
"380","Casten","Sean","Democratic","Illinois","C001117",NA
"381","Castle","Michael N.","Republican","Delaware","C000243",NA
"382","Castor","Kathy","Democratic","Florida","C001066",NA
"383","Castro","Joaquin","Democratic","Texas","C001091",NA
"384","Cavanaugh","John J.","Democratic","Nebraska","C000261",NA
"385","Cawthorn","Madison","Republican","North Carolina","C001104",NA
"386","Cazayoux","Donald J.","Democratic","Louisiana","	C001073","Jr."
"387","Cederberg","Elford A.","Republican","Michigan","C000263",NA
"388","Chabot","Steve","Republican","Ohio","C000266",NA
"389","Chafee","John H.","Republican","Rhode Island","C000269",NA
"390","Chafee","Lincoln","Republican","Rhode Island","C001040",NA
"391","Chaffetz","Jason","Republican","Utah","C001076",NA
"392","Chamberlain","Charles E.","Republican","Michigan","C000275",NA
"393","Chambliss","Saxby","Republican","Georgia","C000286",NA
"394","Chandler","Ben","Democratic","Kentucky","C001058",NA
"395","Chandler","Rod D.","Republican","Washington","C000293",NA
"396","Chapman","Jim","Democratic","Texas","C000312",NA
"397","Chappell","Bill","Democratic","Florida","	C000321","Jr."
"398","Chappie","Eugene A.","Republican","California","C000322",NA
"399","Chave","DeRemer","Republican","Oregon","	C001135","Lori"
"400","Cheney","Dick","Republican","Wyoming","C000344",NA
"401","Cheney","Liz","Republican","Wyoming","C001109",NA
"402","Chenowet","Hage","Republican","Idaho","	C000345","Helen"
"403","Cherfilu","McCormick","Democratic","Florida","	C001127","Sheila"
"404","Chiesa","Jeff","Republican","New Jersey","C001100",NA
"405","Childers","Travis","Democratic","Mississippi","C001074",NA
"406","Chiles","Lawton","Democratic","Florida","C000356",NA
"407","Chisholm","Shirley","Democratic","New York","C000371",NA
"408","Chocola","Chris","Republican","Indiana","C001052",NA
"409","Christensen","Donna M.","Democratic","Virgin Islands","C000380",NA
"410","Christensen","Jon","Republican","Nebraska","C000377",NA
"411","Chrysler","Dick","Republican","Michigan","C000385",NA
"412","Chu","Judy","Democratic","California","C001080",NA
"413","Church","Frank","Democratic","Idaho","C000388",NA
"414","Cicilline","David N.","Democratic","Rhode Island","C001084",NA
"415","Ciscomani","Juan","Republican","Arizona","C001133",NA
"416","Cisneros","Gilbert Ray","Democratic","California","	C001123","Jr."
"417","Clancy","Donald D.","Republican","Ohio","C000409",NA
"418","Clark","Dick","Democratic","Iowa","C000448",NA
"419","Clark","Frank M.","Democratic","Pennsylvania","C000431",NA
"420","Clark","Katherine M.","Democratic","Massachusetts","C001101",NA
"421","Clarke","Hansen","Democratic","Michigan","C001085",NA
"422","Clarke","James McC.","Democratic","North Carolina","C000462",NA
"423","Clarke","Yvette D.","Democratic","New York","C001067",NA
"424","Clausen","Don H.","Republican","California","C000475",NA
"425","Clawson","Curt","Republican","Florida","C001102",NA
"426","Clawson","Del","Republican","California","C000476",NA
"427","Clay","William","Democratic"," Missouri","	C000488","Bill"
"428","Clay","Wm. Lacy","Democratic","Missouri","C001049",NA
"429","Clayton","Eva M.","Democratic","North Carolina","C000494",NA
"430","Cleaver","Emanuel","Democratic","Missouri","C001061",NA
"431","Cleland","Max","Democratic","Georgia","C001034",NA
"432","Clement","Bob","Democratic","Tennessee","C000503",NA
"433","Cleveland","James C.","Republican","New Hampshire","C000512",NA
"434","Cline","Ben","Republican","Virginia","C001118",NA
"435","Clinger","William F.","Republican","Pennsylvania","	C000523","Jr."
"436","Clinton","Hillary Rodham","Democratic","New York","C001041",NA
"437","Cloud","Michael","Republican","Texas","C001115",NA
"438","Clyburn","James E.","Democratic","South Carolina","C000537",NA
"439","Clyde","Andrew S.","Republican","Georgia","C001116",NA
"440","Coats","Daniel","Republican","Indiana","C000542",NA
"441","Cobey","William W.","Republican","North Carolina","C000555",NA
"442","Coble","Howard","Republican","North Carolina","C000556",NA
"443","Coburn","Tom","Republican","Oklahoma","C000560",NA
"444","Cochran","Thad","Republican","Mississippi","C000567",NA
"445","Coelho","Anthony Lee","Democratic","California","C000581",NA
"446","Coffman","Mike","Republican","Colorado","C001077",NA
"447","Cohen","Steve","Democratic","Tennessee","C001068",NA
"448","Cohen","William S.","Republican","Maine","C000598",NA
"449","Cole","Tom","Republican","Oklahoma","C001053",NA
"450","Coleman","E. Thomas","Republican","Missouri","C000618",NA
"451","Coleman","Norm","Republican","Minnesota","C001057",NA
"452","Coleman","Ronald D.","Democratic","Texas","C000621",NA
"453","Collier","Harold R.","Republican","Illinois","C000629",NA
"454","Collins","Barbar","Democratic","Michigan","	C000633","Rose"
"455","Collins","Cardiss","Democratic","Illinois","C000634",NA
"456","Collins","Chris","Republican","New York","C001092",NA
"457","Collins","Doug","Republican","Georgia","C001093",NA
"458","Collins","James M.","Republican","Texas","C000638",NA
"459","Collins","Mac","Republican","Georgia","C000640",NA
"460","Collins","Mike","Republican","Georgia","C001129",NA
"461","Collins","Susan M.","Republican","Maine","C001035",NA
"462","Colorado","Antonio","Democratic","Puerto Rico","C000646",NA
"463","Combest","Larry","Republican","Texas","C000653",NA
"464","Comer","James","Republican","Kentucky","C001108",NA
"465","Comstock","Barbara","Republican","Virginia","C001105",NA
"466","Conable","Barber B.","Republican","New York","	C000666","Jr."
"467","Conaway","K. Michael","Republican","Texas","C001062",NA
"468","Condit","Gary A.","Democratic","California","C000670",NA
"469","Conlan","John B.","Republican","Arizona","C000682",NA
"470","Connolly","Gerald E.","Democratic","Virginia","C001078",NA
