"","LastName","FirstName","StateAbbreviation.x","Party.x","State","Amount.oil","Amount.coal","Amount.mining","Amount.gas","Amount.env","Amount.alt_en"
"96","Griffith","Morgan","VA","R","Virginia",56300,35400,42150,5000,0,0
"97","Hastings","Doc","WA","R","Washington",55750,3800,12300,4500,2500,0
"98","Stivers","Steve","OH","R","Ohio",55600,17850,25050,5500,0,0
"99","Dent","Charlie","PA","R","Pennsylvania",54900,2000,4000,7500,0,0
"100","McClintock","Tom","CA","R","California",54450,0,6000,4000,0,2500
"101","Veasey","Marc","TX","D","Texas",54400,0,0,4000,3500,500
"102","Hudson","Richard","NC","R","North Carolina",52250,0,4500,10500,0,0
"103","Duncan","Jeff","SC","R","South Carolina",51660,1000,1000,16500,5000,0
"104","Joyce","David P","OH","R","Ohio",51300,22000,34200,9200,7500,2000
"105","Collins","Chris","NY","R","New York",50800,0,0,17800,0,0
"106","Richmond","Cedric","LA","D","Louisiana",50100,0,0,2000,4600,0
"107","Hoyer","Steny H","MD","D","Maryland",49750,0,0,15500,5000,9000
"108","Carter","John","TX","R","Texas",49600,0,0,6000,0,0
"109","Hall","Ralph","TX","R","Texas",48700,1000,2000,9000,0,0
"110","Garrett","Scott","NJ","R","New Jersey",48600,0,0,8000,0,10625
"111","Gohmert","Louis B Jr","TX","R","Texas",47600,0,2000,2000,2000,0
"112","Johnson","Sam","TX","R","Texas",46900,0,0,9600,0,0
"113","Goodlatte","Bob","VA","R","Virginia",45250,0,1000,3250,0,0
"114","Rigell","Scott","VA","R","Virginia",45000,1000,1555,4000,0,0
"115","Long","Billy","MO","R","Missouri",44850,11500,13500,2000,0,0
"116","Young","Don","AK","R","Alaska",43450,2000,11600,0,2000,0
"117","Castro","Joaquin","TX","D","Texas",43250,0,0,3000,4000,2900
"118","LaMalfa","Doug","CA","R","California",42500,0,5600,12000,0,0
"119","Matheson","Jim","UT","D","Utah",41500,7000,10000,7500,0,0
"120","Stutzman","Marlin","IN","R","Indiana",41100,0,0,0,0,0
"121","Barr","Andy","KY","R","Kentucky",41050,168131,240810,1500,0,700
"122","Gallego","Pete","TX","D","Texas",40950,3000,4000,4500,12749,250
"123","Brooks","Susan","IN","R","Indiana",40750,0,1000,1500,0,4000
"124","Rogers","Hal","KY","R","Kentucky",40100,46600,60600,0,8850,0
"125","Walorski","Jackie","IN","R","Indiana",39840,5600,10600,0,0,9500
"126","Chaffetz","Jason","UT","R","Utah",39350,4000,8000,3250,0,0
"127","Harris","Andy","MD","R","Maryland",38000,2500,6500,2250,0,0
"128","Ryan","Tim","OH","D","Ohio",38000,0,1000,16500,7200,500
"129","Young","Todd","IN","R","Indiana",37950,14050,22750,8050,0,1000
"130","Heck","Joe","NV","R","Nevada",37900,2600,18000,6000,0,6500
"131","Griffin","Tim","AR","R","Arkansas",37200,0,0,8500,0,1000
"132","Duffy","Sean P","WI","R","Wisconsin",36550,0,1000,0,0,0
"133","Byrne","Bradley","AL","R","Alabama",35250,20000,20000,5000,1000,0
"134","Paulsen","Erik","MN","R","Minnesota",35250,0,0,0,6250,1000
"135","Price","Tom","GA","R","Georgia",35250,0,3000,2000,0,0
"136","Calvert","Ken","CA","R","California",35000,1000,10000,2500,1000,500
