Surname, Name
Gillibrand, Kirsten (New York Democrat, Senate)
Gingrey, Phil (Georgia Republican, District 11)
Gohmert, Louis B Jr (Texas Republican, District 1)
Gonzalez, Charlie A (Texas Democrat, District 20)
Goodlatte, Bob (Virginia Republican, District 6)
Goodwin, Carte (West Virginia Democrat, Senate)
Gordon, Bart (Tennessee Democrat, District 6)
Graham, Lindsey (South Carolina Republican, Senate)
Granger, Kay (Texas Republican, District 12)
Grassley, Chuck (Iowa Republican, Senate)
Graves, Sam (Missouri Republican, District 6)
Graves, Tom (Georgia Republican, District 9)
Grayson, Alan (Florida Democrat, District 8)
Green, Al (Texas Democrat, District 9)
Green, Gene (Texas Democrat, District 29)
Gregg, Judd (New Hampshire Republican, Senate)
Griffith, Parker (Alabama Republican, District 5)
Grijalva, Raul M (Arizona Democrat, District 7)
Guthrie, Brett (Kentucky Republican, District 2)
Gutierrez, Luis V (Illinois Democrat, District 4)

H

Hagan, Kay R (North Carolina Democrat, Senate)
Hall, John (New York Democrat, District 19)
Hall, Ralph (Texas Republican, District 4)
Halvorson, Deborah (Illinois Democrat, District 11)
Hare, Phil (Illinois Democrat, District 17)
Harkin, Tom (Iowa Democrat, Senate)
Harman, Jane (California Democrat, District 36)
Harper, Gregg (Mississippi Republican, District 3)
Hastings, Alcee (Florida Democrat, District 23)
Hastings, Doc (Washington Republican, District 4)
Hatch, Orrin G (Utah Republican, Senate)
Heinrich, Martin (New Mexico Democrat, District 1)
Heller, Dean (Nevada Republican, District 2)
Hensarling, Jeb (Texas Republican, District 5)
Herger, Wally (California Republican, District 2)
Herseth Sandlin, Stephanie (South Dakota Democrat, District 1)
Higgins, Brian M (New York Democrat, District 27)
Hill, Baron (Indiana Democrat, District 9)
Himes, Jim (Connecticut Democrat, District 4)
Hinchey, Maurice (New York Democrat, District 22)
Hinojosa, Ruben (Texas Democrat, District 15)
Hirono, Mazie K (Hawaii Democrat, District 2)
Hodes, Paul W (New Hampshire Democrat, District 2)
Hoekstra, Peter (Michigan Republican, District 2)
Holden, Tim (Pennsylvania Democrat, District 17)
Holt, Rush (New Jersey Democrat, District 12)
Honda, Mike (California Democrat, District 15)
Hoyer, Steny H (Maryland Democrat, District 5)
Hunter, Duncan D (California Republican, District 52)
Hutchison, Kay Bailey (Texas Republican, Senate)

I

Inglis, Bob (South Carolina Republican, District 4)
Inhofe, James M (Oklahoma Republican, Senate)
Inouye, Daniel K (Hawaii Democrat, Senate)
Inslee, Jay (Washington Democrat, District 1)
Isakson, Johnny (Georgia Republican, Senate)
Israel, Steve (New York Democrat, District 2)
Issa, Darrell (California Republican, District 49)

J

Jackson Lee, Sheila (Texas Democrat, District 18)
Jackson, Jesse Jr (Illinois Democrat, District 2)
Jenkins, Lynn (Kansas Republican, District 2)
Johanns, Mike (Nebraska Republican, Senate)
Johnson, Eddie Bernice (Texas Democrat, District 30)
Johnson, Hank (Georgia Democrat, District 4)
Johnson, Sam (Texas Republican, District 3)
Johnson, Tim (South Dakota Democrat, Senate)
Johnson, Timothy (Illinois Republican, District 15)
Jones, Walter B Jr (North Carolina Republican, District 3)
Jordan, Jim (Ohio Republican, District 4)

K

Kagen, Steve (Wisconsin Democrat, District 8)
Kanjorski, Paul E (Pennsylvania Democrat, District 11)
Kaptur, Marcy (Ohio Democrat, District 9)
Kaufman, Ted (Delaware Democrat, Senate)
Kennedy, Patrick J (Rhode Island Democrat, District 1)
Kerry, John (Massachusetts Democrat, Senate)
Kildee, Dale E (Michigan Democrat, District 5)
Kilpatrick, Carolyn Cheeks (Michigan Democrat, District 13)
Kilroy, Mary Jo (Ohio Democrat, District 15)
Kind, Ron (Wisconsin Democrat, District 3)
King, Pete (New York Republican, District 3)
King, Steven A (Iowa Republican, District 5)
Kingston, Jack (Georgia Republican, District 1)
Kirk, Mark (Illinois Republican, District 10)
Kirkpatrick, Ann (Arizona Democrat, District 1)
Kissell, Larry (North Carolina Democrat, District 8)
Klein, Ron (Florida Democrat, District 22)
Kline, John (Minnesota Republican, District 2)
Klobuchar, Amy (Minnesota Democrat, Senate)
Kohl, Herb (Wisconsin Democrat, Senate)
Kosmas, Suzanne (Florida Democrat, District 24)
Kratovil, Frank (Maryland Democrat, District 1)
Kucinich, Dennis (Ohio Democrat, District 10)
Kyl, Jon (Arizona Republican, Senate)

L

Lamborn, Doug (Colorado Republican, District 5)
Lance, Leonard (New Jersey Republican, District 7)
Landrieu, Mary L (Louisiana Democrat, Senate)
Langevin, Jim (Rhode Island Democrat, District 2)
Larsen, Rick (Washington Democrat, District 2)
Larson, John (Connecticut Democrat, District 1)
Latham, Tom (Iowa Republican, District 4)
LaTourette, Steve (Ohio Republican, District 14)
Latta, Bob (Ohio Republican, District 5)
Lautenberg, Frank (New Jersey Democrat, Senate)
Leahy, Patrick (Vermont Democrat, Senate)
Lee, Barbara (California Democrat, District 9)
Lee, Christopher J (New York Republican, District 26)
Lemieux, George S (Florida Republican, Senate)
Levin, Carl (Michigan Democrat, Senate)
Levin, Sander (Michigan Democrat, District 12)
Lewis, Jerry (California Republican, District 41)
Lewis, John (Georgia Democrat, District 5)
Lieberman, Joe (Connecticut Independent, Senate)
Lincoln, Blanche (Arkansas Democrat, Senate)
Linder, John (Georgia Republican, District 7)
Lipinski, Daniel (Illinois Democrat, District 3)
LoBiondo, Frank (New Jersey Republican, District 2)
Loebsack, David (Iowa Democrat, District 2)
Lofgren, Zoe (California Democrat, District 16)
Lowey, Nita M (New York Democrat, District 18)
Lucas, Frank D (Oklahoma Republican, District 3)
Luetkemeyer, Blaine (Missouri Republican, District 9)
Lugar, Richard G (Indiana Republican, Senate)
Lujan, Ben Ray (New Mexico Democrat, District 3)
Lummis, Cynthia (Wyoming Republican, District 1)
Lungren, Dan (California Republican, District 3)
Lynch, Stephen (Massachusetts Democrat, District 9)

M

Mack, Connie (Florida Republican, District 14)
Maffei, Dan (New York Democrat, District 25)
Maloney, Carolyn (New York Democrat, District 14)
Manchin, Joe (West Virginia Democrat, Senate)
Manzullo, Don (Illinois Republican, District 16)
Marchant, Kenny (Texas Republican, District 24)
Markey, Betsy (Colorado Democrat, District 4)
Markey, Ed (Massachusetts Democrat, District 7)
Marshall, Jim (Georgia Democrat, District 8)
Matheson, Jim (Utah Democrat, District 2)
Matsui, Doris (California Democrat, District 5)
McCain, John (Arizona Republican, Senate)
McCarthy, Carolyn (New York Democrat, District 4)
McCarthy, Kevin (California Republican, District 22)
McCaskill, Claire (Missouri Democrat, Senate)
McCaul, Michael (Texas Republican, District 10)
McClintock, Tom (California Republican, District 4)
McCollum, Betty (Minnesota Democrat, District 4)
McConnell, Mitch (Kentucky Republican, Senate)
